municipality,priority,rescore,title,url,anchor,snippet
"岡崎市","strong","111","補助・助成・融資・減免制度の一覧｜岡崎市公式ホームページ","https://www.city.okazaki.lg.jp/kurashi/yushi/1002041/index.html","補助・助成・融資・減免制度の一覧","補助・助成・融資・減免制度の一覧｜岡崎市公式ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 Foreign language 日本語 English Português Filipino Ti"
"瀬戸市","strong","111","進学チャレンジ支援金 | 瀬戸市","https://www.city.seto.aichi.jp/docs/2025/07/04/00505309565/00505309565.html","進学チャレンジ支援金","進学チャレンジ支援金 | 瀬戸市 このページの本文へ移動 瀬戸市のホームページではJavaScriptを使用しています。 JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 サイト内検索 ID番号検索 検索の使い方 閲覧支援ツール やさしい日本語 元に戻す 文字サイズ 背景色の変更 白 黒 青 閉じる Language HOME "
"瀬戸市","strong","108","令和8年度入学児童生徒学用品費の事前支給について | 瀬戸市","https://www.city.seto.aichi.jp/docs/2022/12/01/00079/index.html","令和8年度入学児童生徒新入学学用品費の事前支給について","令和8年度入学児童生徒学用品費の事前支給について | 瀬戸市 このページの本文へ移動 瀬戸市のホームページではJavaScriptを使用しています。 JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 サイト内検索 ID番号検索 検索の使い方 閲覧支援ツール やさしい日本語 元に戻す 文字サイズ 背景色の変更 白 黒 青 閉じる "
"瀬戸市","strong","105","手当・援助 | 瀬戸市","https://www.city.seto.aichi.jp/bunya/kurashi-kosodate-teate-enjyo/index.html","手当・援助","手当・援助 | 瀬戸市 このページの本文へ移動 瀬戸市のホームページではJavaScriptを使用しています。 JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 サイト内検索 ID番号検索 検索の使い方 閲覧支援ツール やさしい日本語 元に戻す 文字サイズ 背景色の変更 白 黒 青 閉じる Language HOME 安全・安心"
"瀬戸市","strong","99","年齢別・小学校・中学校・高校 | 瀬戸市子育て支援サイト","https://www.city.seto.aichi.jp/kosodate-docs/2018/05/11/00066/index.html","年齢別・小学校・中学校・高校","年齢別・小学校・中学校・高校 | 瀬戸市子育て支援サイト 本文へスキップします。 瀬戸市公式ホームページへ language 閲覧補助機能 やさしい日本語 元に戻す 文字サイズ 背景色の変更 白 黒 青 閉じる 検索 メニュー 閉じる お知らせ イベント情報 子育て施設・遊び場 手当 相談 お問い合わせ 子育てQ＆A 検索 瀬戸市トップへ language 当サイトではよりよい環境でご覧いただくためにJavaScriptを用いています。"
"豊橋市","strong","96","中小企業振興/豊橋市","https://www.city.toyohashi.lg.jp/2861.htm","中小企業振興","中小企業振興/豊橋市 中小企業振興 本文へ移動 メニューへ移動 Languages メニュー 探す サイト内検索 広報とよはしから探す サイト内検索 HP 番号検索 広報とよはし 広報とよはしに記載されているHP番号を入力すると、該当のページが表示されます。（半角数字で入力） 組織から探す よくある質問 くらし 健康・福祉 教育・文化 魅力・観光 産業・事業 市政情報 閲覧補助 SUPPORT ふりがな 色変更 文字 拡大 標準 サイト"
"瀬戸市","strong","93","手当 | 瀬戸市子育て支援サイト","https://www.city.seto.aichi.jp/kosodate-docs/2018/05/14/00067/index.html","手当について知りたい","手当 | 瀬戸市子育て支援サイト 本文へスキップします。 瀬戸市公式ホームページへ language 閲覧補助機能 やさしい日本語 元に戻す 文字サイズ 背景色の変更 白 黒 青 閉じる 検索 メニュー 閉じる お知らせ イベント情報 子育て施設・遊び場 手当 相談 お問い合わせ 子育てQ＆A 検索 瀬戸市トップへ language 当サイトではよりよい環境でご覧いただくためにJavaScriptを用いています。 JavaScriptを"
"一宮市","strong","87","一宮市で働く｜一宮市","https://www.city.ichinomiya.aichi.jp/sougouseisaku/seisaku/1044355/1010163/1026513/1026521.html","一宮市で働く 一宮市での起業や就労についての支援制度などを紹介します。","一宮市で働く｜一宮市 当ウェブサイトではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Translation 暮らし・手続き 暮らし・手続き トップ 閉じる いざというときに 防災・救"
"豊橋市","strong","87","移住支援事業（移住支援金の交付）/豊橋市","https://www.city.toyohashi.lg.jp/38488.htm","移住支援事業（移住支援金の交付）","移住支援事業（移住支援金の交付）/豊橋市 移住支援事業（移住支援金の交付） 本文へ移動 メニューへ移動 Languages メニュー 探す サイト内検索 広報とよはしから探す サイト内検索 HP 番号検索 広報とよはし 広報とよはしに記載されているHP番号を入力すると、該当のページが表示されます。（半角数字で入力） 組織から探す よくある質問 くらし 健康・福祉 教育・文化 魅力・観光 産業・事業 市政情報 閲覧補助 SUPPORT ふ"
"一宮市","strong","78","しごと・産業｜一宮市","https://www.city.ichinomiya.aichi.jp/shigoto/index.html","しごと・産業","しごと・産業｜一宮市 当ウェブサイトではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Translation 暮らし・手続き 暮らし・手続き トップ 閉じる いざというときに 防災・救"
"一宮市","strong","78","就職・労働・雇用｜一宮市","https://www.city.ichinomiya.aichi.jp/katsuryokusouzou/sangyoushinkou/1000050/index.html","就職・労働・雇用","就職・労働・雇用｜一宮市 当ウェブサイトではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Translation 暮らし・手続き 暮らし・手続き トップ 閉じる いざというときに 防災"
"一宮市","strong","78","事業者のための支援（補助金・融資等）｜一宮市","https://www.city.ichinomiya.aichi.jp/katsuryokusouzou/sangyoushinkou/1044297/1044298/index.html","事業者のため補助金・融資","事業者のための支援（補助金・融資等）｜一宮市 当ウェブサイトではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイトマップ 文字サイズ・配色の変更 Translation 暮らし・手続き 暮らし・手続き トップ 閉じる い"
"岡崎市","strong","78","融資あっせん・セーフティネット認定・補助金等｜岡崎市公式ホームページ","https://www.city.okazaki.lg.jp/business/sangyo/1005391/index.html","融資あっせん・セーフティネット認定・補助金等","融資あっせん・セーフティネット認定・補助金等｜岡崎市公式ホームページ 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 Foreign language 日本語 English Português Filip"
