municipality,priority,rescore,title,anchor,url,snippet
"豊川市","strong","113","補助・助成／豊川市","補助・助成一覧","https://www.city.toyokawa.lg.jp/kurashi_tetsuzuki/26980.html","補助・助成／豊川市 スマートフォン版を表示 本文へ 閲覧支援 Languages 文字サイズ 背景色変更 ふりがな ふりがなをけす やさしいにほんご やさしいにほんごを消す 音声読み上げ Select Language English Português Español 中文（繁体） 中文（簡体） Tiếng Việt Go Select your language 閲覧支援・Languagesを閉じる 検索する キーワードから探す ページID検索 ページID検索 検索 ページIDとは? 検索メニューを閉じる くらし・手続き くらし・手続き 医療・健康・福祉 医療・健康・福祉 子育て・教育 子"
"半田市","strong","63","高度先端産業立地奨励金・中小企業高度先端産業立地奨励金｜半田市公式ウェブサイト","高度先端産業立地奨励金・中小企業高度先端産業立地奨励金","https://www.city.handa.lg.jp/jigyosha/ritchi/1005611/1003624.html","高度先端産業立地奨励金・中小企業高度先端産業立地奨励金｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年金"
"半田市","strong","56","半田市移住者就業起業促進事業費補助金｜半田市公式ウェブサイト","半田市移住者就業起業促進事業費補助金","https://www.city.handa.lg.jp/kurashi/koseki/1001680.html","半田市移住者就業起業促進事業費補助金｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年金 後期高齢者医療制"
"津島市","strong","56","福祉・医療　津島市公式ホームページ","福祉・医療","https://www.city.tsushima.lg.jp/fukushi/index.html","福祉・医療 津島市公式ホームページ 津島市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの先頭です このページの本文へ移動 音声読み上げ・文字拡大 Multilingual サイトマップ 防災・防犯 目的別検索 メニュー くらし 子育て・教育 福祉・医療 市の紹介・観光 市政 現在のページ トップページ 福祉・医療 ページID：239081943 本文ここから 福祉・医療 新着情報 新着情報はありません。 新着情報一覧"
"半田市","strong","55","その他の助成金・補助金、サービス｜半田市公式ウェブサイト","その他の助成金・補助金、サービス","https://www.city.handa.lg.jp/kurashi/1009918/1010303.html","その他の助成金・補助金、サービス｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年金 後期高齢者医療制度 "
"半田市","strong","55","国民健康保険税の減免｜半田市公式ウェブサイト","国民健康保険税の減免","https://www.city.handa.lg.jp/kurashi/kenkohoken/1001800/1001805.html","国民健康保険税の減免｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年金 後期高齢者医療制度 消費生活 各"
"半田市","strong","53","高齢者（65歳以上の市民）に対する給付金について｜半田市公式ウェブサイト","高齢者（65歳以上の市民）に対する給付金について","https://www.city.handa.lg.jp/kurashi/1011067/1011068.html","高齢者（65歳以上の市民）に対する給付金について｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年金 後期"
"半田市","strong","50","子ども医療費の助成｜半田市公式ウェブサイト","子ども医療費の助成","https://www.city.handa.lg.jp/kosodate/kyufu/1005071/1002006.html","子ども医療費の助成｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年金 後期高齢者医療制度 消費生活 各種"
"半田市","strong","50","まち・環境｜半田市公式ウェブサイト","まち・環境","https://www.city.handa.lg.jp/machi/index.html","まち・環境｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年金 後期高齢者医療制度 消費生活 各種助成金・"
"半田市","strong","50","2026年（令和8年）はんだ市報4月号（NO.1591）｜半田市公式ウェブサイト","2026年（令和8年）はんだ市報4月号（NO.1591）","https://www.city.handa.lg.jp/shisei/koho/1003875/1010936/1011717.html","2026年（令和8年）はんだ市報4月号（NO.1591）｜半田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 緊急情報があります いざという時に 文字サイズ・色合い変更 読み上げ Foreign Language くらし・手続き くらし・手続き トップ 閉じる 防災・防犯 戸籍・住民の手続き 個人番号（マイナンバー） 税金 国民健康保険 国民年"
