slug	organization	title	maxAmount	url	evidence
fukuoka-official-002-001-2026	飯塚市	飯塚市 令和8年飯塚市生活応援クーポン券	1世帯あたり10,000円	https://www.city.iizuka.lg.jp/soshiki/70/14632.html	令和8年飯塚市生活応援クーポン券 - 飯塚市（物価高騰臨時対策室） ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー いいづかプラス 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 閉じる 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ 標準 拡大
fukuoka-official-002-002-2026	飯塚市	飯塚市 安全・安心まちづくり団体支援事業補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.iizuka.lg.jp/soshiki/9/19292.html	安全・安心まちづくり団体支援事業補助金の募集について - 飯塚市（防災安全課） ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー いいづかプラス 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 閉じる 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ
fukuoka-official-002-003-2026	飯塚市	飯塚市 子ども医療費支給制度	上限）1,200円	https://www.city.iizuka.lg.jp/site/kosodate/1971.html	子ども医療 - 子育て応援なび - 飯塚市（医療保険課） ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー おすすめ 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ 標準 拡大 背景色変更 白 黒 青
fukuoka-official-002-004-2026	飯塚市	飯塚市 妊婦のための支援給付	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.iizuka.lg.jp/site/kosodate/1924.html	「妊婦のための支援給付」と「妊婦等包括相談支援事業」について（令和7年4月1日から） - 子育て応援なび - 飯塚市（こども家庭課） ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー おすすめ 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 音声読み上げ 閉じる 閉
fukuoka-official-002-005-2026	飯塚市	飯塚市 新規創業支援資金融資制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.iizuka.lg.jp/soshiki/18/2408.html	飯塚市新規創業支援資金融資制度 - 飯塚市（商工観光課） ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー いいづかプラス 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 閉じる 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ 標準 拡大 背景色変更
fukuoka-official-002-006-2026	飯塚市	飯塚市 ブロック塀等撤去補助金制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.iizuka.lg.jp/life/1/7/27/	住まいの補助・助成 - 飯塚市 ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー いいづかプラス 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 閉じる 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 防災
fukuoka-official-002-007-2026	飯塚市	飯塚市 物価高対応子育て応援手当	所得・対象区分に応じて手当等を支給	https://www.city.iizuka.lg.jp/site/kosodate/list81-273.html	手当・助成 - 子育て応援なび - 飯塚市 ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー おすすめ 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ 標準 拡大 背景色変更 白 黒 青 とじる 防災・
fukuoka-official-002-008-2026	飯塚市	飯塚市 妊産婦・子ども関連の手当・助成	所得・対象区分に応じて手当等を支給	https://www.city.iizuka.lg.jp/site/kosodate/list83-282.html	手当・助成 - 子育て応援なび - 飯塚市 ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー おすすめ 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ 標準 拡大 背景色変更 白 黒 青 とじる 防災・
fukuoka-official-002-009-2026	飯塚市	飯塚市 戸建て中古住宅取得補助金制度	1人につき100,000円	https://www.city.iizuka.lg.jp/site/ijyuiizuka/1147.html	飯塚市戸建て中古住宅取得補助金制度 - 飯塚移住計画 - 飯塚市（建設政策課） ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 メニュー 検索 いいづかプラス 閲覧補助 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サイズ
fukuoka-official-002-010-2026	飯塚市	飯塚市 木造戸建て住宅性能向上改修補助金制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.iizuka.lg.jp/site/shinsei/1148.html	飯塚市木造戸建て住宅性能向上改修補助金制度 - 申請・手続案内 - 飯塚市（建築課） ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 検索 メニュー いいづかプラス 本文へ Foreign language やさしい日本語 もとに戻す 閲覧補助 閉じる 音声読み上げ 閉じる 閉じる ルビふり あり なし 文字サ
