municipality,score,priority,title,url,updatedAt
葛尾村,43,strong,"定住促進奨励金について",https://www.katsurao.org/soshiki/2/159.html,"2017年4月1日"
葛尾村,43,strong,"葛尾村みらい子ども助成金",https://www.katsurao.org/soshiki/2/miraikodomo.html,"2019年2月1日"
葛尾村,39,strong,"父子家庭の方へも児童扶養手当の支給対象が拡大されました！",https://www.katsurao.org/soshiki/2/195.html,"2010年8月1日"
葛尾村,37,strong,"給付金",https://www.katsurao.org/life/1/1/4/,""
葛尾村,37,strong,"児童手当・児童扶養手当",https://www.katsurao.org/life/7/37/157/,""
葛尾村,37,strong,"乳幼児・児童医療費助成制度",https://www.katsurao.org/life/7/37/158/,""
葛尾村,15,low,"福祉・健康",https://www.katsurao.org/life/1/5/,""
葛尾村,15,low,"児童・母子・父子福祉",https://www.katsurao.org/life/1/5/20/,""
葛尾村,15,low,"福祉・健康",https://www.katsurao.org/life/1/5/index-2.html,""
葛尾村,15,low,"その他の子育て支援",https://www.katsurao.org/life/7/37/160/,""
葛尾村,15,low,"子育て・教育",https://www.katsurao.org/life/7/6/,""
葛尾村,15,low,"子育て・教育",https://www.katsurao.org/life/7/6/index-2.html,""
葛尾村,15,low,"成人の風しん予防接種等費用の助成について",https://www.katsurao.org/soshiki/2/seijin-fuushin.html,"2018年10月5日"
葛尾村,15,low,"危険木の伐採費用を補助します",https://www.katsurao.org/soshiki/3/kikenbokubassaihojo.html,"2025年6月19日"
葛尾村,12,low,"予防接種",https://www.katsurao.org/life/1/5/23/,""
葛尾村,12,low,"農業",https://www.katsurao.org/life/2/13/41/,""
葛尾村,12,low,"農業委員会事務局",https://www.katsurao.org/life/2/41/,""
葛尾村,12,low,"予防接種",https://www.katsurao.org/life/7/37/155/,""
葛尾村,12,low,"予防接種",https://www.katsurao.org/life/8/38/174/,""
葛尾村,9,low,"子育て・育児",https://www.katsurao.org/life/1/26/84/,""
葛尾村,9,low,"子育て支援",https://www.katsurao.org/life/7/37/,""
葛尾村,9,low,"子育て支援",https://www.katsurao.org/life/7/37/index-2.html,""
葛尾村,9,low,"子育て・育児",https://www.katsurao.org/life/7/6/24/,""
葛尾村,9,low,"障がい福祉制度のてびき",https://www.katsurao.org/soshiki/2/197.html,"2009年12月7日"
葛尾村,6,low,"妊娠・出産",https://www.katsurao.org/life/1/26/83/,""
葛尾村,6,low,"高齢・介護",https://www.katsurao.org/life/1/26/91/,""
葛尾村,6,low,"介護保険",https://www.katsurao.org/life/1/3/14/,""
葛尾村,6,low,"介護",https://www.katsurao.org/life/1/4/18/,""
葛尾村,6,low,"移住情報",https://www.katsurao.org/life/1/44/176/,""
葛尾村,6,low,"保健福祉",https://www.katsurao.org/life/1/5/19/,""
葛尾村,6,low,"障がい福祉",https://www.katsurao.org/life/1/5/21/,""
葛尾村,6,low,"介護福祉",https://www.katsurao.org/life/1/5/22/,""
葛尾村,6,low,"農業用施設を雪から守ろう",https://www.katsurao.org/soshiki/3/2025nogyo-setsugai.html,"2025年11月18日"
葛尾村,5,low,"医療・介護",https://www.katsurao.org/life/1/4/,""
葛尾村,5,low,"医療・介護",https://www.katsurao.org/life/1/4/index-2.html,""
葛尾村,5,low,"移住",https://www.katsurao.org/life/1/44/,""
葛尾村,5,low,"産業・事業者向け",https://www.katsurao.org/life/2/,""
葛尾村,5,low,"住宅",https://www.katsurao.org/life/4/21/69/,""
葛尾村,5,low,"高齢者福祉",https://www.katsurao.org/life/8/39/,""
葛尾村,5,low,"福祉",https://www.katsurao.org/life/8/39/172/,""
葛尾村,5,low,"高齢者福祉",https://www.katsurao.org/life/8/39/index-2.html,""
葛尾村,5,low,"介護保険制度",https://www.katsurao.org/soshiki/2/177.html,"2018年5月7日"
葛尾村,5,low,"介護保険料・後期高齢者医療保険料の納付について",https://www.katsurao.org/soshiki/2/183.html,"2009年4月28日"
葛尾村,5,low,"令和8年度 介護予防・日常生活支援総合事業サービスコードについて",https://www.katsurao.org/soshiki/2/2026service.html,"2026年7月1日"
葛尾村,4,low,"子育て・教育",https://www.katsurao.org/life/7/,""
葛尾村,4,low,"子育て・教育",https://www.katsurao.org/life/7/index-2.html,""
葛尾村,4,low,"子どもの定期予防接種について",https://www.katsurao.org/soshiki/2/teikiyobousessyu.html,"2025年8月29日"
