score	municipality	title	url	snippet
161	瑞浪市	手当・助成	https://www.city.mizunami.lg.jp/1004935/1004947/index.html	手当・助成｜瑞浪市公式ホームページ エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 やさしい日本語 もとのページをみる サイトマップ Foreign language 文字サイズ・配色の変更 くらし 健康・福祉 高齢者・介護 子育て・教育 観光・文化 産業・ビジネス 市政 防災・災害 現在の位置： トップページ > 目的から探す > 手当・助成 ここから本文です。 手当・助成 ページ番号1004947 印刷 大きな文字で印刷 健康・医療 高額療養費の支給 岐阜県が実施する「がん患者医療用ウイッグ購入費助成事業」 重度心身障害者医療費の助成 精神障害者医療費の助成 葬祭費の支給（国民健康保険） 子育て・教育 出産育児一時金の支給(国民健康保険) 児童手当・新規申請 幼児教育・保育の無償化 養育医療 特別児童扶養手当 難聴児の補聴器購入・修理費の助成をします 子どもと親の健康・医療 乳児（1か月児）健診料等の助成 小児インフルエンザ予防接種の費用助成（1歳から中学生） 乳幼児等の医療費の助成 ひとり親家庭等への支援 児童扶養手当 母子家庭等及び父子家庭の医療費の助成
160	羽島市	高校生バス通学定期券購入補助金	https://www.city.hashima.lg.jp/1777.html	高校生バス通学定期券購入補助金/羽島市公式Webサイト 高校生バス通学定期券購入補助金 本文へ移動 シティプロモーション くらし・行政 補助機能表示 補助機能 文字サイズ 標準 拡大 背景色 黒 青 白 音声読み上げ 音声読み上げ foreign language お気に入りページ 閉じる メニュー表示 MENU キーワードで探す 検索 手続きナビ --> ゴミ分別アプリ 公共交通機関 休日当番医 防災 グローバルナビ ホーム サイトの検索方法 キーワードから検索 検索したいキーワードを入力して検索します。 分野別メニューから検索 左記の分野別メニューの[+]をクリックし、表示された項目から選択して検索します。 組織別索引から検索 組織別索引から選択して検索します。 くらしの情報 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 高齢者・介護 おくやみ 戸籍・住民票・印鑑登録・マイナンバーカード 税 国民健康保険・後期高齢者医療 国民年金 水道・下水道 交通 都市計画 ごみ・環境保全 ペット 福祉 障がい者支援 消費生活 健康・医療 文化・スポーツ・生涯学習 市民活動・コミュニ
129	羽島市	補助金・交付金	https://www.city.hashima.lg.jp/4561.html	補助金・交付金/羽島市公式Webサイト 補助金・交付金 本文へ移動 シティプロモーション くらし・行政 補助機能表示 補助機能 文字サイズ 標準 拡大 背景色 黒 青 白 音声読み上げ 音声読み上げ foreign language お気に入りページ 閉じる メニュー表示 MENU キーワードで探す 検索 手続きナビ --> ゴミ分別アプリ 公共交通機関 休日当番医 防災 グローバルナビ ホーム サイトの検索方法 キーワードから検索 検索したいキーワードを入力して検索します。 分野別メニューから検索 左記の分野別メニューの[+]をクリックし、表示された項目から選択して検索します。 組織別索引から検索 組織別索引から選択して検索します。 くらしの情報 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 高齢者・介護 おくやみ 戸籍・住民票・印鑑登録・マイナンバーカード 税 国民健康保険・後期高齢者医療 国民年金 水道・下水道 交通 都市計画 ごみ・環境保全 ペット 福祉 障がい者支援 消費生活 健康・医療 文化・スポーツ・生涯学習 市民活動・コミュニティ 防災 防犯 救急・消防 社
129	羽島市	補助金	https://www.city.hashima.lg.jp/4216.html	補助金/羽島市公式Webサイト 補助金 本文へ移動 シティプロモーション くらし・行政 補助機能表示 補助機能 文字サイズ 標準 拡大 背景色 黒 青 白 音声読み上げ 音声読み上げ foreign language お気に入りページ 閉じる メニュー表示 MENU キーワードで探す 検索 手続きナビ --> ゴミ分別アプリ 公共交通機関 休日当番医 防災 グローバルナビ ホーム サイトの検索方法 キーワードから検索 検索したいキーワードを入力して検索します。 分野別メニューから検索 左記の分野別メニューの[+]をクリックし、表示された項目から選択して検索します。 組織別索引から検索 組織別索引から選択して検索します。 くらしの情報 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 高齢者・介護 おくやみ 戸籍・住民票・印鑑登録・マイナンバーカード 税 国民健康保険・後期高齢者医療 国民年金 水道・下水道 交通 都市計画 ごみ・環境保全 ペット 福祉 障がい者支援 消費生活 健康・医療 文化・スポーツ・生涯学習 市民活動・コミュニティ 防災 防犯 救急・消防 社会保障・税番号(
129	羽島市	補助金・交付金	https://www.city.hashima.lg.jp/4422.html	補助金・交付金/羽島市公式Webサイト 補助金・交付金 本文へ移動 シティプロモーション くらし・行政 補助機能表示 補助機能 文字サイズ 標準 拡大 背景色 黒 青 白 音声読み上げ 音声読み上げ foreign language お気に入りページ 閉じる メニュー表示 MENU キーワードで探す 検索 手続きナビ --> ゴミ分別アプリ 公共交通機関 休日当番医 防災 グローバルナビ ホーム サイトの検索方法 キーワードから検索 検索したいキーワードを入力して検索します。 分野別メニューから検索 左記の分野別メニューの[+]をクリックし、表示された項目から選択して検索します。 組織別索引から検索 組織別索引から選択して検索します。 くらしの情報 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 高齢者・介護 おくやみ 戸籍・住民票・印鑑登録・マイナンバーカード 税 国民健康保険・後期高齢者医療 国民年金 水道・下水道 交通 都市計画 ごみ・環境保全 ペット 福祉 障がい者支援 消費生活 健康・医療 文化・スポーツ・生涯学習 市民活動・コミュニティ 防災 防犯 救急・消防 社
126	瑞浪市	オンライン申請手続き一覧	https://www.city.mizunami.lg.jp/1004458/1008445.html	オンライン申請手続き一覧｜瑞浪市公式ホームページ エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 やさしい日本語 もとのページをみる サイトマップ Foreign language 文字サイズ・配色の変更 くらし 健康・福祉 高齢者・介護 子育て・教育 観光・文化 産業・ビジネス 市政 防災・災害 現在の位置： トップページ > 手続きガイド（申請・届出） > オンライン申請手続き一覧 ここから本文です。 オンライン申請手続き一覧 ページ番号1008445 更新日 令和8年6月3日 印刷 大きな文字で印刷 諸証明交付申請一覧(クレジットカード決済のみ対応) 一覧の手続名をクリックすると手続ページにアクセスすることができます。 住民票オンライン申請フォーム （外部リンク） 戸籍謄抄本オンライン申請フォーム （外部リンク） 戸籍の附票の写しオンライン申請フォーム （外部リンク） 税務証明オンライン申請フォーム （外部リンク） 上下水道 使用開始・休止の届出 給水装置、排水設備等使用開始(再開)届オンライン申請 （外部リンク） 給水装置、排水設備等使用休止届オンライン
120	羽島市	コミュニティバスのよくあるお問い合わせ（FAQ）	https://www.city.hashima.lg.jp/1763.html	コミュニティバスのよくあるお問い合わせ（FAQ）/羽島市公式Webサイト コミュニティバスのよくあるお問い合わせ（FAQ） 本文へ移動 シティプロモーション くらし・行政 補助機能表示 補助機能 文字サイズ 標準 拡大 背景色 黒 青 白 音声読み上げ 音声読み上げ foreign language お気に入りページ 閉じる メニュー表示 MENU キーワードで探す 検索 手続きナビ --> ゴミ分別アプリ 公共交通機関 休日当番医 防災 グローバルナビ ホーム サイトの検索方法 キーワードから検索 検索したいキーワードを入力して検索します。 分野別メニューから検索 左記の分野別メニューの[+]をクリックし、表示された項目から選択して検索します。 組織別索引から検索 組織別索引から選択して検索します。 くらしの情報 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 高齢者・介護 おくやみ 戸籍・住民票・印鑑登録・マイナンバーカード 税 国民健康保険・後期高齢者医療 国民年金 水道・下水道 交通 都市計画 ごみ・環境保全 ペット 福祉 障がい者支援 消費生活 健康・医療 文化・ス
114	美濃市		https://www.city.mino.gifu.jp/docs/1144.html	家族がなくなったとき - 美濃市 サイトマップ Language 読み上げ・色変換・文字サイズ 検索 検索 メニュー 閉じる ふりがなをつける 読み上げる 背景色 標準 黒 青 黄 文字サイズ 標準 大きく くらし・手続き 子育て・教育 福祉・健康 市政情報 事業者向け 観光・文化 シーンから探す 新着情報 申請書ダウンロード LINE Facebook YouTube サイトマップ Language とじる トップページ &rsaquo; さがす &rsaquo; シーンから探す &rsaquo; 家族がなくなったとき 家族がなくなったとき 2023年4月1日 まずは死亡届を提出してください 死亡届 を提出してください。 火葬をされる方は火葬許可申請を行ってください。 火葬場 、霊柩車を使用される方は使用申請をしてください。 ※これらの窓口は全て市民生活課です。 その他の手続きについて 家族が亡くなられた後の手続きは、亡くなられた方によって必要な手続きが異なり、多岐にわたります。下記の一覧表を参考にしてください。(一覧表は下段でダウンロードできます。) 印鑑登録 手続き・項目 死亡日
114	羽島市	くらしの情報	https://www.city.hashima.lg.jp/1000.html	くらしの情報/羽島市公式Webサイト くらしの情報 本文へ移動 シティプロモーション くらし・行政 補助機能表示 補助機能 文字サイズ 標準 拡大 背景色 黒 青 白 音声読み上げ 音声読み上げ foreign language お気に入りページ 閉じる メニュー表示 MENU キーワードで探す 検索 手続きナビ --> ゴミ分別アプリ 公共交通機関 休日当番医 防災 グローバルナビ ホーム サイトの検索方法 キーワードから検索 検索したいキーワードを入力して検索します。 分野別メニューから検索 左記の分野別メニューの[+]をクリックし、表示された項目から選択して検索します。 組織別索引から検索 組織別索引から選択して検索します。 くらしの情報 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 高齢者・介護 おくやみ 戸籍・住民票・印鑑登録・マイナンバーカード 税 国民健康保険・後期高齢者医療 国民年金 水道・下水道 交通 都市計画 ごみ・環境保全 ペット 福祉 障がい者支援 消費生活 健康・医療 文化・スポーツ・生涯学習 市民活動・コミュニティ 防災 防犯 救急・消防 社会保
109	美濃市		https://www.city.mino.gifu.jp/kurashi/hojyo/	補助制度 - 美濃市 サイトマップ Language 読み上げ・色変換・文字サイズ 検索 検索 メニュー 閉じる ふりがなをつける 読み上げる 背景色 標準 黒 青 黄 文字サイズ 標準 大きく くらし・手続き 子育て・教育 福祉・健康 市政情報 事業者向け 観光・文化 シーンから探す 新着情報 申請書ダウンロード LINE Facebook YouTube サイトマップ Language とじる トップページ &rsaquo; くらし・手続き &rsaquo; 補助制度 補助制度 美濃市高齢者補聴器購入費助成金事業について new 美濃市子育て世帯住宅支援事業補助金 空家移住促進事業補助金 美濃市介護職員初任者研修受講費補助金事業について 令和８年度地域の絆づくり事業を募集します！ 勤労者生活資金融資制度 木造住宅無料耐震診断事業 美濃市ブロック塀等撤去費補助事業 木造住宅耐震補強工事費補助事業 東京圏から美濃市へ移住される方への支援について 地方就職学生支援事業 美濃市空家等除却支援事業 木造住宅耐震除却工事費補助事業 花かざり活動支援補助事業 地域の絆づくり事業概要(市民団体によ
106	羽島市	事業者の方へ	https://www.city.hashima.lg.jp/1003.html	事業者の方へ/羽島市公式Webサイト 事業者の方へ 本文へ移動 シティプロモーション くらし・行政 補助機能表示 補助機能 文字サイズ 標準 拡大 背景色 黒 青 白 音声読み上げ 音声読み上げ foreign language お気に入りページ 閉じる メニュー表示 MENU キーワードで探す 検索 手続きナビ --> ゴミ分別アプリ 公共交通機関 休日当番医 防災 グローバルナビ ホーム サイトの検索方法 キーワードから検索 検索したいキーワードを入力して検索します。 分野別メニューから検索 左記の分野別メニューの[+]をクリックし、表示された項目から選択して検索します。 組織別索引から検索 組織別索引から選択して検索します。 くらしの情報 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 高齢者・介護 おくやみ 戸籍・住民票・印鑑登録・マイナンバーカード 税 国民健康保険・後期高齢者医療 国民年金 水道・下水道 交通 都市計画 ごみ・環境保全 ペット 福祉 障がい者支援 消費生活 健康・医療 文化・スポーツ・生涯学習 市民活動・コミュニティ 防災 防犯 救急・消防 社会保
