code,municipality,rescore,title,url,snippet
21362,関ケ原町,105,"関ケ原町子育て応援給付金について/関ケ原町",https://www.town.sekigahara.gifu.jp/3587.htm,"※拡充対象は、令和３年４月２日以降の出生から対象 支給を受けられる方 出生から１年以上関ケ原町に住所と生活の根拠を有するお子さんを養育している方 ※ 「一定期間在住」とは、出生の日から一年以上関ケ原町に出生児とともに 住所と生活の根拠を有し、住民基本台帳法による住民票に記載されている者 ※ 但し、関ケ原町に対して納付するべき金銭（町税、保育料、負担金、使用料"
21381,神戸町,105,"神戸町企業立地促進奨励金制度",https://www.town.godo.gifu.jp/business/business12.html,"雇用促進奨励金 操業開始前1年以内に新規雇用した従業員のうち、操業開始の日から神戸町に居住し、かつ引き続き1年以上常時雇用された従業員1人につき10万円を交付します。 （限度額1,000万円・1回限り） 対象要件 工場等設置奨励金及び雇用促進奨励金 工場等の設置が下記の新設・増設・移設のいずれかであること。 申請手続き （1）事業者の指定 奨励金の交付には、"
21382,輪之内町,105,"令和7年度 物価高対応子育て応援手当について",https://town.wanouchi.gifu.jp/portal/life-process/subsidy-allowance/about-children/post0065653/,"こども家庭庁ホームページ（物価高対応子育て応援手当）（外部リンク） それを受けて、町でも支給対象者のみなさまに本手当の支給を開始します。 令和8年2月25日から順次本手当の支給手続きに入らせていただきます。 対象児童の生年月日や受給者の状況等により、申請方法や支給時期が異なりますので、下記をご確認ください。 1．対象児童 （1）令和7年9月分（※）の児童手当"
21382,輪之内町,105,"中学校就学準備等支援金のご案内",https://town.wanouchi.gifu.jp/portal/parenting-education/pregnancy-childbirth-parenting/post0065273/,"□ 対象児童 中学校に入学する年の1月1日時点で輪之内町に住所を有し、1月1日以降も町内に居住することが見込まれる児童 □ 支給対象者 （1）対象児童の保護者 （2）対象児童が入所している児童養護施設等の設置者 （3）その他町長が認める者 □ 支給金額 対象児童1人につき、3万円 □ 申請方法 ① 対象児童を要件とした令和9年2月期の児童手当を輪之内町から受"
21382,輪之内町,105,"小学校就学準備等支援金のご案内",https://town.wanouchi.gifu.jp/portal/parenting-education/pregnancy-childbirth-parenting/post0058374/,"□ 対象児童 小学校に入学する年の1月1日時点で輪之内町に住所を有し、1月1日以降も町内に居住することが見込まれる児童 □ 支給対象者 （1）対象児童の保護者 （2）対象児童が入所している児童養護施設等の設置者 （3）その他町長が認める者 □ 支給金額 対象児童1人につき、3万円 □ 申請方法 ① 対象児童を要件とした令和9年2月期の児童手当を輪之内町から受"
21383,安八町,105,"安八町ふるさと就職奨励金制度",https://www.town.anpachi.lg.jp/0000001892.html,"奨励金額 就職奨励金 10万円 ※奨励金の交付を受けることができるのは1人1回限りです。 (4) 交付請求 提出書類 対象者 書類名 PDF形式 全 員 【様式第4号】交付請求書 (PDF形式、101.62KB) 町内就職者 UIターン就職者 正規雇用されていることを証明する書類 後継者 後継者として従事していることを証する書類 起業者 商業登記簿謄本の写し"
21383,安八町,85,"定住促進住宅取得助成金制度について",https://www.town.anpachi.lg.jp/0000000195.html,"対象者 次の4つの要件をすべて満たしている方が対象となります。 安八町内に令和8年2月16日から令和9年2月15日の間に、住宅の所有権の取得または工事引き渡しを完了した住宅の所有者。 この制度による助成を受けたことがない方。 申請については、住宅の所有権を取得した日または工事引き渡しを受けた日以後の最初の2月15日までに安八町定住促進住宅取得助成金交付申請書"
21383,安八町,85,"安八町省エネエアコン買替補助金（物価高騰対応重点支援地方創生臨時交付金活用事業）",https://www.town.anpachi.lg.jp/0000002480.html,"物価高騰対策や地球温暖化対策の取り組みの一つとして、省エネ性能の高いエアコンへ買い替える際の購入費を補助します。 対象となる方 補助金の対象となる方は、申請時に次の要件をすべて満たす 個人 とします。 ※ 目標年度2010年のエアコンは対象外 です。 ※ 買い替えが対象です。"
21381,神戸町,75,"西美濃創生広域連携推進協議会 補助金のご案内",https://www.town.godo.gifu.jp/business/business07.html,"1．西美濃創生広域連携推進協議会補助金 2．大垣商工会議所補助金 3．お問い合わせ 4．交付申請から補助金受領までの流れ 案内チラシダウンロード 案内チラシ ／PDFファイル 申請書等のダウンロード 大垣市ホームページ よりダウンロードをお願いします。"
21381,神戸町,75,"神戸町創業支援事業補助金制度",https://www.town.godo.gifu.jp/business/business11.html,"対象となる方 町内において新たに創業する方であって、次の各号のいずれにも該当するものとする。 補助金の額の確定 交付決定者が次の各号のいずれかに該当した場合は、補助金の交付決定の全部又は一部を取消す。"
