municipalityCode,municipalityName,rescore,title,h1,sourceUrl,snippet
"21403","大野町","110","大野町への移住・定住の促進 | 大野町","","https://www.town-ono.jp/0000000204.html","大野町への移住・定住の促進 | 大野町 共通メニューなどをスキップして本文へ 本文へ サイトマップ 各課への問い合せ 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のままサイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 トップページ 暮らしの情報 町政情報 観光・特産 施設ガイド スマートフォン表示用の情報をスキップ メニュー 閉じる トップページ 暮らしの情報 町政情報 観光・特産 施設ガイド サイトマップ 各課への問"
"21403","大野町","110","認定こども園・幼稚園等3歳以上児給食費補助事業について | 大野町","","https://www.town-ono.jp/0000002026.html","認定こども園・幼稚園等3歳以上児給食費補助事業について | 大野町 共通メニューなどをスキップして本文へ 本文へ サイトマップ 各課への問い合せ 文字サイズ 標準 拡大 検索 文字サイズ変更機能を利用するにはJavaScript（アクティブスクリプト）を有効にしてください。JavaScript（アクティブスクリプト） を無効のままサイズを変更する場合には、ご利用のブラウザの表示メニューから文字サイズを変更してください。 トップページ 暮らしの情報 町政情報 観光・特産 施設ガイド スマートフォン表示用の情報をスキップ メニュー 閉じる トップページ 暮らしの情報 町政情報 観光・特産 施設ガイ"
"21404","池田町","110","岐阜県池田町 ふるさと納税 | 岐阜県揖斐郡池田町","岐阜県池田町 ふるさと納税","https://www.town.gifu-ikeda.lg.jp/0000000094.html","岐阜県池田町 ふるさと納税 | 岐阜県揖斐郡池田町 ページの先頭です 共通メニューなどをスキップして本文へ 人口・ 世帯数 人口 21,979人 世帯 8,851世帯 男性 10,824人 女性 11,155人 [2026年7月1日現在] 気象情報 池田ライブカメラ 防災情報 検索 検索 問い合わせ 閲覧支援 閉じる 文字サイズ 標準 拡大 Language 日本語 English Português 한국 中文繁体 中文簡体 Tiếng Việt Tagalog Bahasa Indonesia မြန်မာဘာသာစကား ភាសាខ្មែរ नेपाली भाषा বাংলা ふりがな "
"21404","池田町","110","ふるさと産品創出支援事業【ふるさと納税3.0】 | 岐阜県揖斐郡池田町","ふるさと産品創出支援事業【ふるさと納税3.0】","https://www.town.gifu-ikeda.lg.jp/0000003533.html","ふるさと産品創出支援事業【ふるさと納税3.0】 | 岐阜県揖斐郡池田町 ページの先頭です 共通メニューなどをスキップして本文へ 人口・ 世帯数 人口 21,979人 世帯 8,851世帯 男性 10,824人 女性 11,155人 [2026年7月1日現在] 気象情報 池田ライブカメラ 防災情報 検索 検索 問い合わせ 閲覧支援 閉じる 文字サイズ 標準 拡大 Language 日本語 English Português 한국 中文繁体 中文簡体 Tiếng Việt Tagalog Bahasa Indonesia မြန်မာဘာသာစကား ភាសាខ្មែរ नेपाली भाषा ব"
"21404","池田町","110","夏休み「こどもパソコン教室」開催のお知らせ | 岐阜県揖斐郡池田町","夏休み「こどもパソコン教室」開催のお知らせ","https://www.town.gifu-ikeda.lg.jp/0000003636.html","夏休み「こどもパソコン教室」開催のお知らせ | 岐阜県揖斐郡池田町 ページの先頭です 共通メニューなどをスキップして本文へ 人口・ 世帯数 人口 21,979人 世帯 8,851世帯 男性 10,824人 女性 11,155人 [2026年7月1日現在] 気象情報 池田ライブカメラ 防災情報 検索 検索 問い合わせ 閲覧支援 閉じる 文字サイズ 標準 拡大 Language 日本語 English Português 한국 中文繁体 中文簡体 Tiếng Việt Tagalog Bahasa Indonesia မြန်မာဘာသာစကား ភាសាខ្មែរ नेपाली भाषा বাং"
"21501","坂祝町","110","新型コロナウイルス関連情報 ｜ 新型コロナウイルス関連情報-坂祝町公式ウェブサイト","新型コロナウイルス関連情報","https://www.town.sakahogi.gifu.jp/diary/?cat=35","新型コロナウイルス関連情報 ｜ 新型コロナウイルス関連情報-坂祝町公式ウェブサイト --> --> 暮らしの情報 行政情報 事業者向け情報 観光情報 トップページ 新型コロナウイルス関連情報 , 産業環境課 新型コロナウイルス関連情報 新型コロナウイルス ワクチン接種について 新型コロナウイルスワクチン接種は、国の指示のもと、都道府県の協力により各市町村において実施することになっています。 坂祝町におきましても、町民の皆様に早期に安全に接種ができるよう準備を進めています。現時点での情報は下記の通りですが、今後、変更となる可能性があります。 追加情報等は、引き続き坂祝町ホームページにてお知らせし"
"21501","坂祝町","110","定額減税補足給付金不足額給付金について ｜ 窓口税務課-坂祝町公式ウェブサイト","窓口税務課からのお知らせ","https://www.town.sakahogi.gifu.jp/diary/2025/11/13446/","定額減税補足給付金不足額給付金について ｜ 窓口税務課-坂祝町公式ウェブサイト --> --> 暮らしの情報 行政情報 事業者向け情報 観光情報 トップページ 各課からのお知らせ 窓口税務課 定額減税補足給付金不足額給付金について 窓口税務課からのお知らせ 定額減税補足給付金不足額給付金について 2025年11月1日 &lt;&lt; 次の記事 記事一覧 前の記事 &gt;&gt; ●重要なお知らせ 本給付金の申請受付は令和7年10月31日（金曜）（当日消印有効）をもって終了しました。 ●給付金の概要 国の「デフレ完全脱却のための総合経済対策」の一時的な措置として、令和6年度に定額減税（納税義"
"21502","富加町","110","富加町定住促進奨励金事業 - 富加町","","https://www.town.tomika.gifu.jp/docs/461.html","富加町定住促進奨励金事業 - 富加町 本文へ English / 中文 / 中文（繁体） / --> Português / Việt / Tagalog 自動翻訳 ふりがなをつける ふりがなをはずす 読み上げる 背景色 白 青 黒 文字サイズ 小さく 標準 大きく 日本最古の戸籍ゆかりのまち 検索 menu くらし・手続き 住民窓口(届出・証明) 防災情報 消防 国民年金 国民健康保険 税金 ふるさと納税 住まい ごみ・リサイクル 上水道・下水道 防犯・消費生活 道路・交通 環境 町民活動 移住 外国人・多文化共生 子育て・教育 妊娠・出産 子育て支援 小学校・中学校 図書室 教育委員会 生"
"21502","富加町","110","生ごみ処理機等設置補助金について - 富加町","","https://www.town.tomika.gifu.jp/docs/7354.html","生ごみ処理機等設置補助金について - 富加町 本文へ English / 中文 / 中文（繁体） / --> Português / Việt / Tagalog 自動翻訳 ふりがなをつける ふりがなをはずす 読み上げる 背景色 白 青 黒 文字サイズ 小さく 標準 大きく 日本最古の戸籍ゆかりのまち 検索 menu くらし・手続き 住民窓口(届出・証明) 防災情報 消防 国民年金 国民健康保険 税金 ふるさと納税 住まい ごみ・リサイクル 上水道・下水道 防犯・消費生活 道路・交通 環境 町民活動 移住 外国人・多文化共生 子育て・教育 妊娠・出産 子育て支援 小学校・中学校 図書室 教育委"
"21502","富加町","110","合併浄化槽に補助金を交付します（合併処理浄化槽設置事業補助金） - 富加町","","https://www.town.tomika.gifu.jp/docs/622578.html","合併浄化槽に補助金を交付します（合併処理浄化槽設置事業補助金） - 富加町 本文へ English / 中文 / 中文（繁体） / --> Português / Việt / Tagalog 自動翻訳 ふりがなをつける ふりがなをはずす 読み上げる 背景色 白 青 黒 文字サイズ 小さく 標準 大きく 日本最古の戸籍ゆかりのまち 検索 menu くらし・手続き 住民窓口(届出・証明) 防災情報 消防 国民年金 国民健康保険 税金 ふるさと納税 住まい ごみ・リサイクル 上水道・下水道 防犯・消費生活 道路・交通 環境 町民活動 移住 外国人・多文化共生 子育て・教育 妊娠・出産 子育て支援 "
