municipalityCode,municipalityName,score,priority,label,url,snippet
"21604","白川村","120","strong","岐阜県東京圏からの移住支援事業における白川村移住支援金","https://www.vill.shirakawa.lg.jp/1268.htm",""
"21604","白川村","120","strong","白川村民間賃貸住宅居住助成金","https://www.vill.shirakawa.lg.jp/1270.htm",""
"21604","白川村","100","strong","白川村定住対策親雪補助金","https://www.vill.shirakawa.lg.jp/2767.htm",""
"21604","白川村","100","strong","白川村空き家再生活用事業補助金","https://www.vill.shirakawa.lg.jp/1259.htm",""
"21604","白川村","100","strong","白川村老朽危険空家等除却支援事業補助金","https://www.vill.shirakawa.lg.jp/2799.htm",""
"21604","白川村","100","strong","白川村通勤就職者助成金","https://www.vill.shirakawa.lg.jp/1269.htm",""
"21604","白川村","100","strong","白川村定住対策親雪補助金","https://www.vill.shirakawa.lg.jp/2767.htm",""
"21604","白川村","100","strong","白川村起業者支援事業補助金","https://www.vill.shirakawa.lg.jp/2394.htm",""
"22101","静岡市","100","strong","街頭防犯カメラ設置事業補助金","https://www.city.shizuoka.lg.jp/s9623/s000015.html",""
"22101","静岡市","100","strong","感震ブレーカー設置補助金","https://www.city.shizuoka.lg.jp/s4268/s000385.html",""
"22102","浜松市","70","low","7月1日市制記念日 施設無料開放","https://www.city.hamamatsu.shizuoka.jp/kikaku/shisetsu_muryo.html",""
"22102","浜松市","70","low","11月3日 文化の日 施設無料開放","https://www.city.hamamatsu.shizuoka.jp/kikaku/bunkanohi_muryo.html",""
"22101","静岡市","60","low","「認定こども園等連絡袋」作成・贈与いただける事業者の募集","https://www.city.shizuoka.lg.jp/s5783/s004402.html",""
"22101","静岡市","60","low","令和8年度放課後児童クラブへの入会","https://www.city.shizuoka.lg.jp/s4395/s013060.html",""
"22101","静岡市","60","low","「静岡市犯罪等に強いまちづくり推進審議会」の市民委員募集","https://www.city.shizuoka.lg.jp/s9623/s000012.html",""
"22102","浜松市","60","low","令和8年度第34回浜松市民アカデミー受講生募集（全9回）","https://www.city.hamamatsu.shizuoka.jp/c-machi/r8/siminnakademi.html",""
"22203","沼津市","60","low","適格請求書発行事業者の登録について（インボイス制度）","https://www.city.numazu.shizuoka.jp/business/oyakudachi/invoice/",""
"21521","御嵩町","40","low","事業者TOP | 御嵩町","https://www.town.mitake.lg.jp/business/",""
"21521","御嵩町","40","low","障がい福祉","https://www.town.mitake.lg.jp/portal/health-welfare/disability-welfare/",""
"21521","御嵩町","40","low","広告募集","https://www.town.mitake.lg.jp/portal/town/advertisement-wanted/",""
"21521","御嵩町","40","low","御嵩町移住公式サイト～みたけで暮らしてみませんか～","https://www.town.mitake.lg.jp/living/%E5%BE%A1%E5%B5%A9%E7%94%BA%E7%A7%BB%E4%BD%8F%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88%EF%BD%9E%E3%81%BF%E3%81%9F%E3%81%91%E3%81%A7%E6%9A%AE%E3%82%89%E3%81%97%E3%81%A6%E3%81%BF%E3%81%BE%E3%81%9B/",""
"21521","御嵩町","40","low","「令和８年度 みたけ未来トーク」を開催します！","https://www.town.mitake.lg.jp/portal/town/administration/post0102782/",""
"21521","御嵩町","40","low","第４４回 可児・御嵩 発明くふう展作品の募集について","https://www.town.mitake.lg.jp/event/calendar/news0105000/",""
"21521","御嵩町","40","low","病気・障がい","https://www.town.mitake.lg.jp/purpose_cat/illness_disability/",""
"21521","御嵩町","40","low","バナー広告の募集について","https://www.town.mitake.lg.jp/portal/town/advertisement-wanted/post0008104/",""
"21521","御嵩町","40","low","事業者TOP | 御嵩町","https://www.town.mitake.lg.jp/business/",""
"21521","御嵩町","40","low","事業者向け","https://www.town.mitake.lg.jp/news/?cat=businesses",""
"21521","御嵩町","40","low","募集","https://www.town.mitake.lg.jp/business/business/%e5%8b%9f%e9%9b%86/",""
"21521","御嵩町","40","low","【大阪】セミナー＆移住相談会「意外とええやん！岐阜」（御嵩町出展）※事前申し込み必須","https://www.town.mitake.lg.jp/event/calendar/news0098601/",""
