slug	organization	title	maxAmount	url	evidence
hiroshima-official-002-001-2026	福山市	福山市 「新生児聴覚検査」の助成をしています	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.fukuyama.hiroshima.jp/site/kosodate/180467.html	「新生児聴覚検査」の助成をしています - 福山市子育て支援サイト - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ ホーム 検索 とじる メニュー とじる 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 キーワードでさがす 緊急時の連絡先 （休日・夜間診療） 子育て イベント情報 福山市子育て支援アプリ
hiroshima-official-002-002-2026	福山市	福山市 【2025年度】事業者向け 福山市男性育児休業取得奨励金について	公式ページ記載の給付額・支援額に従う	https://www.city.fukuyama.hiroshima.jp/soshiki/sangyou/363841.html	【2025年度】事業者向け 福山市男性育児休業取得奨励金について - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ &g
hiroshima-official-002-003-2026	福山市	福山市 【８月３日募集開始予定】福山市販路開拓支援事業補助金について	補助金額補助率２分の１補助上限国内・オンライン２０万円	https://www.city.fukuyama.hiroshima.jp/soshiki/sangyou/361576.html	【８月３日募集開始予定】福山市販路開拓支援事業補助金について - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ &gt;
hiroshima-official-002-004-2026	福山市	福山市 【すべての受付を終了しました】福山市定額減税補足給付金（不足額給付）について	公式ページ記載の給付額・支援額に従う	https://www.city.fukuyama.hiroshima.jp/soshiki/shiminzei/357442.html	【すべての受付を終了しました】福山市定額減税補足給付金（不足額給付）について - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップ
hiroshima-official-002-005-2026	福山市	福山市 【企業様必見】兼業・副業人材を活用する際の報酬を補助します！	限度額】1か月につき5万円	https://www.city.fukuyama.hiroshima.jp/soshiki/sangyou/398195.html	【企業様必見】兼業・副業人材を活用する際の報酬を補助します！ - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ &gt;
hiroshima-official-002-006-2026	福山市	福山市 【事業者向け】 福山市働き方改革実践応援奨励金について【2026年度】	公式ページ記載の給付額・支援額に従う	https://www.city.fukuyama.hiroshima.jp/soshiki/sangyou/397993.html	【事業者向け】 福山市働き方改革実践応援奨励金について【2026年度】 - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ
hiroshima-official-002-007-2026	福山市	福山市 【事業者向け】インターンシップ関連経費補助金のご案内	補助額補助対象と認められる経費の２分の１（１社あたり上限１５万円	https://www.city.fukuyama.hiroshima.jp/soshiki/sangyou/368367.html	【事業者向け】インターンシップ関連経費補助金のご案内 - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ &gt; 担当部
hiroshima-official-002-008-2026	福山市	福山市 【事業者向け】福山市日本語学習支援事業補助金のご案内	上限５万円	https://www.city.fukuyama.hiroshima.jp/soshiki/sangyou/399714.html	【事業者向け】福山市日本語学習支援事業補助金のご案内 - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ &gt; 担当部
hiroshima-official-002-009-2026	福山市	福山市 【受付終了しました】市民活動スタートアップ事業補助 始業期支援コース	上限を１０万円	https://www.city.fukuyama.hiroshima.jp/soshiki/machidukuri-suisin/357935.html	【受付終了しました】市民活動スタートアップ事業補助 始業期支援コース - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ
hiroshima-official-002-010-2026	福山市	福山市 ＜事業者向け＞２０２６年度奨学金返済支援制度導入促進事業補助	上限補助率：1/３補助上限：３６万円	https://www.city.fukuyama.hiroshima.jp/soshiki/sangyou/332703.html	＜事業者向け＞２０２６年度奨学金返済支援制度導入促進事業補助 - 福山市ホームページ ページの先頭です。 メニューを飛ばして本文へ やさしい日本語 音声読み上げ Language JavaScriptが無効のため、文字の大きさ・背景色を変更する機能を使用できません。 背景色 白 黒 青 文字サイズ 標準 拡大 くらし の情報 産業・仕事 の情報 市政 情報 観光・魅力 の情報 キーワードでさがす 広報idでさがす トップページ &gt;
