slug	organization	title	maxAmount	url	evidence
kagawa-official-001-001-2026	高松市	高松市 高額療養費 (後期高齢者医療)	限度額（月額）外来（個人単位）外来+入院（世帯単位）3割現役並みⅢ（住民税課税所得690万円	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/nenkin/koukikorei/kogakuiryo.html	高額療養費 (後期高齢者医療)｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの情報 くら
kagawa-official-001-002-2026	高松市	高松市 自立支援医療（育成医療）費支給	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/ikuseiiryo.html	自立支援医療（育成医療）費支給｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの情報 くら
kagawa-official-001-003-2026	高松市	高松市 高等学校等入学準備金貸付制度について	35,000円給付	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/kashitsuke.html	高等学校等入学準備金貸付制度について｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの情報
kagawa-official-001-004-2026	高松市	高松市 高松市奨学金支給制度について	支給額（返済不要）：1人月額9，000円	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/shogakukin.html	高松市奨学金支給制度について｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの情報 くらし
kagawa-official-001-005-2026	高松市	高松市 就学援助制度について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/shugakushien.html	就学援助制度について｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの情報 くらし・手続き
kagawa-official-001-006-2026	高松市	高松市 大学等教育資金融資制度利用者利子補給について	限度額2万円	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kosodate/yushi.html	大学等教育資金融資制度利用者利子補給について｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くら
kagawa-official-001-007-2026	高松市	高松市 高松市住宅耐震対策事業について	上限115万円	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kurashi/taishin_kaishu.html	高松市住宅耐震対策事業について｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの情報 くら
kagawa-official-001-008-2026	高松市	高松市 高松市緑化事業助成制度（生垣設置、ブロック塀撤去等）	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/kurashi/ryokka.html	高松市緑化事業助成制度（生垣設置、ブロック塀撤去等）｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップペー
kagawa-official-001-009-2026	高松市	高松市 高松市防災士育成事業補助金の交付について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/sonota/shoboushi_ikusei.html	高松市防災士育成事業補助金の交付について｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの
kagawa-official-001-010-2026	高松市	高松市 私道整備事業助成制度について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.takamatsu.kagawa.jp/kurashi/kurashi/josei/sonota/shidou_seibi.html	私道整備事業助成制度について｜高松市 高松市ホームページではJavaScriptを使用しています。JavaScriptの使用を有効にしていない場合は、一部の機能が正確に動作しない恐れがあります。 お手数ですがJavaScriptの使用を有効にしてください。 このページの本文へ移動 総合トップページへ 音声読み上げ・文字拡大 Multilingual サイトマップ キーワード検索 Loading --> トップページ くらしの情報 くらし
