rescore	score	organization	title	url	evidence
86	30	垂水市	児童扶養手当	https://www.city.tarumizu.lg.jp/kosodateshien/kurashi/kosodate/teate-jyosei/jidofuyo.html	鹿児島県垂水市／児童扶養手当 本文へスキップします。 垂水市 文字サイズ・色合いの変更 音声読み上げ Foreign Language 組織から探す メニュー 暮らし・手続き 健康・福祉 子育て・教育 観光・文化・スポーツ 産業・しごと 市政の動き MENU 閉じる トップ > 子育て・教育 > 子育て手当・助成制度 > 児童扶養手当 シェア ツイート 更新日：2026年6月22日 ここから本文です。 児童扶養手当 児童扶養手当とは 父又は母のいない児童（父又は母が重度障害者の場合を含む）の父又は母や、親にかわってその児童を養育している方に支給されます。 支給額 ＜対象児童1人の場合＞ 月額48,050円（全部支給額） 月額11,340円～48,040円（一部支給額） ＜対象児童が2人以上の場合、一人あたりの加
86	30	垂水市	垂水市住宅取得費助成金交付事業	https://www.city.tarumizu.lg.jp/chiiki/kurashi/sangyo/akiya/jyutaku_syutoku.html	鹿児島県垂水市／垂水市住宅取得費助成金交付事業 本文へスキップします。 垂水市 文字サイズ・色合いの変更 音声読み上げ Foreign Language 組織から探す メニュー 暮らし・手続き 健康・福祉 子育て・教育 観光・文化・スポーツ 産業・しごと 市政の動き MENU 閉じる トップ > 暮らし・手続き > 移住・定住 > 移住・定住支援 > 垂水市住宅取得費助成金交付事業 シェア ツイート 更新日：2026年4月27日 ここから本文です。 垂水市住宅取得費助成金交付事業 垂水市内における子育て世帯（中学生以下の子ども又は妊婦のいる世帯）又は転入者で、自ら居住するために、市内に住宅を建設・購入された方に対し、住宅建設・購入費用の一部を助成します。 令和8年度より500万円未満の物件も対象となりました。
86	30	垂水市	特別児童扶養手当	https://www.city.tarumizu.lg.jp/kosodateshien/kurashi/kosodate/syogai/teate/jidofuyo.html	鹿児島県垂水市／特別児童扶養手当 本文へスキップします。 垂水市 文字サイズ・色合いの変更 音声読み上げ Foreign Language 組織から探す メニュー 暮らし・手続き 健康・福祉 子育て・教育 観光・文化・スポーツ 産業・しごと 市政の動き MENU 閉じる トップ > 健康・福祉 > 福祉 > 障がい者支援 > 年金・福祉手当 > 特別児童扶養手当 シェア ツイート 更新日：2026年5月28日 ここから本文です。 特別児童扶養手当 精神又は身体に障害のある児童を監護する父か母、または父母に代わって養育している人に対して支給されます。 特別児童扶養手当のしおり（PDF：3,217KB）（別ウィンドウで開きます） 手当月額（令和8年4月改定額） 重度障害児1人58,450円 中度障害児1人38,93
86	30	垂水市	はり、きゅう助成金支給事業	https://www.city.tarumizu.lg.jp/fukushi/kurashi/fukushi/koresha/sonota/hari.html	鹿児島県垂水市／はり、きゅう助成金支給事業 本文へスキップします。 垂水市 文字サイズ・色合いの変更 音声読み上げ Foreign Language 組織から探す メニュー 暮らし・手続き 健康・福祉 子育て・教育 観光・文化・スポーツ 産業・しごと 市政の動き MENU 閉じる トップ > 健康・福祉 > 福祉 > 高齢者支援（地域福祉） > はり、きゅう助成金支給事業 シェア ツイート 更新日：2025年1月29日 ここから本文です。 はり、きゅう助成金支給事業 事業概要 はり、きゅう施術料の一部助成を行うことにより、高齢者の健康と保健の向上に寄与し、もって老人福祉の増進を図ることを目的とします。 対象者 垂水市に居住する65歳以上の高齢者 助成・料金等 施術料の助成額は、1回につき200円とします。 また
86	30	西之表市	障害者(児)に対する手当の給付	https://www.city.nishinoomote.lg.jp/admin/kenko_fukushi/shougaisha/1164.html	障害者(児)に対する手当の給付／種子島 西之表市 本文へ Foreign language 文字サイズ 背景色 音声読み上げ Foreign Language 音声読み上げ 各課のご案内 現在の位置 種子島 西之表市トップページ 種子島 西之表市サイト 健康・福祉 障害者福祉 障害者(児)に対する手当の給付 障害者(児)に対する手当の給付 特別障害者手当 精神または身体に重度の障害があるために、日常生活において常時特別な介護を必要とする状態にある在宅の20歳以上の者の生活の向上を目的として、支給される手当です。 令和8年4月分から手当額が改定されました。 (支給額) これまで月29,590円 （令和8年3月31日まで）⇒ 30,450円（令和8年4月1日～） (支給月) 2月、5月、8月、11月に前月分(3か月
86	30	西之表市	物価高対応子育て応援手当についてのご案内	https://www.city.nishinoomote.lg.jp/admin/soshiki/fukushi/kosodate/6198.html	物価高対応子育て応援手当についてのご案内／種子島 西之表市 本文へ Foreign language 文字サイズ 背景色 音声読み上げ Foreign Language 音声読み上げ 各課のご案内 現在の位置 種子島 西之表市トップページ 種子島 西之表市サイト 各課のご案内 福祉事務所 子育て支援係 物価高対応子育て応援手当についてのご案内 物価高対応子育て応援手当についてのご案内 物価高の影響が長期化する中、得にその影響を強く受けている子育て世帯を力強く支援し、子どもたちの健やかな成長を応援する観点から、0歳から高校生年代までの子ども1人あたり2万円の『物価高対応子育て応援手当』を支給します。 1．支給対象者 （1）令和7年9月分（令和7年9月生まれは10月分）の児童手当受給者 （2）令和7年10月1日から
86	30	西之表市	児童手当	https://www.city.nishinoomote.lg.jp/admin/soshiki/fukushi/kosodate/jidou_fukushi/teate/6206.html	児童手当／種子島 西之表市 本文へ Foreign language 文字サイズ 背景色 音声読み上げ Foreign Language 音声読み上げ 各課のご案内 現在の位置 種子島 西之表市トップページ 種子島 西之表市サイト 各課のご案内 福祉事務所 子育て支援係 児童福祉 諸手当 児童手当 児童手当 児童手当について 児童手当法等の改正により、令和6年10月分の手当から児童手当の制度が改正されました。 改正点は以下のとおりです。 1．所得制限の撤廃 2．支給対象児童が中学生から高校生年代（18歳に達する日以後の最初の3月31日までの児童）まで延長 3．第3子以降の支給額の増加及び、第3子以降のカウント方法の変更 4．支払いが年3回から「年6回」（偶数月）へ変更 児童手当制度の概要 1．対象児童 日本国内
86	30	西之表市	障害者(児)に対する手当の給付	https://www.city.nishinoomote.lg.jp/admin/soshiki/fukushi/shakaifukushi/shougaifukushi/381.html	障害者(児)に対する手当の給付／種子島 西之表市 本文へ Foreign language 文字サイズ 背景色 音声読み上げ Foreign Language 音声読み上げ 各課のご案内 現在の位置 種子島 西之表市トップページ 種子島 西之表市サイト 各課のご案内 福祉事務所 社会福祉係 障害者福祉 障害者(児)に対する手当の給付 障害者(児)に対する手当の給付 特別障害者手当 精神または身体に重度の障害があるために、日常生活において常時特別な介護を必要とする状態にある在宅の20歳以上の者の生活の向上を目的として、支給される手当です。 令和8年4月分から手当額が改定されました。 (支給額) これまで月29,590円 （令和8年3月31日まで）⇒ 30,450円（令和8年4月1日～） (支給月) 2月、5月、8
86	30	西之表市	物価高騰対応生活支援給付金事業	https://www.city.nishinoomote.lg.jp/admin/soshiki/fukushi/shiminsougousoudan/7605.html	物価高騰対応生活支援給付金事業／種子島 西之表市 本文へ Foreign language 文字サイズ 背景色 音声読み上げ Foreign Language 音声読み上げ 各課のご案内 現在の位置 種子島 西之表市トップページ 種子島 西之表市サイト 各課のご案内 福祉事務所 市民総合相談係 物価高騰対応生活支援給付金事業 物価高騰対応生活支援給付金事業 令和6年度物価高騰対応生活支援給付金 国の総合経済対策に基づき、特に家計への影響が大きい令和6年度住民税非課税世帯、ひとり親世帯に対して1世帯3万円（子ども1人につき2万円の加算）を支給します。 【対象世帯】 基準日（令和6年12月13日）時点で西之表市に住民登録がある下記世帯。 1. 令和6年度住民税均等割が非課税の世帯（課税者の扶養親族のみで構成されてい
81	30	西之表市	障害者に対する公共交通機関等の運賃割引・その他の減免措置	https://www.city.nishinoomote.lg.jp/admin/kenko_fukushi/shougaisha/1154.html	障害者に対する公共交通機関等の運賃割引・その他の減免措置／種子島 西之表市 本文へ Foreign language 文字サイズ 背景色 音声読み上げ Foreign Language 音声読み上げ 各課のご案内 現在の位置 種子島 西之表市トップページ 種子島 西之表市サイト 健康・福祉 障害者福祉 障害者に対する公共交通機関等の運賃割引・その他の減免措置 障害者に対する公共交通機関等の運賃割引・その他の減免措置 有料道路の通行料金 日本道路公団、首都高速道路公団、地方道路公団等の有料道路の料金が5割引されます。割引の対象となるのは、身体障害者が自ら自動車を運転する場合、または、重度の身体障害者もしくは重度の知的障害者が乗車し、その移動のために介護者が自動車を運転する場合です。 ただし、対象となる自動車の範囲
