slug	organization	title	maxAmount	url	evidence
kagoshima-official-004-001-2026	志布志市	志布志市 骨髄等移植ドナー事業を開始いたします。	1人当たり、1日につき2万円	https://www.city.shibushi.lg.jp/soshiki/9/34642.html	骨髄等移植ドナー事業を開始いたします。 本文 骨髄等移植ドナー事業を開始いたします。 ページID：0034642 更新日：2026年7月16日更新 印刷ページ表示 志布志市骨髄等移植ドナー支援事業 骨髄又は末梢血幹細胞（以下「骨髄等」という。）移植の推進を図るとともに、ドナー休業等による経済的負担を軽減するため、公益財団法人日本骨髄バンク(以下「日本骨髄バンク」という。）が実施する骨髄バンク事業（以下「骨髄バンク事業」という。）において
kagoshima-official-004-002-2026	志布志市	志布志市 ＪＲ日南線を利用する団体等の運賃を助成します	補助額運賃総額の10／10（上限20万円	https://www.city.shibushi.lg.jp/soshiki/1/18549.html	ＪＲ日南線を利用する団体等の運賃を助成します 本文 ＪＲ日南線を利用する団体等の運賃を助成します ページID：0018549 更新日：2026年7月15日更新 印刷ページ表示 JR日南線の利用を促進し、愛着を深めるため、対象団体が行う活動にJR日南線を利用する場合の運賃を補助します。 補助対象となる団体 JR日南線沿線市（志布志市、串間市、日南市及び宮崎市）に所在する団体 幼稚園、保育園、小・中学校、高等学校、子ども会、スポーツ少年団、
kagoshima-official-004-003-2026	志布志市	志布志市 SDGｓへのチャレンジに補助金を交付します！	上限30万円	https://www.city.shibushi.lg.jp/site/sdgs/25608.html	SDGｓへのチャレンジに補助金を交付します！ 本文 SDGｓへのチャレンジに補助金を交付します！ ページID：0025608 更新日：2025年4月1日更新 印刷ページ表示 志布志市では、市民、団体、民間事業者等が行うSDGｓの達成に繋がる取り組みを支援するために補助金を交付します。 SDGsチャレンジ補助金チラシ 1.補助対象事業 SDGｓに掲げる17の目標のうち、いずれかの目標の達成につながるもので、次に掲げる条件すべてを満たす事業
kagoshima-official-004-004-2026	志布志市	志布志市 志布志市若者・子育て世帯移住支援事業補助金のご案内	1人につき5万円	https://www.city.shibushi.lg.jp/site/iju/25497.html	志布志市若者・子育て世帯移住支援事業補助金のご案内 本文 志布志市若者・子育て世帯移住支援事業補助金のご案内 ページID：0025497 更新日：2026年4月1日更新 印刷ページ表示 志布志市に移住された若者・子育て世帯へ補助金を交付します 少子高齢化などにより人口減少が急速に進行する中、志布志市内への若者・子育て世帯の移住の促進を図るため、移住支援を行います。 志布志市若者・子育て世帯移住支援事業補助金の概要 市が定める要件を満たす
kagoshima-official-004-005-2026	志布志市	志布志市 東京圏移住支援事業補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.shibushi.lg.jp/site/iju/1283.html	東京圏移住支援事業補助金 本文 東京圏移住支援事業補助金 ページID：0001283 更新日：2026年4月1日更新 印刷ページ表示 東京圏 から鹿児島県へ 移住 し， 就職 または 起業 した方へ補助金を支給します！！ 東京23区（在住者又は通勤者）から鹿児島県内へ移住し，移住支援金の就業要件を満たす就業をした方，起業支援金の交付決定を受けた方のいずれかに，移住先の市町村から移住支援金を給付します。 鹿児島県移住支援金制度の概要 1
kagoshima-official-004-006-2026	志布志市	志布志市 志布志市空き家バンク登録促進事業補助金のご案内	補助額リフォーム工事費用…工事に係る経費の2分の1上限50万円	https://www.city.shibushi.lg.jp/site/iju/25521.html	志布志市空き家バンク登録促進事業補助金のご案内 本文 志布志市空き家バンク登録促進事業補助金のご案内 ページID：0025521 更新日：2026年4月1日更新 印刷ページ表示 志布志市は、空き家バンクに登録された物件に対して補助金を交付します 移住希望者等への空き家物件の情報提供を充実させるために、空き家バンク登録促進事業補助金を創設しました。 空き家登録促進事業補助金の概要 志布志市空き家バンクに登録している物件に対して、リフォーム
kagoshima-official-004-007-2026	志布志市	志布志市 市内に定住する若者の奨学金の返還を支援します	24万円を限度	https://www.city.shibushi.lg.jp/site/iju/20844.html	市内に定住する若者の奨学金の返還を支援します 本文 市内に定住する若者の奨学金の返還を支援します ページID：0020844 更新日：2026年4月1日更新 印刷ページ表示 志布志市は、市内に移住・定着する若者の奨学金返還を支援します！ 少子高齢化により人口減少が急速に進行する中、人口流出・若者の移住定着の対策として、奨学金の貸与を受けて進学した若者の奨学金返還を支援することにより、Ｕｉターンを促進し、本市への定着を図ります。 奨学金返
kagoshima-official-004-008-2026	志布志市	志布志市 志布志市定住支援事業補助金のご案内	1人につき20万円	https://www.city.shibushi.lg.jp/site/iju/25493.html	志布志市定住支援事業補助金のご案内 本文 志布志市定住支援事業補助金のご案内 ページID：0025493 更新日：2026年4月1日更新 印刷ページ表示 志布志市は、住宅を新築・購入された方へ補助金を交付いたします。 少子高齢化などにより人口減少が急速に進行する中、移住・定住を目的として、住宅を取得する方を支援する志布志市定住支援事業補助金を創設しました。 志布志市定住支援事業補助金の概要 市内に自らが居住するための住宅を取得した場合、
kagoshima-official-004-009-2026	志布志市	志布志市 地方就職学生支援事業補助金	補助額交通費に関する補助金の額は、往復交通費の2分の1、上限4万円	https://www.city.shibushi.lg.jp/site/iju/26009.html	地方就職学生支援事業補助金 本文 地方就職学生支援事業補助金 ページID：0026009 更新日：2025年4月1日更新 印刷ページ表示 東京圏の大学生の就職活動における交通費と移転費を助成します 東京圏の大学を卒業する学生の就職を支援するため、就職活動において発生した交通費と移転費を助成します。 地方就職学生支援事業の概要 市が定める要件を満たす方に対して補助金を交付します。 地方就職学生支援事業チラシ （PDFファイル／1.04MB
kagoshima-official-004-010-2026	志布志市	志布志市 インターンシップ等促進補助金	補助金額インターンシップ等に係る経費の1/2以内（1,000円	https://www.city.shibushi.lg.jp/soshiki/5/26937.html	インターンシップ等促進補助金 本文 インターンシップ等促進補助金 ページID：0026937 更新日：2025年9月15日更新 印刷ページ表示 志布志市インターンシップ等促進補助金 志布志市内の企業等の雇用の確保及び志布志市内企業等への就労の促進を図るために、企業等が実施するインターンシップ等に参加する者に対して補助金を助成します。 条件 以下の条件を満たしていると、助成を受けられます。 （1）市外に居住していること （2）本市での就労
