org	title	url	originalScore	rescore	snippet
姶良市	固定資産税の減免申請	https://www.city.aira.lg.jp/koteizei/kurashi/zeikin/koteshisanzei/genmen.html	30	69	姶良市／固定資産税の減免申請 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 固定資産税・都市計画税・償却資産 > 固定資産税の減免申請 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 固定資産税・都市計画税・償却資産 固定資産税の証明書につ
姶良市	国民健康保険税の減免	https://www.city.aira.lg.jp/shiminzei/kurashi/hoken/kokuho/kokuhozei/kokuhogennmenn.html	30	69	姶良市／国民健康保険税の減免 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 国民健康保険税 > 国民健康保険税の減免 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 国民健康保険税 国民健康保険税の概要 国民健康保険税の軽減制度 国民健康保
姶良市	災害により被害を受けた方の国民健康保険税の減免について	https://www.city.aira.lg.jp/shiminzei/kurashi/hoken/kokuho/saigaigenmen.html	30	69	姶良市／災害により被害を受けた方の国民健康保険税の減免について 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 国民健康保険税 > 災害により被害を受けた方の国民健康保険税の減免について こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 国民健
姶良市	軽自動車税の減免	https://www.city.aira.lg.jp/shiminzei/kurashi/zeikin/keiji_genmen.html	30	69	姶良市／軽自動車税の減免 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 税金 > 軽自動車税 > 軽自動車税の減免 こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 軽自動車税 特定小型原動機付自転車等・原動機付自転車・小型特殊自動車の各種手続き方法
姶良市	法人市民税の減免申請をするとき	https://www.city.aira.lg.jp/shiminzei/kurashi/shinseisyo/houjingenmen.html	30	69	姶良市／法人市民税の減免申請をするとき 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 申請書ダウンロード > 税金 > 法人市民税 > 法人市民税の減免申請をするとき こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 法人市民税 法人市民税の減免申請を
姶良市	保育料の減免について	https://www.city.aira.lg.jp/kosodate/hoiku/hoikugenmen.html	30	69	姶良市／保育料の減免について 本文へスキップします。 姶良市 文字サイズ・色合い変更 音声読み上げ Foreign Language 防災関連情報 消防救急・当番医 サイト内検索 サイト内検索 サイト内検索 閉じる 総合メニュー やくしょ窓口 観光・散策・スポーツ みどころ アイラビュースライス ひと・食・モノ 市政情報 行政・議会 メニュー くらし・手続き 観光 産業・企業向け 行政・議会 トップ > くらし・手続き > 育児 > 保育園・認定こども園・幼稚園などの保育施設 > 保育料の減免について こんなときは？ 住まい・ 引っ越し ごみ・リサイクル 妊娠・出産 子育て 結婚・離婚 戸籍に関する届出 高齢・介護 障がい者福祉 教育 施設検索 就職・退職 申請書 保育園・認定こども園・幼稚園などの保育施設 保
南九州市	若者の地元就職を手厚くサポートします！【南九州市新規卒業者等地元就職奨励金】	https://www.city.minamikyushu.lg.jp/ijuteijusite/otokuniijusuru/11167.html	42	68	若者の地元就職を手厚くサポートします！【南九州市新規卒業者等地元就職奨励金】／南九州市 スマートフォン版を表示 本文へ 南九州市ホームページ 空き家を探す お試しで住んでみる お得に移住する なんきゅう就農 空き家を探す お試しで住んでみる お得に移住する なんきゅう就農 キーワード検索 文字サイズ 背景色変更 やさしい日本語 やさしい日本語をけす 音声読み上げ Foreign Language English 繁體中文 体中文 翻訳 南九州市ホームページ close 空き家を探す お試しで住んでみる お得に移住する なんきゅう就農 キーワード検索 文字サイズ変更 背景色変更 やさしい日本語 やさしい日本語をけす 音声読み上げ Foreign Language English 繁體中文 体中文 翻訳 PC版で表
志布志市	固定資産税の減免制度のご案内	https://www.city.shibushi.lg.jp/soshiki/7/5674.html	30	64	固定資産税の減免制度のご案内 - 志布志市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 本文へ はじめての方へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色 白 黒 青 閉じる サイトマップ 検索 検索コーナー キーワード検索 検索対象 すべて ページ PDF ページID検索 分類でさがす 組織でさがす 地図でさがす カレンダーでさがす よくある質問でさがす 注目ワード ふるさと納税 ごみ 移住 閉じる くらし・手続き 生活のできごと くらしの情報 戸籍・住民票・証明 人権・男女平等 救急・防災 税金_個人 税金_法人 保険・保健・年金 防犯・安全 ごみ・環境・ペット 上下水道・浄化槽 土地・建築・交通 まちづくり 閉じる 健康・子育
志布志市	軽自動車税種別割の減免について	https://www.city.shibushi.lg.jp/soshiki/7/20842.html	30	64	軽自動車税種別割の減免について - 志布志市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 本文へ はじめての方へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色 白 黒 青 閉じる サイトマップ 検索 検索コーナー キーワード検索 検索対象 すべて ページ PDF ページID検索 分類でさがす 組織でさがす 地図でさがす カレンダーでさがす よくある質問でさがす 注目ワード ふるさと納税 ごみ 移住 閉じる くらし・手続き 生活のできごと くらしの情報 戸籍・住民票・証明 人権・男女平等 救急・防災 税金_個人 税金_法人 保険・保健・年金 防犯・安全 ごみ・環境・ペット 上下水道・浄化槽 土地・建築・交通 まちづくり 閉じる 健康・子
志布志市	定額減税や給付金をかたった詐欺にご注意ください	https://www.city.shibushi.lg.jp/soshiki/1/32287.html	28	62	定額減税や給付金をかたった詐欺にご注意ください - 志布志市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 本文へ はじめての方へ Foreign language 文字サイズ・背景色変更 文字サイズ 標準 拡大 背景色 白 黒 青 閉じる サイトマップ 検索 検索コーナー キーワード検索 検索対象 すべて ページ PDF ページID検索 分類でさがす 組織でさがす 地図でさがす カレンダーでさがす よくある質問でさがす 注目ワード ふるさと納税 ごみ 移住 閉じる くらし・手続き 生活のできごと くらしの情報 戸籍・住民票・証明 人権・男女平等 救急・防災 税金_個人 税金_法人 保険・保健・年金 防犯・安全 ごみ・環境・ペット 上下水道・浄化槽 土地・建築・交通 まちづくり
