rescore	score	organization	title	url	evidence
63	30	喜界町	妊娠・出産・子育て	https://www.town.kikai.lg.jp/sukoyaka/kurashi/kenko-iryo/ninshin-shussan.html	妊娠・出産・子育て｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 健康・医療 > 妊娠・出産・子育て ツイート 更新日：2026年6月24日 健康・医療 医療・保健・福祉機関 健（検）診 予防接種 妊娠・出産・子育て 国民健康保険 後期高齢者医療制度 レシピ集 がん患者ウィッグ購入費助成事業 難病患者等島外通院旅費助成事業 こころの健康相談について 「世界禁煙デー」および「禁煙週間」のお知らせ クーリングシェルター（指定暑熱避難施設）について 不妊治療旅費助成について 麻しんについて くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育
63	30	喜界町	難病患者等島外通院旅費助成事業	https://www.town.kikai.lg.jp/sukoyaka/kurashi/kenko-iryo/2025nabbyouryohi.html	難病患者等島外通院旅費助成事業｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 健康・医療 > 難病患者等島外通院旅費助成事業 ツイート 更新日：2026年4月1日 健康・医療 医療・保健・福祉機関 健（検）診 予防接種 妊娠・出産・子育て 国民健康保険 後期高齢者医療制度 レシピ集 がん患者ウィッグ購入費助成事業 難病患者等島外通院旅費助成事業 こころの健康相談について 「世界禁煙デー」および「禁煙週間」のお知らせ クーリングシェルター（指定暑熱避難施設）について 不妊治療旅費助成について 麻しんについて くらしの便利帳 申請・届出 防災情報 引越・住
63	30	喜界町	不妊治療旅費助成について	https://www.town.kikai.lg.jp/sukoyaka/kurashi/kenko-iryo/20260331huninryohi.html	不妊治療旅費助成について｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 健康・医療 > 不妊治療旅費助成について ツイート 更新日：2026年4月1日 健康・医療 医療・保健・福祉機関 健（検）診 予防接種 妊娠・出産・子育て 国民健康保険 後期高齢者医療制度 レシピ集 がん患者ウィッグ購入費助成事業 難病患者等島外通院旅費助成事業 こころの健康相談について 「世界禁煙デー」および「禁煙週間」のお知らせ クーリングシェルター（指定暑熱避難施設）について 不妊治療旅費助成について 麻しんについて くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・
55	22	喜界町	予防接種	https://www.town.kikai.lg.jp/sukoyaka/kurashi/kenko-iryo/yobosesshu.html	予防接種｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 健康・医療 > 予防接種 ツイート 更新日：2026年4月8日 健康・医療 医療・保健・福祉機関 健（検）診 予防接種 妊娠・出産・子育て 国民健康保険 後期高齢者医療制度 レシピ集 がん患者ウィッグ購入費助成事業 難病患者等島外通院旅費助成事業 こころの健康相談について 「世界禁煙デー」および「禁煙週間」のお知らせ クーリングシェルター（指定暑熱避難施設）について 不妊治療旅費助成について 麻しんについて くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育て・健康 おくやみ 入
53	20	喜界町	健（検）診	https://www.town.kikai.lg.jp/sukoyaka/kurashi/kenko-iryo/kenshin.html	健（検）診｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 健康・医療 > 健（検）診 ツイート 更新日：2026年3月31日 健康・医療 医療・保健・福祉機関 健（検）診 予防接種 妊娠・出産・子育て 国民健康保険 後期高齢者医療制度 レシピ集 がん患者ウィッグ購入費助成事業 難病患者等島外通院旅費助成事業 こころの健康相談について 「世界禁煙デー」および「禁煙週間」のお知らせ クーリングシェルター（指定暑熱避難施設）について 不妊治療旅費助成について 麻しんについて くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育て・健康 おくや
34	26	喜界町	保健福祉課	https://www.town.kikai.lg.jp/hohuku/kurashi/shinse/hokenfukushi.html	保健福祉課｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 申請・届出 > 保健福祉課 ツイート 更新日：2026年6月29日 申請・届出 住民課 総務課 選挙管理委員会 税務課（税務地籍チーム） 保健福祉課 教育委員会事務局（生涯学習チーム） くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育て・健康 おくやみ 入学・入園 税金 イベントカレンダー 施設検索 ここから本文です。 保健福祉課 各種申請書については、PDF等で提供しております。 要介護者介護手当受給資格登録申請書（PDF：128KB） 要介護者等介護用品助成資格登録申請書
26	18	喜界町	犬・猫	https://www.town.kikai.lg.jp/eisei/kurashi/sekatsukankyo/inu-neko.html	犬・猫｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 生活環境 > 犬・猫 ツイート 更新日：2024年3月18日 生活環境 ごみ・リサイクル 火葬・改葬 犬・猫 と畜場の利用 喜界町生ごみ処理機器購入助成金制度 不快害虫の薬剤購入費補助について くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育て・健康 おくやみ 入学・入園 税金 イベントカレンダー 施設検索 ここから本文です。 犬・猫 犬の登録（新規登録・登録変更）、死亡等（登録抹消）の手続と適正飼養 犬 の所有者は、狂犬病予防法により飼い犬の登録（一生に1回）と狂犬病予防注射（
26	18	喜界町	火葬・改葬	https://www.town.kikai.lg.jp/eisei/kurashi/sekatsukankyo/kaso.html	火葬・改葬｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 生活環境 > 火葬・改葬 ツイート 更新日：2025年6月13日 生活環境 ごみ・リサイクル 火葬・改葬 犬・猫 と畜場の利用 喜界町生ごみ処理機器購入助成金制度 不快害虫の薬剤購入費補助について くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育て・健康 おくやみ 入学・入園 税金 イベントカレンダー 施設検索 ここから本文です。 火葬・改葬 火葬場の使用許可 火 葬場の使用許可申請は、役場住民課で受け付けています。死亡の届出に伴う「火葬許可証」及び遺骨の改葬に伴う「改葬許可
20	22	喜界町	国民健康保険	https://www.town.kikai.lg.jp/densan/kurashi/kenko-iryo/kokuminkenko/index.html	国民健康保険｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 健康・医療 > 国民健康保険 健康・医療 医療・保健・福祉機関 健（検）診 予防接種 妊娠・出産・子育て 国民健康保険 後期高齢者医療制度 レシピ集 がん患者ウィッグ購入費助成事業 難病患者等島外通院旅費助成事業 こころの健康相談について 「世界禁煙デー」および「禁煙週間」のお知らせ クーリングシェルター（指定暑熱避難施設）について 不妊治療旅費助成について 麻しんについて くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育て・健康 おくやみ 入学・入園 税金 イベントカレン
18	30	喜界町	介護保険事業者向け	https://www.town.kikai.lg.jp/kaigo/kurashi/fukushi-kaigo/kaigohoken/jigyousyamuke.html	介護保険事業者向け｜鹿児島県喜界町 本文へスキップします。 総合トップへ 文字サイズ・色合い変更 Foreign Language 音声読み上げ メニュー ホーム くらしの情報 観光・移住 町の情報 産業情報 くらしの情報 > 福祉・介護 > 介護保険 > 介護保険事業者向け ツイート 更新日：2026年7月7日 介護保険 制度の概要 要介護・要支援認定申請の手続きについて 認定区分 介護サービスの種類 利用者負担額 介護保険料 介護サービス事業者 介護保険事業者向け くらしの便利帳 申請・届出 防災情報 引越・住まい 結婚・離婚 子育て・健康 おくやみ 入学・入園 税金 イベントカレンダー 施設検索 ここから本文です。 介護保険事業者向け 新型コロナウイルス感染症に関する各介護事業所の対応状況について 新 型
