score	organization	title	url	evidence
28	上天草市		https://www.city.kamiamakusa.kumamoto.jp/q/aview/469/1107.html	介護保険で受けられるサービス｜上天草市 --> [ホーム] > [市民の方へ] > [行政情報] > [健康福祉部] > [高齢者ふれあい課] > [保険給付管理係] > 介護保険で受けられるサービス 介護保険で受けられるサービス 更新日：2012年12月8日 居宅や施設で受けられるサービスについて説明します。 介護給付（要介護1から要介護5の方） 居宅サービス 訪問サービス 訪問介護 訪問入浴介護 訪問看護 居宅療養管理指導 訪問リハビリテーション 通所サービス 通所介護 通所リハビリテーション 短期入所サービス 短期入所生活介護 短期入所療養介護 その他 特定施設入居者生活介護 福祉用具販
23	上天草市		https://www.city.kamiamakusa.kumamoto.jp/q/aview/236/22563.html	令和8年度母子健康手帳交付・育児相談のご案内｜上天草市 --> [ホーム] > [ライフシーン] > [妊娠・出産] > [妊娠届・母子手帳] > 令和8年度母子健康手帳交付・育児相談のご案内 令和8年度母子健康手帳交付・育児相談のご案内 更新日：2026年3月24日 妊娠をしたら妊娠届出書を提出し、上天草市保健センターで母子健康手帳の交付を受けてください。また、当センターでは、お子さんの身長・体重計測、保健・栄養等の相談に保健師・栄養士が対応しています。来所を希望される方は、事前に当センター(0969-28-3376)へ連絡をお願いします。 ※完全予約制です。 予約は市の公式ラインからもでき
23	上天草市		https://www.city.kamiamakusa.kumamoto.jp/q/aview/428/11154.html	上天草市役所からのお知らせ【動画】｜上天草市 --> [ホーム] > [パライゾWebチャンネル] > [コミュニティチャンネル] > 上天草市役所からのお知らせ【動画】 上天草市役所からのお知らせ【動画】 更新日：2019年4月26日 天草ケーブルネットワーク 11チャンネルにて放送中の「上天草市役所からのお知らせ」です。同チャンネルではその他の上天草市の情報なども放送中です。 内容 子ども医療費の助成拡充について(福祉課) 令和元年度出前講座開催のお知らせ(総務課) 平成31年度新規採用職員の紹介 (再生時間:7分15秒) 関連記事 令和元年度(平成31年度)上天草市出前講座のご案内 お問
20	上天草市		https://www.city.kamiamakusa.kumamoto.jp/q/aview/317/11766.html	住宅用太陽光発電設備で売電をされている方へ｜上天草市 --> [ホーム] > [暮らしのガイド] > [くらし・環境・まちづくり] > [住宅・建築] > 住宅用太陽光発電設備で売電をされている方へ 住宅用太陽光発電設備で売電をされている方へ 更新日：2019年9月12日 固定価格買取制度(FIT)の買取期間が2019年11月から順次満了します 固定価格買取制度とは? 「再生可能エネルギー固定価格買取制度」通称FITは、再生可能エネルギー普及のために、太陽光発電などの再生可能エネルギーで発電した電気を電力会社があらかじめ決められた価格で一定期間買い取ることを国が約束する制度です。 買取期間の満
20	上天草市		https://www.city.kamiamakusa.kumamoto.jp/q/aview/46/7832.html	新規漁業就業希望者への支援事業について｜上天草市 --> [ホーム] > [市民の方へ] > [行政情報] > [経済振興部] > [みなと・水産課] > [管理係] > 新規漁業就業希望者への支援事業について 新規漁業就業希望者への支援事業について 更新日：2017年1月24日 漁業未経験の就業希望者でも円滑に漁業に就業し、定着できるよう、平成29年度より次の事業が展開予定されておりますので、お知らせいたします。 ・長期研修支援事業(実施機関:熊本県漁業就業支援協議会) 1.雇用型:漁業経営体に雇用される研修生の指導者に研修経費を助成 2.独立型:独立自営を目指す研修生の指導者に研修経費を助
16	上天草市		https://www.city.kamiamakusa.kumamoto.jp/q/aview/77/4916.html	縦覧制度について｜上天草市 --> [ホーム] > [市民の方へ] > [行政情報] > [市民生活部] > [税務課] > [固定資産税係] > 縦覧制度について 縦覧制度について 更新日：2019年6月14日 縦覧制度とは、土地または家屋の納税義務者の方が、土地または家屋の価格などを掲載した「縦覧帳簿」をご覧いただき、自分が所有する土地または家屋の価格と他の土地または家屋の価格を比較して、その評価が適正であるかどうかを確認していただく制度です。 1 縦覧できる方 その年の1月1日(固定資産税の賦課期日)現在における市内の土地または家屋の納税義務者(同居の家族、相続人、納税管理人) 別居の家
16	上天草市		https://www.city.kamiamakusa.kumamoto.jp/q/aview/446/11901.html	上天草市役所からのお知らせ【動画】｜上天草市 --> [ホーム] > [市民の方へ] > [行政情報] > [総務部] > [総務課] > [秘書広報係] > 上天草市役所からのお知らせ【動画】 上天草市役所からのお知らせ【動画】 更新日：2019年10月28日 天草ケーブルネットワーク 11チャンネルにて放送中の「上天草市役所からのお知らせ」です。同チャンネルではその他の上天草市の情報なども放送中です。 内容 「mio camino AMAKUSA」オープンのお知らせ(開発プロジェクト推進課) 幼児教育・保育の無料化に伴う保育料の改定について(福祉課) (再生時間:3分15秒) 関連記事 観
40	山鹿市		https://www.city.yamaga.kumamoto.jp/kosodate/kiji0031214/index.html	﻿ 山鹿市不妊治療費助成事業のご案内（令和８年４月１日以降の申請分） / やまがで育てる / 山鹿市 ヘッダーをスキップ 本文へジャンプ --> Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ไทย Tiếng việt nam Tagalog bahasa Indonesia アクセシビリティ 行政トップページへ やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み 誕生まで 健診・予防接種 手当・支援・助成 子育て支援 ひとり親家庭 サポ
35	山鹿市		https://www.city.yamaga.kumamoto.jp/kosodate/kiji0031014/index.html	﻿ やまが子育て街道ブック / やまがで育てる / 山鹿市 ヘッダーをスキップ 本文へジャンプ --> Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ไทย Tiếng việt nam Tagalog bahasa Indonesia アクセシビリティ 行政トップページへ やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み 誕生まで 健診・予防接種 手当・支援・助成 子育て支援 ひとり親家庭 サポートが必要な子ども 0歳 健診・予防接種
28	山鹿市		https://www.city.yamaga.kumamoto.jp/kosodate/kiji0031013/index.html	﻿ やまがで育てる 山鹿市の子育て支援 / やまがで育てる / 山鹿市 ヘッダーをスキップ 本文へジャンプ --> Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ไทย Tiếng việt nam Tagalog bahasa Indonesia アクセシビリティ 行政トップページへ やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み 誕生まで 健診・予防接種 手当・支援・助成 子育て支援 ひとり親家庭 サポートが必要な子ども 0歳 健診
28	山鹿市		https://www.city.yamaga.kumamoto.jp/kosodate/kiji0033082/index.html	﻿ 山鹿市不登校児童生徒に対する経済的支援事業について / やまがで育てる / 山鹿市 ヘッダーをスキップ 本文へジャンプ --> Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ไทย Tiếng việt nam Tagalog bahasa Indonesia アクセシビリティ 行政トップページへ やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み やまがで育てる やまがに住む 年齢で探す 目的別で探す 相談窓口 独自の取り組み 誕生まで 健診・予防接種 手当・支援・助成 子育て支援 ひとり親家庭 サポートが必要な子
32	玉名市		https://www.city.tamana.lg.jp/q/aview/275/8558.html	平成29年度 国民健康保険税｜玉名市 玉名市コンテンツ お知らせ 税証明 市民税 国民健康保険税 固定資産税 軽自動車税 その他の税 よくある質問 納付・税の申告について 滞納処分 公売 QRコードを読み取ることで携帯版玉名市のURLが表示されます。 [令和8年6月末日現在] 総数 61,074人 男性 29,589人 女性 31,485人 世帯数 28,640世帯 >>> 人口速報一覧を見る --> [ホーム] > [くらしの情報] > [税金] > [国民健康保険税] > 平成29年度 国民健康保険税 平成29年度 国民健康保険税 更新日：2017年6月12日 国民健康保険制度(国保)は、
28	玉名市		https://www.city.tamana.lg.jp/q/aview/388/10559.html	九州プレシジョン玉名工場の増設に伴う立地協定調印式｜玉名市 玉名市コンテンツ お知らせ 優遇制度について 用地情報について 立地協定締結式 誘致企業及び関係機関一覧 QRコードを読み取ることで携帯版玉名市のURLが表示されます。 [令和8年6月末日現在] 総数 61,074人 男性 29,589人 女性 31,485人 世帯数 28,640世帯 >>> 人口速報一覧を見る --> [ホーム] > [農林水産・商工業] > [企業誘致] > [立地協定締結式] > 九州プレシジョン玉名工場の増設に伴う立地協定調印式 九州プレシジョン玉名工場の増設に伴う立地協定調印式 更新日：2018年5月25日
23	玉名市		https://www.city.tamana.lg.jp/q/aview/499/30093.html	介護事業所の指定申請等の「電子申請届出システム」の運用開始について｜玉名市 玉名市コンテンツ 介護保険制度の概要について 介護保険料について 要介護（要支援）認定申請について 介護保険のサービスについて 各種減額制度について 居宅介護支援・地域密着型・総合事業関連様式 QRコードを読み取ることで携帯版玉名市のURLが表示されます。 [令和8年6月末日現在] 総数 61,074人 男性 29,589人 女性 31,485人 世帯数 28,640世帯 >>> 人口速報一覧を見る --> [ホーム] > [ライフイベント] > [高齢・介護] > [介護保険について] > [居宅介護支援・地域密着型
23	玉名市		https://www.city.tamana.lg.jp/q/aview/362/6540.html	お子さんが地震で不安な思いをしていませんか?｜玉名市 玉名市コンテンツ 子育ての相談 DV（ドメスティック・バイオレンス）の相談 福祉・高齢の相談 就労の相談 消費生活に関する相談 その他の相談 QRコードを読み取ることで携帯版玉名市のURLが表示されます。 [令和8年6月末日現在] 総数 61,074人 男性 29,589人 女性 31,485人 世帯数 28,640世帯 >>> 人口速報一覧を見る --> [ホーム] > [くらしの情報] > [各種相談] > [子育ての相談] > お子さんが地震で不安な思いをしていませんか? お子さんが地震で不安な思いをしていませんか? 更新日：2016
19	玉名市		https://www.city.tamana.lg.jp/q/aview/114/6378.html	行政組織一覧(令和8年4月1日現在)｜玉名市 玉名市コンテンツ 玉名市のあらまし ふるさと納税（寄附金） 企業版ふるさと納税（寄附金） 名誉市民 玉名の有名人 「日本マラソンの父」金栗四三 金栗四三マラニックコース その他 QRコードを読み取ることで携帯版玉名市のURLが表示されます。 [令和8年6月末日現在] 総数 61,074人 男性 29,589人 女性 31,485人 世帯数 28,640世帯 >>> 人口速報一覧を見る --> [ホーム] > [行政情報] > [玉名を知る] > [その他] > 行政組織一覧(令和8年4月1日現在) 行政組織一覧(令和8年4月1日現在) 更新日：20
17	玉名市		https://www.city.tamana.lg.jp/q/aview/494/1116.html	介護保険のしくみ｜玉名市 玉名市コンテンツ 介護保険制度の概要について 介護保険料について 要介護（要支援）認定申請について 介護保険のサービスについて 各種減額制度について 居宅介護支援・地域密着型・総合事業関連様式 QRコードを読み取ることで携帯版玉名市のURLが表示されます。 [令和8年6月末日現在] 総数 61,074人 男性 29,589人 女性 31,485人 世帯数 28,640世帯 >>> 人口速報一覧を見る --> [ホーム] > [ライフイベント] > [高齢・介護] > [介護保険について] > [介護保険制度の概要について] > 介護保険のしくみ 介護保険のしくみ 更新
16	玉名市		https://www.city.tamana.lg.jp/q/aview/232/1674.html	市営住宅のご案内｜玉名市 玉名市コンテンツ 市営住宅 宅地分譲 その他 空家対策 QRコードを読み取ることで携帯版玉名市のURLが表示されます。 [令和8年6月末日現在] 総数 61,074人 男性 29,589人 女性 31,485人 世帯数 28,640世帯 >>> 人口速報一覧を見る --> [ホーム] > [くらしの情報] > [暮らし・環境・ごみ] > [住宅] > [市営住宅] > 市営住宅のご案内 市営住宅のご案内 更新日：2026年4月1日 市営住宅とは 市営住宅とは住宅に困窮し、比較的収入の少ない低所得者向けに安い家賃で賃貸し、生活の安定を図るため、市が国の補助を受けて建設し
22	菊池市		https://www.city.kikuchi.lg.jp/article/view/1199/2375.html	7月は「きくちプラなし月間」です｜菊池市公式ウェブサイト 本文へスキップします フッターメニュー（お問合せ，サイトマップ等）へスキップします 緊急情報は ありません 菊池市の概要 「菊池市の概要」の内容 菊池市の紹介 庁舎・施設案内 連絡先 各種申請書・様式 各種補助金・奨励金 各種相談 各種計画 各種募集 生活情報 「生活情報」の内容 まちづくり 健康・医療・戸籍・年金 妊娠・出産・子育て 障がい・福祉・高齢者・介護保険 くらし・上下水道・生活環境 ごみ・リサイクル 市税 商工農林畜産業 教育・生涯学習 外国人生活情報 観光情報 「観光情報」の内容 トピックス 遊ぶ 食べる 泊まる 学ぶ 移
