score	organization	title	url	evidence
30	阿蘇市	ＡＳＯ環境共生基金実施事業の補助事業メニューが新しくなりました	https://www.city.aso.kumamoto.jp/2018/03/31/%ef%bd%81%ef%bd%93%ef%bd%8f%e7%92%b0%e5%a2%83%e5%85%b1%e7%94%9f%e5%9f%ba%e9%87%91%e5%ae%9f%e6%96%bd%e4%ba%8b%e6%a5%ad%e3%81%ae%e8%a3%9c%e5%8a%a9%e4%ba%8b%e6%a5%ad%e3%83%a1%e3%83%8b%e3%83%a5%e3%83%bc/	ＡＳＯ環境共生基金実施事業の補助事業メニューが新しくなりました 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市政 ＡＳＯ環境共生基金実施事業の補助事業メニューが新しくなりました 印刷用ページ 市政 ＡＳＯ環境共生基金実施事業の補助事業メニューが新しくなりました 2018年3月31日 本市の自然及び環境を活かした環境共生に役立てることを目的とする事業に対して、予算の範囲内において補助金を交付するものとしています。 内容等は下記のとおりとなっています
30	阿蘇市	児童扶養手当の手当支給額を変更しました	https://www.city.aso.kumamoto.jp/2025/05/22/%e5%85%90%e7%ab%a5%e6%89%b6%e9%a4%8a%e6%89%8b%e5%bd%93%e3%81%ae%e5%86%85%e5%ae%b9%e3%82%92%e5%a4%89%e6%9b%b4%e3%81%97%e3%81%be%e3%81%97%e3%81%9f/	児童扶養手当の手当支給額を変更しました 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市民の方へ 児童扶養手当の手当支給額を変更しました 印刷用ページ 市民の方へ 児童扶養手当の手当支給額を変更しました 2025年5月22日 この記事は次のURLにリンクしています https://www.city.aso.kumamoto.jp/citizens/health_medical_welfare/insurance_of_children/allowa
25	阿蘇市	【震災関連情報】共同墓地災害復旧支援事業補助金のご案内	https://www.city.aso.kumamoto.jp/2017/11/20/%e3%80%90%e9%9c%87%e7%81%bd%e9%96%a2%e9%80%a3%e6%83%85%e5%a0%b1%e3%80%91%e5%85%b1%e5%90%8c%e5%a2%93%e5%9c%b0%e7%81%bd%e5%ae%b3%e5%be%a9%e6%97%a7%e6%94%af%e6%8f%b4%e4%ba%8b%e6%a5%ad%e8%a3%9c%e5%8a%a9/	【震災関連情報】共同墓地災害復旧支援事業補助金のご案内 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市政 【震災関連情報】共同墓地災害復旧支援事業補助金のご案内 印刷用ページ 市政 【震災関連情報】共同墓地災害復旧支援事業補助金のご案内 2017年11月20日 この記事は次のURLにリンクしています https://www.city.aso.kumamoto.jp/kumamoto_eq/house/grave/ &larr; ふるさと応援寄附金
25	阿蘇市	阿蘇市空き家活用のためのリフォーム等支援事業補助金について	https://www.city.aso.kumamoto.jp/2024/04/01/%e9%98%bf%e8%98%87%e5%b8%82%e7%a9%ba%e3%81%8d%e5%ae%b6%e6%b4%bb%e7%94%a8%e3%81%ae%e3%81%9f%e3%82%81%e3%81%ae%e3%83%aa%e3%83%95%e3%82%a9%e3%83%bc%e3%83%a0%e7%ad%89%e6%94%af%e6%8f%b4%e4%ba%8b%e6%a5%ad-2/	阿蘇市空き家活用のためのリフォーム等支援事業補助金について 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 阿蘇市からお知らせ 阿蘇市空き家活用のためのリフォーム等支援事業補助金について 印刷用ページ 阿蘇市からお知らせ 阿蘇市空き家活用のためのリフォーム等支援事業補助金について 2024年4月1日 この記事は次のURLにリンクしています https://www.city.aso.kumamoto.jp/citizens/town_planning/
25	阿蘇市	介護給付費算定に係る体制等に関する届出について（地域密着型サービス事業者・居宅介護支援事業者用）	https://www.city.aso.kumamoto.jp/2024/11/14/%e4%bb%8b%e8%ad%b7%e7%b5%a6%e4%bb%98%e8%b2%bb%e7%ae%97%e5%ae%9a%e3%81%ab%e4%bf%82%e3%82%8b%e4%bd%93%e5%88%b6%e7%ad%89%e3%81%ab%e9%96%a2%e3%81%99%e3%82%8b%e5%b1%8a%e5%87%ba%e3%81%ab%e3%81%a4%e3%81%84/	介護給付費算定に係る体制等に関する届出について（地域密着型サービス事業者・居宅介護支援事業者用） 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市民の方へ 介護給付費算定に係る体制等に関する届出について（地域密着型サービス事業者・居宅介護支援事業者用） 印刷用ページ 市民の方へ 介護給付費算定に係る体制等に関する届出について（地域密着型サービス事業者・居宅介護支援事業者用） 2024年11月14日 この記事は次のURLにリンクしています https
25	阿蘇市	阿蘇市妊婦のための支援給付事業（国の妊婦のための支援給付金）	https://www.city.aso.kumamoto.jp/2025/04/14/%e9%98%bf%e8%98%87%e5%b8%82%e5%a6%8a%e5%a9%a6%e3%81%ae%e3%81%9f%e3%82%81%e3%81%ae%e6%94%af%e6%8f%b4%e7%b5%a6%e4%bb%98%e4%ba%8b%e6%a5%ad%ef%bc%88%e5%9b%bd%e3%81%ae%e5%a6%8a%e5%a9%a6%e3%81%ae%e3%81%9f/	阿蘇市妊婦のための支援給付事業（国の妊婦のための支援給付金） 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市民の方へ 阿蘇市妊婦のための支援給付事業（国の妊婦のための支援給付金） 印刷用ページ 市民の方へ 阿蘇市妊婦のための支援給付事業（国の妊婦のための支援給付金） 2025年4月14日 この記事は次のURLにリンクしています https://www.city.aso.kumamoto.jp/citizens/health_medical_wel
22	阿蘇市	（令和５年４月利用分から）放課後児童クラブ利用料減免事業について	https://www.city.aso.kumamoto.jp/2022/11/24/%ef%bc%88%e4%bb%a4%e5%92%8c%ef%bc%95%e5%b9%b4%ef%bc%94%e6%9c%88%e5%88%a9%e7%94%a8%e5%88%86%e3%81%8b%e3%82%89%ef%bc%89%e6%94%be%e8%aa%b2%e5%be%8c%e5%85%90%e7%ab%a5%e3%82%af%e3%83%a9%e3%83%96%e5%88%a9/	（令和５年４月利用分から）放課後児童クラブ利用料減免事業について 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市民の方へ （令和５年４月利用分から）放課後児童クラブ利用料減免事業について 印刷用ページ 市民の方へ （令和５年４月利用分から）放課後児童クラブ利用料減免事業について 2022年11月24日 この記事は次のURLにリンクしています https://www.city.aso.kumamoto.jp/citizens/health_medi
22	阿蘇市	定額減税・補足給付金	https://www.city.aso.kumamoto.jp/2025/08/27/%e5%ae%9a%e9%a1%8d%e6%b8%9b%e7%a8%8e%e3%83%bb%e8%a3%9c%e8%b6%b3%e7%b5%a6%e4%bb%98%e9%87%91/	定額減税・補足給付金 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市民の方へ 定額減税・補足給付金 印刷用ページ 市民の方へ 定額減税・補足給付金 2025年8月27日 この記事は次のURLにリンクしています https://www.city.aso.kumamoto.jp/citizens/tax/tax-reduction/ &larr; 令和7年 第5回 阿蘇市議会定例会 会期日程 市長挨拶（9月） &rarr; 市民の方へ 事業者の方へ
22	阿蘇市	（令和７年４月利用分から）放課後児童クラブ利用料減免事業（多子・多胎世帯兄弟利用分）について	https://www.city.aso.kumamoto.jp/2024/12/03/%ef%bc%88%e4%bb%a4%e5%92%8c%ef%bc%97%e5%b9%b4%ef%bc%94%e6%9c%88%e5%88%a9%e7%94%a8%e5%88%86%e3%81%8b%e3%82%89%ef%bc%89%e6%94%be%e8%aa%b2%e5%be%8c%e5%85%90%e7%ab%a5%e3%82%af%e3%83%a9%e3%83%96%e5%88%a9/	（令和７年４月利用分から）放課後児童クラブ利用料減免事業（多子・多胎世帯兄弟利用分）について 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市民の方へ （令和７年４月利用分から）放課後児童クラブ利用料減免事業（多子・多胎世帯兄弟利用分）について 印刷用ページ 市民の方へ （令和７年４月利用分から）放課後児童クラブ利用料減免事業（多子・多胎世帯兄弟利用分）について 2024年12月3日 この記事は次のURLにリンクしています https://www.
20	阿蘇市	【熊本地震関連】医療費・介護サービス利用料の免除期間終了のお知らせ	https://www.city.aso.kumamoto.jp/2017/08/25/%e3%80%90%e9%9c%87%e7%81%bd%e6%83%85%e5%a0%b1%e3%80%91%e5%9b%bd%e6%b0%91%e5%81%a5%e5%ba%b7%e4%bf%9d%e9%99%ba%e3%83%bb%e5%be%8c%e6%9c%9f%e9%ab%98%e9%bd%a2%e8%80%85%e5%8c%bb%e7%99%82%e3%83%bb%e4%bb%8b/	【熊本地震関連】医療費・介護サービス利用料の免除期間終了のお知らせ 阿蘇市ホームページ 共有メニュー部分をスキップし、本文へ移動します。 音声読み上げ 文字サイズ 標準 大きい 背景色 白 黒 トップページ くらしの情報 阿蘇山と観光 阿蘇市ふるさと納税 市政 教育 防災 事業者の方へ 探す ホーム 市政 【熊本地震関連】医療費・介護サービス利用料の免除期間終了のお知らせ 印刷用ページ 市政 【熊本地震関連】医療費・介護サービス利用料の免除期間終了のお知らせ 2017年8月25日 熊本地震災害により被災された方の医療費や利用料の 一部負担金免除措置の期間が「平成２９年９月３０日（土曜）」で終了 となります。 免除措置の詳しい内容は、
