slug	organization	title	maxAmount	url	evidence
kumamoto-official-004-001-2026	玉東町	玉東町 LPガスを使用している生活者への支援金	公式ページ記載の給付額・支援額に従う	https://www.town.gyokuto.kumamoto.jp/kiji0031831/index.html	LPガスを使用している生活者の皆さんへの支援金(第5弾)について / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅
kumamoto-official-004-002-2026	玉東町	玉東町 18才以下の自転車用ヘルメット購入補助	補助金額2,000円	https://www.town.gyokuto.kumamoto.jp/kiji0031805/index.html	18才以下の自転車用ヘルメットの購入を補助します / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄化槽
kumamoto-official-004-003-2026	玉東町	玉東町 合併処理浄化槽設置費補助金制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.gyokuto.kumamoto.jp/kiji003305/index.html	合併処理浄化槽設置費補助金制度について / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄化槽 ごみ・環境
kumamoto-official-004-004-2026	玉東町	玉東町 低所得世帯に対する物価高騰対策支援給付金	公式ページ記載の給付額・支援額に従う	https://www.town.gyokuto.kumamoto.jp/kiji0031524/index.html	低所得世帯に対する物価高騰対策支援給付金（不足額含む） / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄
kumamoto-official-004-005-2026	玉東町	玉東町 漏水による水道料金の軽減制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.gyokuto.kumamoto.jp/kiji003151/index.html	漏水による水道料金の軽減制度について / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄化槽 ごみ・環境・
kumamoto-official-004-006-2026	玉東町	玉東町 住宅耐震化事業	上限額135,000円	https://www.town.gyokuto.kumamoto.jp/kiji0031772/index.html	住宅に係る耐震化事業について / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄化槽 ごみ・環境・動物 交
kumamoto-official-004-007-2026	玉東町	玉東町 8月豪雨支援補助金（電気柵・ワイヤーメッシュ）	補助金額補助対象物購入費用の1/2以内10万円	https://www.town.gyokuto.kumamoto.jp/kiji0031665/index.html	8月豪雨支援補助金【電気柵・ワイヤーメッシュ】 / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄化槽 ご
kumamoto-official-004-008-2026	玉東町	玉東町 町税・保険料等の減免制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.gyokuto.kumamoto.jp/kiji0031723/index.html	町税・保険料等の減免制度について / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄化槽 ごみ・環境・動物
kumamoto-official-004-009-2026	玉東町	玉東町 農業機械等整備事業	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.gyokuto.kumamoto.jp/kiji0031346/index.html	農業機械等整備事業 / 玉東町 ヘッダーをスキップ 本文へジャンプ くらし・手続き・生活環境 教育・スポーツ・文化 健康・福祉・子育て 農林水産・商工業 町政 お問い合わせ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 日本語 アクセシビリティ 文字サイズ 背景色 close 新型コロナウイルス感染症 住民登録・戸籍・申請書関係 税金・保険料 住宅・水道・浄化槽 ごみ・環境・動物 交通・道路・
kumamoto-official-004-010-2026	南関町	南関町 高等学校等通学応援金	1人あたり年額5万円	https://www.town.nankan.lg.jp/kurashi/todokede/4833.html	高等学校等通学応援金 - 南関町 --> 本文へスキップします。 --> くらしの情報 くらしの手続き ごみ出し 相談窓口 施設情報 各種様式 補助金申請 --> 補助金申請 もしもの時は その他の情報 メインメニュー くらし 健康 子育て・学び 仕事 町政情報 防災・防犯 南関MOVIE 観光情報 ふるさと納税 南関MOVIE 南関フォトギャラリー 法人番号 8000020433675 〒861-0898 熊本県玉名郡南関町大字関町6
