rescore	score	organization	title	url	evidence
-16	30	芦北町	住宅耐震化支援制度	https://www.town.ashikita.lg.jp/bosai_site/oshirase_bosai/2005836	住宅耐震化支援制度 / 芦北町 文字サイズ変更 拡大 文字を大きくする 標準 文字の大きさをもとの大きさに戻す 背景色変更 黒 背景色の変更：黒 青 背景色の変更：青 標準 背景色の変更：白 Foreign Language 検索 ハンバーガーメニューを開く MENU CLOSE 文字サイズ変更 拡大 文字を大きくする 標準 文字の大きさをもとの大きさに戻す 背景色変更 黒 背景色の変更：黒 青 背景色の変更：青 標準 背景色の変更：白 Foreign Language 検索 お知らせ 防災行政無線 防災マップ 避難場所 災害への備え 消防･防災組織 防災情報リンク 計画 ハンバーガーメニューを閉じる メニューをとじる ホーム >
-16	30	芦北町	住宅耐震化支援制度	https://www.town.ashikita.lg.jp/bosai_site/saigai/2005836	住宅耐震化支援制度 / 芦北町 文字サイズ変更 拡大 文字を大きくする 標準 文字の大きさをもとの大きさに戻す 背景色変更 黒 背景色の変更：黒 青 背景色の変更：青 標準 背景色の変更：白 Foreign Language 検索 ハンバーガーメニューを開く MENU CLOSE 文字サイズ変更 拡大 文字を大きくする 標準 文字の大きさをもとの大きさに戻す 背景色変更 黒 背景色の変更：黒 青 背景色の変更：青 標準 背景色の変更：白 Foreign Language 検索 お知らせ 防災行政無線 防災マップ 避難場所 災害への備え 消防･防災組織 防災情報リンク 計画 ハンバーガーメニューを閉じる メニューをとじる ホーム >
35	42	甲佐町	令和元年10月からの幼児教育・保育の無償化について	https://www.town.kosa.lg.jp/q/aview/101/4879.html	令和元年10月からの幼児教育・保育の無償化について｜甲佐町 [ホーム] > [町からのお知らせ] > 令和元年10月からの幼児教育・保育の無償化について 令和元年10月からの幼児教育・保育の無償化について 更新日：2020年6月9日 令和元年10月1日から、3～5歳児クラスの幼稚園、保育所、認定こども園などを利用する子どもの利用料が無償化となりました 利用する施設やサービスに応じて対象者や無償化の対象が異なりますので、下記の説明にてご確認ください。 ※0歳から2歳児までのクラスの住民税非課税世帯の子どもも対象になります。 幼稚園、保育所、認定こども園などを利用する子どもの場合 対象者・保育料 3～5歳児クラスの全ての子どもおよび0～
35	30	甲佐町	こども医療電話相談事業について	https://www.town.kosa.lg.jp/q/aview/101/3492.html	こども医療電話相談事業について｜甲佐町 [ホーム] > [町からのお知らせ] > こども医療電話相談事業について こども医療電話相談事業について 更新日：2023年8月16日 9月9日は救急の日 9月9日は救急の日です。また、救急の日を含む一週間は救急医療週間と定められています。救命・応急手当の方法や心肺蘇生法、救急医療の利用などについての正しい理解と認識を深めましょう。 こども医療電話相談事業(♯8000)について 熊本県では、県下全域を対象に、子どもの急な病気への対処方法や応急処置について電話相談を受け付けています。受診可能な医療機関の情報提供も行っていますので、ご利用ください。 こども医療電話相談事業 受付時間 平日:19時0
35	18	甲佐町	甲佐町定住促進要綱を改正しました	https://www.town.kosa.lg.jp/q/aview/101/1130.html	甲佐町定住促進要綱を改正しました｜甲佐町 [ホーム] > [町からのお知らせ] > 甲佐町定住促進要綱を改正しました 甲佐町定住促進要綱を改正しました 更新日：2019年2月4日 対象者は期限までに忘れずに申請を 「甲佐町定住促進要綱」は、町内外居住者を問わず、40歳未満の人が本町に新たに土地を購入し、居住用住宅を建設して入居した場合(建売取得し入居した場合も含む)に助成する制度です。 本要綱は、平成30年4月1日に次のとおり改正されています。対象者は、期限までに忘れずに申請をしてください。 事業についての詳細は、 甲佐町定住促進事業について をご覧ください。 主な改正内容 対象者の条件の1つ「基準日現在に40歳未満の者で、かつ、同
23	30	甲佐町	甲佐町移住支援金事業について	https://www.town.kosa.lg.jp/q/aview/1/5115.html	甲佐町移住支援金事業について｜甲佐町 [ホーム] > [トピックス] > 甲佐町移住支援金事業について 甲佐町移住支援金事業について 更新日：2019年10月16日 甲佐町移住支援金事業ついて 甲佐町では、町内への移住・定住の促進と地域の中小企業等における人手不足の解消を図るため、東京23区に在住または通勤していた方のうち、甲佐町に移住し、県が開設するマッチングサイト「ワンストップジョブサイトくまもと」に掲載する移住支援金の対象求人に就業した方等に、移住支援金(単身の場合:60万円、世帯の場合:100万円)を交付します。 移住支援金の交付対象となる要件(すべてに該当すること) 移住に関する要件 住民票を移す直前の10年間のうち、通算
23	30	甲佐町	甲佐町移住支援金事業について	https://www.town.kosa.lg.jp/q/aview/162/5115.html	甲佐町移住支援金事業について｜甲佐町 [ホーム] > [ライフイベント] > [就職・退職] > 甲佐町移住支援金事業について 甲佐町移住支援金事業について 更新日：2019年10月16日 甲佐町移住支援金事業ついて 甲佐町では、町内への移住・定住の促進と地域の中小企業等における人手不足の解消を図るため、東京23区に在住または通勤していた方のうち、甲佐町に移住し、県が開設するマッチングサイト「ワンストップジョブサイトくまもと」に掲載する移住支援金の対象求人に就業した方等に、移住支援金(単身の場合:60万円、世帯の場合:100万円)を交付します。 移住支援金の交付対象となる要件(すべてに該当すること) 移住に関する要件 住民票を移す直
23	30	甲佐町	甲佐町移住支援金事業について	https://www.town.kosa.lg.jp/q/aview/165/5115.html	甲佐町移住支援金事業について｜甲佐町 [ホーム] > [ライフイベント] > [引越し] > 甲佐町移住支援金事業について 甲佐町移住支援金事業について 更新日：2019年10月16日 甲佐町移住支援金事業ついて 甲佐町では、町内への移住・定住の促進と地域の中小企業等における人手不足の解消を図るため、東京23区に在住または通勤していた方のうち、甲佐町に移住し、県が開設するマッチングサイト「ワンストップジョブサイトくまもと」に掲載する移住支援金の対象求人に就業した方等に、移住支援金(単身の場合:60万円、世帯の場合:100万円)を交付します。 移住支援金の交付対象となる要件(すべてに該当すること) 移住に関する要件 住民票を移す直前の
15	42	甲佐町	令和元年10月からの幼児教育・保育の無償化について	https://www.town.kosa.lg.jp/q/aview/161/4879.html	令和元年10月からの幼児教育・保育の無償化について｜甲佐町 [ホーム] > [ライフイベント] > [入園・入学] > 令和元年10月からの幼児教育・保育の無償化について 令和元年10月からの幼児教育・保育の無償化について 更新日：2020年6月9日 令和元年10月1日から、3～5歳児クラスの幼稚園、保育所、認定こども園などを利用する子どもの利用料が無償化となりました 利用する施設やサービスに応じて対象者や無償化の対象が異なりますので、下記の説明にてご確認ください。 ※0歳から2歳児までのクラスの住民税非課税世帯の子どもも対象になります。 幼稚園、保育所、認定こども園などを利用する子どもの場合 対象者・保育料 3～5歳児クラスの全て
15	42	甲佐町	年金生活者支援給付金制度について	https://www.town.kosa.lg.jp/q/aview/163/4978.html	年金生活者支援給付金制度について｜甲佐町 [ホーム] > [ライフイベント] > [成人] > 年金生活者支援給付金制度について 年金生活者支援給付金制度について 更新日：2026年6月1日 年金生活者支援給付金の制度について 年金生活者支援給付金は、公的年金等の収入やその他の所得額が一定基準額以下の年金受給者の生活を支援するために、年金に上乗せして支給されるものです。なお、支給要件に該当しない場合は支給されません。 給付金の改定について 給付額は、毎年度、物価の変動による改定(物価スライド改定)があります。 給付額を改定した場合は、日本年金機構から「年金生活者支援給付金 支給金額改定通知書」が送付されます。 年金生活支援給付金の対
