score	organization	title	url	evidence
30	多良木町	お知らせ	https://www.town.taragi.lg.jp/gyousei/chosei_gikai/gyosei/oshirase/index.html	お知らせ／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じる くらし を開く 環境衛生 を開く ごみ
30	多良木町	農山漁村振興交付金（山村活性化対策）事業評価について	https://www.town.taragi.lg.jp/gyousei/chosei_gikai/gyosei/oshirase/2043.html	農山漁村振興交付金（山村活性化対策）事業評価について／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉
30	多良木町	手続き	https://www.town.taragi.lg.jp/gyousei/kosodate_kyoiku_sports/shien/tetsuzuki/index.html	手続き／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じる くらし を開く 環境衛生 を開く ごみ・
30	多良木町	補助金	https://www.town.taragi.lg.jp/gyousei/shigoto_sangyo/ringyo/hojokin/index.html	補助金／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じる くらし を開く 環境衛生 を開く ごみ・
28	多良木町	多良木町自転車用ヘルメット購入費の補助について	https://www.town.taragi.lg.jp/gyousei/bosai_anzen/bosai/tetsuzuki/3492.html	多良木町自転車用ヘルメット購入費の補助について／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じる
28	多良木町	防犯機能付電話機等購入補助について	https://www.town.taragi.lg.jp/gyousei/bosai_anzen/bosai/tetsuzuki/4163.html	防犯機能付電話機等購入補助について／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じる くらし を開
28	多良木町	防犯カメラの設置補助金について	https://www.town.taragi.lg.jp/gyousei/bosai_anzen/bosai/tetsuzuki/3697.html	防犯カメラの設置補助金について／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じる くらし を開く
28	多良木町	農山漁村振興交付金（山村活性化支援交付金）事業評価について	https://www.town.taragi.lg.jp/gyousei/chosei_gikai/gyosei/oshirase/3116.html	農山漁村振興交付金（山村活性化支援交付金）事業評価について／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支
28	多良木町	令和3年度地方創生推進交付金事業の効果検証について	https://www.town.taragi.lg.jp/gyousei/chosei_gikai/gyosei/oshirase/3126.html	令和3年度地方創生推進交付金事業の効果検証について／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じ
28	多良木町	令和4年度地方創生推進交付金事業の効果検証について	https://www.town.taragi.lg.jp/gyousei/chosei_gikai/gyosei/oshirase/3413.html	令和4年度地方創生推進交付金事業の効果検証について／多良木町 --> スマートフォン版を表示 本文へ 検索・閲覧支援 キーワードで探す 検索 閲覧支援 文字サイズ 標準 （初期状態） 標準 に戻す 拡大 （初期状態） 拡大 拡大（最大状態） 背景色変更 黒 背景色を黒色にする 青 背景色を青色にする 標準 背景色を元に戻す Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; GO Select your language 検索・閲覧支援を閉じ
