municipality,score,hits,title,h1,url,snippet
"玉城町","30","制度語|金額|対象|受付","玉城町特殊詐欺等被害防止機器購入補助金について ｜ 玉城町","玉城町特殊詐欺等被害防止機器購入補助金について","https://kizuna.town.tamaki.mie.jp/bosaibohan/bohan/2022tokusyusagihigaiboushi.html","玉城町特殊詐欺等被害防止機器購入補助金について ｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 防災・防犯 > 防犯 > 玉城町特殊詐欺等被害防止機器購入補助金について 玉城町特殊詐欺等被害防止機器購入補助金について 特殊詐欺等被害防止機器の購入"
"玉城町","30","制度語|金額|対象|受付","防災｜ 玉城町","防災","https://kizuna.town.tamaki.mie.jp/bosaibohan/bosai/","防災｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 防災・防犯 > 防災 防災 玉城町地域防災計画 この計画は、災害対策基本法第42条の規定に基づき、玉城町の地域に係る地震や風水害などの災害の予防、応急対策及び復旧・復興などに関する事項を定めてお"
"玉城町","30","制度語|金額|対象|受付","防災｜ 玉城町","防災","https://kizuna.town.tamaki.mie.jp/bosaibohan/bosai/index.html","防災｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 防災・防犯 > 防災 防災 玉城町地域防災計画 この計画は、災害対策基本法第42条の規定に基づき、玉城町の地域に係る地震や風水害などの災害の予防、応急対策及び復旧・復興などに関する事項を定めてお"
"玉城町","30","制度語|金額|対象|受付","木造住宅耐震事業補助金制度 ｜ 玉城町","木造住宅耐震事業補助金制度","https://kizuna.town.tamaki.mie.jp/bosaibohan/bosai/mokuzo_jutakuhojokin.html","木造住宅耐震事業補助金制度 ｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 防災・防犯 > 防災 > 木造住宅耐震事業補助金制度 木造住宅耐震事業補助金制度 耐震診断 下記の対象住宅に対する無料耐震診断を実施しています。 耐震診断実施申込書を提出"
"玉城町","30","制度語|金額|対象|受付","予防接種｜ 玉城町","予防接種","https://kizuna.town.tamaki.mie.jp/kenkofukushi/kenkoiryo/kenko/yobousessyu.html","予防接種｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 健康・福祉 > 健康・医療 > 健康 > 予防接種 予防接種 予防接種について 接種を受ける前には、予防接種の必要性や注意点、副反応など正しい知識を持ってから受けるようにしましょう。 ＜乳幼"
"玉城町","30","制度語|金額|対象|受付","令和7年4月より高齢者の補聴器購入費の一部助成を開始します。 ｜ 玉城町","令和7年4月より高齢者の補聴器購入費の一部助成を開始します。","https://kizuna.town.tamaki.mie.jp/kenkofukushi/koureishafukushi/jyosei/hochoki_josei.html","令和7年4月より高齢者の補聴器購入費の一部助成を開始します。 ｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 健康・福祉 > 高齢者福祉 > 高齢者への助成・支援制度 > 令和7年4月より高齢者の補聴器購入費の一部助成を開始します。 令和7年4月"
"玉城町","30","制度語|金額|対象|受付","令和8年度玉城町学習塾代助成事業奨学生募集について ｜ 玉城町","令和8年度玉城町学習塾代助成事業奨学生募集について","https://kizuna.town.tamaki.mie.jp/kosodatekyoiku/hoikukyoiku/gakko/jukushogakukin_7.html","令和8年度玉城町学習塾代助成事業奨学生募集について ｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 子育て・教育 > 保育・教育・健全育成 > 小中学校 > 令和8年度玉城町学習塾代助成事業奨学生募集について 令和8年度玉城町学習塾代助成事業奨学"
"玉城町","30","制度語|金額|対象|受付","令和8年度玉城町奨学金制度の奨学生募集について ｜ 玉城町","令和8年度玉城町奨学金制度の奨学生募集について","https://kizuna.town.tamaki.mie.jp/kosodatekyoiku/hoikukyoiku/gakko/tamaki_shogakukin.html","令和8年度玉城町奨学金制度の奨学生募集について ｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 子育て・教育 > 保育・教育・健全育成 > 小中学校 > 令和8年度玉城町奨学金制度の奨学生募集について 令和8年度玉城町奨学金制度の奨学生募集につい"
"玉城町","30","制度語|金額|対象|受付","家庭保育応援給付金の支給申請について ｜ 玉城町","家庭保育応援給付金の支給申請について","https://kizuna.town.tamaki.mie.jp/kosodatekyoiku/kosodate/jyosei/2024-0422-1624-10.html","家庭保育応援給付金の支給申請について ｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 子育て・教育 > 子育て > 子育てへの助成 > 家庭保育応援給付金の支給申請について 家庭保育応援給付金の支給申請について 家庭で育児されている保護者の皆さん"
"玉城町","30","制度語|金額|対象|受付","児童手当制度改正のお知らせ ｜ 玉城町","児童手当制度改正のお知らせ","https://kizuna.town.tamaki.mie.jp/kosodatekyoiku/kosodate/jyosei/jido_teatekaisei.html","児童手当制度改正のお知らせ ｜ 玉城町 メニューをスキップします Foreign Languages 文字サイズ変更： 配色変更： くらし･手続き 各種証明書・手続き くらしの相談 元気バス ゴミ・環境 上下水道 税金 建設・建築 マイナンバー ペット 自治区 移住・定住 防災･防犯 災害 救急・救命 火災・防火 防災 防犯 交通安全 国民保護 耐震 健康･福祉 健康・医療 保険・年金 社会福祉協議会 高齢者福祉 障がい者福祉 休日・夜間診療所 子育て･教育 子育て 保育・教育・健全育成 産業･ビジネス 入札情報 農林業 商工業 就労支援 観光･文化･スポーツ 文化・芸術 観光 スポーツ・生涯学習 図書室 公園 町政情報 計画・行革・財政・統計 男女共同参画 施設案内 玉城町例規集 広報・広聴 選挙・議会 玉城町の紹介 個人情報保護・情報公開制度 リンク オンライン申請 Foreign Languages ホーム > 子育て・教育 > 子育て > 子育てへの助成 > 児童手当制度改正のお知らせ 児童手当制度改正のお知らせ 令和6年10月から児童手当制度が改正されます。 新たに玉城町に申"
