rescore	score	organization	title	url	evidence
73	42	延岡市	子ども医療費助成制度	https://www.city.nobeoka.miyazaki.jp/soshiki/32/17959.html	子ども医療費助成制度 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 組織でさがす > 健康福祉部 > おやこ保健福祉課 > 子ども医療費助成制度 本文 子ども医療費助成制度 印刷ページ表示 更新日：2025年12月2日更新 子ども医療費助成制度の内容は以下の通りとなっています。 子ども医療費助成パンフレット（令和6年4月1日改正）
73	42	延岡市	延岡市子ども医療費助成制度を高校生年代まで拡大します。	https://www.city.nobeoka.miyazaki.jp/soshiki/32/32984.html	延岡市子ども医療費助成制度を高校生年代まで拡大します。 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 組織でさがす > 健康福祉部 > おやこ保健福祉課 > 延岡市子ども医療費助成制度を高校生年代まで拡大します。 本文 延岡市子ども医療費助成制度を高校生年代まで拡大します。 印刷ページ表示 更新日：2024年2月29日更新 令和6
73	42	延岡市	延岡市初回産科受診料助成について	https://www.city.nobeoka.miyazaki.jp/soshiki/32/30817.html	延岡市初回産科受診料助成について - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 組織でさがす > 健康福祉部 > おやこ保健福祉課 > 延岡市初回産科受診料助成について 本文 延岡市初回産科受診料助成について 印刷ページ表示 更新日：2026年3月19日更新 延岡市では、下記の対象者につきまして、初回の産科受診料を助成しています。
68	42	延岡市	物価高対応子育て応援手当	https://www.city.nobeoka.miyazaki.jp/soshiki/32/46912.html	物価高対応子育て応援手当/宮崎県物価高対応子育て応援手当上乗せ支給 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 組織でさがす > 健康福祉部 > おやこ保健福祉課 > 物価高対応子育て応援手当/宮崎県物価高対応子育て応援手当上乗せ支給 本文 物価高対応子育て応援手当/宮崎県物価高対応子育て応援手当上乗せ支給 印刷ページ表示 更新
68	42	延岡市	ひとり親家庭等医療費助成制度	https://www.city.nobeoka.miyazaki.jp/soshiki/32/8315.html	ひとり親家庭等医療費助成制度 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 組織でさがす > 健康福祉部 > おやこ保健福祉課 > ひとり親家庭等医療費助成制度 本文 ひとり親家庭等医療費助成制度 印刷ページ表示 更新日：2021年11月19日更新 ひとり親家庭等の医療費の一部を助成します。 制度概要 医療費助成の対象者(受給資格
68	42	延岡市	一般不妊治療費の助成について	https://www.city.nobeoka.miyazaki.jp/soshiki/32/12363.html	一般不妊治療費の助成について - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 分類でさがす > 市民向け > 医療・健康・福祉 > 医療 > 一般不妊治療費の助成について 現在地 トップページ > 分類でさがす > 市民向け > 生活のできごと > 妊娠・出産 > 一般不妊治療費の助成について 現在地 トップページ > 分類でさがす
68	42	延岡市	延岡市土砂災害宅地等復旧補助金	https://www.city.nobeoka.miyazaki.jp/soshiki/48/42570.html	延岡市土砂災害宅地等復旧補助金 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 分類でさがす > 市民向け > まちづくり > 市民活動 > 延岡市土砂災害宅地等復旧補助金 現在地 トップページ > 分類でさがす > 市民向け > 防犯・安心 > 交通安全 > 延岡市土砂災害宅地等復旧補助金 現在地 トップページ > 分類でさがす
66	35	延岡市	子育てに関する補助	https://www.city.nobeoka.miyazaki.jp/life/4/34/	子育てに関する補助 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 分類でさがす > 子育て > 子育てに関する補助 本文 子育てに関する補助 新着情報 2026年5月20日更新 延岡市空き家バンクのご紹介 2026年4月27日更新 子どもが生まれたとき 2026年3月25日更新 （R8年度） 住まい取得・定住促進事業補助金（旧：移
66	35	延岡市	支援・助成	https://www.city.nobeoka.miyazaki.jp/life/sub/6/	支援・助成 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 支援・助成 本文 支援・助成 新着情報 2026年6月17日更新 移住支援金制度について 2026年6月1日更新 農業機械の導入費用を助成します（経営体強化機械導入助成事業） 2026年6月1日更新 土地利用型農業機械購入費用の一部を助成します（地域農業担い手支援農業機械購
64	38	延岡市	進学・就職に関する支援制度のご紹介	https://www.city.nobeoka.miyazaki.jp/soshiki/32/23042.html	進学・就職に関する支援制度のご紹介 - 延岡市公式ホームページ ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ Foreign Language 音声読み上げ 背景色・文字サイズ 文字サイズ 標準 拡大 背景色変更 白 黒 青 閉じる 市民の声 キーワード検索 Googleカスタム検索 検索対象 すべて ページ PDF ＜外部リンク＞ 市民向け 事業者向け 観光 市政情報 防災・災害 防犯・安心 休日当番医 現在地 トップページ > 組織でさがす > 健康福祉部 > おやこ保健福祉課 > 進学・就職に関する支援制度のご紹介 本文 進学・就職に関する支援制度のご紹介 印刷ページ表示 更新日：2024年7月29日更新 宮崎県が作成している、進学・就職に関する支援制度を紹介した「桜さく
