id	rescore	score	organization	title	url	snippet
1	77	42	えびの市	令和8年度 学校給食費【無償化】	https://www.city.ebino.lg.jp/kosodate_kyoiku/kyoiku/gakko_kyoiku/gakkokyushoku/5351.html	令和8年度 学校給食費【無償化】／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
2	77	40	えびの市	子育て支援	https://www.city.ebino.lg.jp/kanko/iju_teiju/josei_shien/3121.html	子育て支援／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト 移住・定住 助成・支援 子育て支援 子育て支援 Tweet 更新日：2022年02月28日 子ども医療費助成 保健福祉の増進と健全な発育の促進を図ることを目的に、子どもの医療費の一部の助成を行っています。 詳しくは、下記
3	75	42	えびの市	障害児福祉手当	https://www.city.ebino.lg.jp/kenko_fukushi/shogaishafukushi/shien/5705.html	障害児福祉手当／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマートフォン版
4	75	42	えびの市	特別障害者手当	https://www.city.ebino.lg.jp/kenko_fukushi/shogaishafukushi/shien/5707.html	特別障害者手当／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマートフォン版
5	75	42	えびの市	児童扶養手当	https://www.city.ebino.lg.jp/kosodate_kyoiku/kosodate/kosodate/jidofukushi/2779.html	児童扶養手当／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマートフォン版を
6	75	42	えびの市	児童手当	https://www.city.ebino.lg.jp/kosodate_kyoiku/kosodate/kosodate/jidofukushi/6210.html	児童手当／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマートフォン版を表示
7	73	42	えびの市	幼児教育・保育の無償化に伴う特定子ども・子育て支援施設等の確認について	https://www.city.ebino.lg.jp/kosodate_kyoiku/kosodate/hoikuen_yochien/5056.html	幼児教育・保育の無償化に伴う特定子ども・子育て支援施設等の確認について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Fore
8	71	42	えびの市	若者定住促進奨学金返還補助金について	https://www.city.ebino.lg.jp/kanko/iju_teiju/josei_shien/3143.html	若者定住促進奨学金返還補助金について／えびの市 スマートフォン版を表示 本文へ 閉じる ホーム えびの市のみどころ グルメ・特産品 温泉・宿泊 エリアで情報をさがす Foreign Language えびの市ホームページ 文字サイズ 背景色変更 閉じる 現在の位置 ホーム 観光サイト 移住・定住 助成・支援 若者定住促進奨学金返還補助金について 若者定住促進奨学金返還補助金について Tweet 更新日：2022年02月28日 若者の定住促進および市内事業所等への就業を促進する
9	71	42	えびの市	特別児童扶養手当	https://www.city.ebino.lg.jp/kenko_fukushi/shogaishafukushi/shien/5706.html	特別児童扶養手当／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る スマートフォン
10	69	42	えびの市	タクシー利用料金助成事業について	https://www.city.ebino.lg.jp/benri_service/downlord/kurashi_tetsuduki/2976.html	タクシー利用料金助成事業について／えびの市 本文へ 文字サイズ 背景色変更 Foreign Language 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境 健康・福祉 子育て・教育 産業・ビジネス 観光・文化 ・スポーツ 行政・市政 災害情報 ハザードマップ 日曜在宅医 くらし・手続き 住まい・環境・安全 健康・福祉 子育て・教育 産業・ビジネス 観光・文化・スポーツ 行政・市政 文字サイズ変更 背景色変更 Foreign Language PC版で見る
