id	rescored	originalScore	organization	title	url	evidence
14	55	30	綾町	令和7年度物価高騰対応重点支援地方創生臨時交付金の実施状況	https://www.town.aya.miyazaki.jp/soshiki/sougouseisakuka/10247.html	令和7年度物価高騰対応重点支援地方創生臨時交付金の実施状況 - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図でさ
16	55	30	綾町	令和６年度物価高騰対応重点支援地方創生臨時交付金の効果検証の公表	https://www.town.aya.miyazaki.jp/soshiki/sougouseisakuka/10225.html	令和６年度物価高騰対応重点支援地方創生臨時交付金の効果検証の公表 - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地
18	55	30	綾町	令和５年度物価高騰対応重点支援地方創生臨時交付金の効果検証の公表	https://www.town.aya.miyazaki.jp/soshiki/sougouseisakuka/9175.html	令和５年度物価高騰対応重点支援地方創生臨時交付金の効果検証の公表 - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地
19	55	30	綾町	新型コロナウイルス感染症対応地方創生臨時交付金の効果検証の公表	https://www.town.aya.miyazaki.jp/soshiki/sougouseisakuka/6549.html	新型コロナウイルス感染症対応地方創生臨時交付金の効果検証の公表 - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図
27	55	30	綾町	令和5年度ゆめ応援プロジェクト支援事業	https://www.town.aya.miyazaki.jp/soshiki/sougouseisakuka/6592.html	令和5年度ゆめ応援プロジェクト支援事業 - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図でさがす よくある質問
4	51	30	綾町	危険木除去補助事業をご活用ください	https://www.town.aya.miyazaki.jp/soshiki/nourinsinkou/10834.html	危険木除去補助事業をご活用ください - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図でさがす よくある質問 トッ
8	51	30	綾町	特別児童扶養手当について	https://www.town.aya.miyazaki.jp/soshiki/hukusihokenka/9890.html	特別児童扶養手当について - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図でさがす よくある質問 トップページ
9	51	30	綾町	児童扶養手当	https://www.town.aya.miyazaki.jp/soshiki/hukusihokenka/6307.html	児童扶養手当 - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図でさがす よくある質問 トップページ > 組織でさ
10	51	30	綾町	児童手当について	https://www.town.aya.miyazaki.jp/soshiki/hukusihokenka/6438.html	児童手当について - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図でさがす よくある質問 トップページ > 組織
11	51	30	綾町	特別障害者手当について	https://www.town.aya.miyazaki.jp/soshiki/hukusihokenka/9290.html	特別障害者手当について - 綾町ホームページ ページの先頭です。 メニューを飛ばして本文へ 綾町のおすすめ 検索 メニュー 本文へ Foreign language 文字サイズ・色合い変更 文字サイズ 拡大 標準 色合い変更 白 黒 青 閉じる キーワード検索 防災情報 救急・休日当番医 ＜外部リンク＞ くらしの情報 しごとの情報 観光情報 町政情報 綾町のおすすめ 情報をさがす サイト内検索 検索対象 すべて ページ PDF 注目ワード 照葉大吊橋 綾城 日向夏ドリンク「綾夏ちゃん」 綾ユネスコエコパーク もりりん ライフシーンでさがす 妊娠・出産 子育て 入学・入園 就職・退職 引越し・住まい 結婚・離婚 高齢者・介護 おくやみ 組織でさがす カレンダーでさがす 地図でさがす よくある質問 トップページ >
