rescore	organization	title	url	evidence
95	都農町	都農町子ども医療費助成	https://www.town.tsuno.lg.jp/article?articleId=6046d0ab7aaa612880862fe5	都農町子ども医療費助成 子どもの福祉の向上と健全な発育の促進を図ることを目的として実施している事業です。 令和５年４月１日から、子ども医療費の助成対象年齢を１５歳から１８歳までに拡大しました。 助成対象者 ・都農町内に住所のある健康保険に加入している子ども ・入院・入院外ともに、0歳から1８歳に到達する年度末までの子ども ※高校等に在学していなくても対象となります。 ※生活保護やひとり親家庭医療費等、他の制度による医療費助成を受けている方は対象となりません。 助成内容 通院・入院医療費、補装具費用ともに保険診療内の自己負担額を全額助成します。 〈助成対象外〉 ・保険外診療分（入院時食事代、室料差額、予防接種、検診など） ・高額療養費や付加給付金による保険給付がある場合は、その分を控除した額を助成します。 ・学校
91	都農町	不妊治療費助成について	https://www.town.tsuno.lg.jp/article?articleId=6046dac1a9e0786dcab6bf47	不妊治療費助成について 都農町では、安心して子どもを産み育てることができる環境づくりを行なうため、不妊治療を受けられた夫婦に対して 治療費の助成を行なっています。 不妊治療をお考えの方は、申請前にまずご相談ください。 助成対象者（申請時に次の要件を全て満たす夫婦が対象） １．婚姻関係にある夫婦（事実婚を含む）のどちらかが1年以上都農町にお住まいの方 ２．不妊治療が必要と診断されている方 ３．「治療開始日」の女性の年齢が４４歳未満であること ４．夫婦双方が健康保険に加入していること ５．夫婦双方が都農町の税金を滞納していないこと ６．他の市町村で同様の助成金を受けていないこと 助成内容 ◎治療が終了した日に属する年度内（４月から翌年３月）において、助成対象の治療費（自己負担額）を助成します。 ①不妊検査 ：不妊治
87	都農町	病児・病後児保育施設の利用料を助成します！	https://www.town.tsuno.lg.jp/article?articleId=6567ed966e66b36fb6349d40	病児・病後児保育施設の利用料を助成します！ 令和５年１１月１日利用分から、病児・病後児保育施設の利用料の助成を開始します。 病児・病後児保育とは 病気または病気の回復期の児童を、家庭で保育ができない時、看護師、保育士がいる専用施設内で一時的に預かり、保護者の子育てと就労の両立を支援する事業です。 助成の内容 都農町内に病児・病後児保育施設はありませんが、県内の施設を利用した際にお支払いした利用料が助成の対象となります。 対象者 病児・病後児保育施設の利用日に都農町内に住所を有する児童の保護者等 助成金額 児童１人につき１日２，０００円（上限） ※施設利用料が２，０００円を超えた場合の差額や、実費負担の費用（給食代、おやつ代等） は助成の対象外です。 申請方法 以下のものを持って福祉課 子育て支援係へお越しくださ
83	都農町	特別児童扶養手当	https://www.town.tsuno.lg.jp/article?articleId=618db52397cf31405819717b	特別児童扶養手当 心身に障がいのある児童の福祉の増進に寄与することを目的とする社会保障制度であるとともに、在宅障がい児の監護、養育者に対する介護料的性格を有する社会福祉制度です。 １．支給対象者 特別児童扶養手当とは、20歳未満で心身または精神に中度以上の障がいがある児童を監護している父もしくは母または父母に代わってその児童を養育している方に支給されます。 ただし、以下の場合は支給の対象になりません。 ・対象児童や父、もしくは母または養育者が日本国内に住んでいないとき ・対象児童が障がいを支給事由とする公的年金を受けることができるとき ・対象児童が児童福祉施設等に入所しているとき （１）手当額 ・1級…1人につき 月額 56,800円（令和7年４月から） ・2級…1人につき 月額 37,830円（令和7年４月か
77	都農町	都農町結婚生活支援事業	https://www.town.tsuno.lg.jp/article?articleId=684a17ca336b465cd967924c	都農町結婚生活支援事業 国の地域少子化対策重点推進交付金決定に伴う結婚新生活を応援するため、新婚世帯の住宅取得費用や引越し費用を助成します。 対象要件（以下のすべてに当てはまるご夫婦） ① 婚姻日が、令和８年３月１日から令和９年３月３１日であること ② 夫婦共に、婚姻日における年齢が３９歳以下であること ③ 申請時点で、都農町内に夫婦双方又は一方が住所を有していること ④ 申請時点で、夫婦及び世帯全員が町税などの滞納をしていないこと ⑤ 夫婦の所得を合算した金額が５００万円未満であること ※所得とは、１年間の収入金額から必要経費を差し引いた金額のことです ※貸与型奨学金の返済をしている場合は、１年間の返済額を控除します ⑥ 過去に、結婚新生活支援事業の助成を受けていないこと（他市町村を含む） ⑦ 夫婦及び世帯全
74	川南町	透析通院費の助成	https://www.town.kawaminami.miyazaki.jp/soshiki/4/1362.html	透析通院費の助成 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 医療・健康・福祉 > 医療・福祉 > 透析通院費の助成 本文 透析通院費の助成 記事ID：0001362 更新日：2020年12月22日更新 印刷ページ表示 人工血液透析の通院費を助成します 助成の内容と対象者 この制度は、腎臓機能障害がある方で、人工腎臓による血液透析療法の治療を受けている方の通院に要する費用の一部を
74	都農町	母子父子寡婦家庭のための福祉	https://www.town.tsuno.lg.jp/article?articleId=6046caa9cbcbcc0601fe9a31	母子父子寡婦家庭のための福祉 ひとり親家庭医療費助成事業の対象者や内容等について説明します。 ひとり親家庭医療費助成事業 親が離婚または死亡した子供のいる家庭に対して、親と子の医療費の自己負担額の一部を助成する制度です。 対象者 国保の被保険者又は社会保険各法の被保険者若しくは被扶養者で次に該当するの方 (1) 母子及び寡婦福祉法に定める配偶者のない女子又は男子で、20歳未満の子を扶養している人 (2) その扶養を受けている18歳に達する年度末までにある児童 (3) 18歳に達する年度末までの父母のない児童 所得制限 児童扶養手当法に定める所得制限と同様 助成内容 医療保険制度における一部負担金から、自己負担額を除いた額 自己負担額 1人当たり月額1,000円 手続方法 (1) 入院外 病院窓口で支払後、役場福
72	川南町	妊婦健康診査の助成について	https://www.town.kawaminami.miyazaki.jp/soshiki/6/1296.html	妊婦健康診査の助成について - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 妊娠・出産 > 妊婦健康診査の助成について 本文 妊婦健康診査の助成について 記事ID：0001296 更新日：2025年4月8日更新 印刷ページ表示 川南町では、母子健康手帳交付時に妊婦健康診査助成券（14回分）をお渡ししています。 対象者 川南町にお住まいの妊婦の方 ※健診期間中に町外
72	川南町	子ども留学等支援補助金	https://www.town.kawaminami.miyazaki.jp/soshiki/2/1190.html	子ども留学等支援補助金 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 子育て・教育 > 子ども留学等支援補助金 現在地 トップページ > 分類でさがす > くらし > 生活のできごと > 各種手続き > 子ども留学等支援補助金 本文 子ども留学等支援補助金 記事ID：0001190 更新日：2026年4月1日更新 印刷ページ表示 子どもの留学等に要する費用の一部
72	川南町	国民健康保険加入者の人間ドック費用一部助成	https://www.town.kawaminami.miyazaki.jp/soshiki/6/1285.html	国民健康保険加入者の人間ドック費用一部助成 - 川南町 ページの先頭です。 メニューを飛ばして本文へ メニュー 本文へ はじめての方へ サイトマップ Foreign language 文字サイズ 拡大 標準 背景色 白 黒 青 くらし しごと 観光 町政 Googleカスタム検索 検索対象 すべて ページ PDF 記事ID検索 防災・災害情報 日曜在宅医・休日当番医 現在地 トップページ > 分類でさがす > くらし > 保険・年金 > 国民健康保険 > 国民健康保険加入者の人間ドック費用一部助成 本文 国民健康保険加入者の人間ドック費用一部助成 記事ID：0001285 更新日：2026年4月1日更新 印刷ページ表示 川南町では、国民健康保険加入者の人間ドック費用一部助成を行っています。 対象者 川南町国民健
