slug	organization	title	maxAmount	url	evidence
miyazaki-official-005-001-2026	門川町	門川町 移住支援金制度	支給額】移住支援金（注意）東京都23区に在住または東京圏（東京都23区外、神奈川県、千葉県、埼玉県）から東京都23区へ通勤の方が対象○2人以上の家族・世帯の場合：100万円	https://www.town.kadogawa.lg.jp/live/town_planning/migration-support/page004529.html	移住支援金制度 移住支援金制度 1.移住支援金制度について 本制度は、直近10年間のうち、通算5年以上かつ直近1年以上連続して、東京23区に在住していた方、又は東京圏（東京都23区外、神奈川県、千葉県、埼玉県）のうちの条件不利地域以外の地域に在住し、東京23区内への通勤をしていた方もしくは、直近10年間のうち、通算5年以上かつ直近1年以上連続して三大都市圏等に在住し通勤されている方（※東京23区を除く）が、門川町に移住し、「ふるさと宮崎
miyazaki-official-005-002-2026	門川町	門川町 空き家等情報バンクに関する補助制度	上限額10万円	https://www.town.kadogawa.lg.jp/live/akiya/page003582.html	空き家等情報バンクに関する補助制度 空き家等情報バンクに関する補助制度 空き家利活用促進事業補助金制度 空き家バンクに登録された物件について、移住者と賃貸または売買契約される場合、家財道具の処分の費用の一部を補助します。 （１）対象者 空き家の所有者 家財道具付きの空き家を購入した移住者。 空き家の家財道具の整理等について、所有者から承諾を得られている移住者。 ※本補助金制度における「移住者」とは、生活拠点を町外から本町に移す方、または
miyazaki-official-005-003-2026	門川町	門川町 軽度・中等度難聴児の補聴器購入費等助成について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.kadogawa.lg.jp/live/welfare/page004362.html	軽度・中等度難聴児の補聴器購入費等助成について 軽度・中等度難聴児の補聴器購入費等助成について 身体障害者手帳の交付対象にならない軽度・中等度の難聴がある子どもの補聴器の購入費用等の一部を助成します。 助成の対象について 次のすべてに該当する人 保護者が門川町に住所を有し、18歳到達後、最初の3月31日までにある人。 両耳の聴力レベルが30デシベル以上で、聴覚障害に関して身体障害者手帳の交付の対象とならない人（医師が必要と認める場合は、
miyazaki-official-005-004-2026	門川町	門川町 高齢者の補聴器購入の補助をします	上限額30,000円	https://www.town.kadogawa.lg.jp/live/welfare/page005417.html	高齢者の補聴器購入の補助をします 高齢者の補聴器購入の補助をします 年齢とともに少しずつ聞こえにくさを感じる方が増えています。 門川町では、高齢者の方が補聴器を使うことで安心して日常生活を送っていただけるよう、補聴器の購入費用の一部を助成する制度を実施しています。 ※予算に限りがあるため、該当にならない場合があります。決定通知を受けた方から先着順となりますのでご了承ください。 １．対象となる方 下記の条件を満たす方が対象となります。 □
miyazaki-official-005-005-2026	門川町	門川町 重度障がい者（児）医療費について	医療費・利用料等の自己負担分を助成または無償化	https://www.town.kadogawa.lg.jp/live/welfare/page004360.html	重度障がい者（児）医療費について 重度障がい者（児）医療費について 重度障がい者（児）の方に医療費の一部を助成します。 助成の対象者について ①身体障害者手帳の等級が１級または２級の方 ②療育手帳の等級がＡの方 ③身体障害者手帳の等級が３級で、なおかつ療育手帳の等級がＢ１の方 上記①～③のいずれかに該当し、障がい者本人・障がい者の配偶者及び扶養義務者の所得が所得制限額未満であること。 自己負担額について 医療機関に受給資格者証を提示する
miyazaki-official-005-006-2026	門川町	門川町 重度障がい者タクシー料金助成事業について	上限500円	https://www.town.kadogawa.lg.jp/live/welfare/page005024.html	重度障がい者タクシー料金助成事業について 重度障がい者タクシー料金助成事業について 令和6年11月から、自家用車を所有していない重度障がい者の方を対象にタクシー料金の一部を助成します。 対象者 『身体障害者手帳 1級 または 2級 』『療育手帳 A 』『精神障害者保健福祉手帳 1級 』のいずれかを所持し、 以下の要件を全て満たす方 門川町内に住所を有する方 住民税所得割が非課税である（20歳未満の場合は住民税所得割の非課税世帯） 同一世
miyazaki-official-005-007-2026	門川町	門川町 物価高対応子育て応援手当「宮崎県上乗せ支給」について	所得・対象区分に応じて手当・給付金等を支給	https://www.town.kadogawa.lg.jp/news/general/page005562.html	物価高対応子育て応援手当「宮崎県上乗せ支給」について 物価高対応子育て応援手当「宮崎県上乗せ支給」について 公開日：2026年06月01日 宮崎県では、長期化する物価高騰の影響を受けている本県の子育て世帯の経済的負担に対応するため、 子ども１人当たり１万５千円 を支給します。 物価高対応子育て応援手当（宮崎県上乗せ支給）のご案内.pdf 現在、支給に向けた準備を進めており、門川町では ６月下旬 から順次支給を開始します。 ※国の物価高対
miyazaki-official-005-008-2026	門川町	門川町 物価高対応子育て応援手当について	支給額対象児童１人あたり２万円	https://www.town.kadogawa.lg.jp/news/general/page005483.html	物価高対応子育て応援手当について 物価高対応子育て応援手当について 公開日：2026年03月12日 物価高の影響が長期化する中、特にその影響を強く受けている子育て世帯を支援し、子どもたちの健やかな成長を応援するため、０歳から高校３年生年代までの子ども（平成１９年４月２日から令和８年３月３１日までの間に出生した子ども）を養育する保護者に対し、 子ども１人当たり２万円 の「物価高対応子育て応援手当」を支給します。 物価高対応子育て応援手当の
miyazaki-official-005-009-2026	門川町	門川町 門川町 妊婦のための支援給付事業について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.kadogawa.lg.jp/learn/pregnancy/page005182.html	門川町 妊婦のための支援給付事業について 門川町 妊婦のための支援給付事業について 令和７年４月１日から、子ども・子育て支援法に「妊婦のための支援給付」が創設されました。これに伴い「出産・子育て応援交付金事業」は「妊婦のための支援給付事業」に移行します。 妊娠中から出産・子育て期までひとり一人に寄り添いながら相談支援を行うとともに、経済的支援として妊娠届出後、妊婦１人あたり５万円（妊婦支援給付 １回目）、赤ちゃん訪問後に子ども１人あたり
miyazaki-official-005-010-2026	門川町	門川町 門川町ふるさと納税返礼品開発等支援補助金について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.kadogawa.lg.jp/administration/furusato_tax_payment/page004854.html	門川町ふるさと納税返礼品開発等支援補助金について 門川町ふるさと納税返礼品開発等支援補助金について ふるさと納税返礼品の開発・改良に係る費用を補助します！ 門川町では、ふるさと納税によるご寄附をいただいた際に、町内事業者が製造する地場産品などを返礼品として進呈しています。 ふるさと納税返礼品を活用して、地域資源のPR及び地域の活性化を図るため、町内に本社、支社、事業所、工場のいずれかを有する事業者を対象に、ふるさと納税返礼品の開発・改良
