score	organization	title	url
30	日之影町	はり・きゅう等費用の助成	https://www.town.hinokage.lg.jp/docs/2016021900012/
30	日之影町	みやざき結婚サポートセンター入会登録補助金のご案内	https://www.town.hinokage.lg.jp/docs/2023090600019/
30	日之影町	移住支援金制度	https://www.town.hinokage.lg.jp/docs/2023072000011/
30	日之影町	子ども医療費助成（令和７年４月以降診療分）	https://www.town.hinokage.lg.jp/docs/2025022600029/
30	日之影町	児童扶養手当	https://www.town.hinokage.lg.jp/docs/2016031800142/
30	日之影町	小児任意予防接種助成	https://www.town.hinokage.lg.jp/docs/2016020500107/
30	日之影町	浄化槽	https://www.town.hinokage.lg.jp/docs/2016022600034/
30	日之影町	日之影町アピアランスケアサポート事業	https://www.town.hinokage.lg.jp/docs/2026040900030/
30	日之影町	日之影町骨髄移植ドナー支援事業奨励金	https://www.town.hinokage.lg.jp/docs/2023082200012/
30	日之影町	日之影町住宅等除却事業補助金について	https://www.town.hinokage.lg.jp/docs/2026041600014/
30	日之影町	日之影町出逢い創出イベント事業補助金について	https://www.town.hinokage.lg.jp/docs/2026060800037/
30	日之影町	農業近代化資金、融資など	https://www.town.hinokage.lg.jp/docs/2016020100024/
30	日之影町	令和8年度 世界農業遺産 地域活動支援事業補助金のお知らせ	https://www.town.hinokage.lg.jp/docs/2026061000023/
30	日之影町	令和8年度 祖母・傾・大崩ユネスコエコパーク活動支援事業費補助金の公募について	https://www.town.hinokage.lg.jp/docs/2026062500010/
28	日之影町	企業立地の優遇措置	https://www.town.hinokage.lg.jp/docs/2016020100031/
28	日之影町	在宅高齢者住宅改造費の助成	https://www.town.hinokage.lg.jp/docs/2016021900029/
26	日之影町	奨学金	https://www.town.hinokage.lg.jp/docs/2016021900135/
25	日之影町	障がいのある人のための助成制度	https://www.town.hinokage.lg.jp/docs/2016020300042/
24	日之影町	介護予防・生活支援事業	https://www.town.hinokage.lg.jp/docs/2016021900050/
22	日之影町	障がいのある人のための医療制度	https://www.town.hinokage.lg.jp/docs/2016020300035/
30	五ヶ瀬町	【令和8年度募集開始】世界農業遺産地域活動支援事業補助金	https://www.town.gokase.miyazaki.jp/kakuka/kikaku/1877.html
30	五ヶ瀬町	こども医療費助成制度について	https://www.town.gokase.miyazaki.jp/kurashi/kosodate/564.html
30	五ヶ瀬町	児童手当について	https://www.town.gokase.miyazaki.jp/kurashi/kosodate/1889.html
30	五ヶ瀬町	障がいのある人のための助成制度	https://www.town.gokase.miyazaki.jp/kakuka/fukushi/syougaihukusi/593.html
30	五ヶ瀬町	成年後見制度利用支援事業	https://www.town.gokase.miyazaki.jp/kakuka/fukushi/syougaihukusi/2226.html
28	五ヶ瀬町	【中小企業者の皆様へ】新たな設備導入による生産性向上を応援します	https://www.town.gokase.miyazaki.jp/kakuka/kikaku/516.html
22	五ヶ瀬町	固定資産税の減免	https://www.town.gokase.miyazaki.jp/kakuka/choumin/kotei/803.html
22	五ヶ瀬町	障がいのある人のための医療制度	https://www.town.gokase.miyazaki.jp/kakuka/fukushi/syougaihukusi/567.html
