score	organization	title	url	evidence
30	五ヶ瀬町	こども医療費助成制度について	https://www.town.gokase.miyazaki.jp/kurashi/kosodate/564.html	こども医療費助成制度について／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム くらし・手続き 子育て・教育 こども医療費助成制度について こども医療費助成制度について Tweet 更新日：2026年03月31日 こども医療費助成制度 五ヶ瀬町では、子どもたちの福祉の向上と健全な発育の促進を目的に、令和5年4月から医療費の無償化に取り組んでいます。更に、子育て世代の保護者に係る医療費の負担を軽減するため、令和8年4月からその対象を高校生まで広げ、子どもの成長を支える体制を整備していきます。 対象者 健康保険に加入している0歳から高校生年代（18歳到達日以後最初の3月31日まで）で、次のいずれかに該当する子ども 1 五ヶ瀬町に住所を有する子ども 2 保護者が町内
30	五ヶ瀬町	児童手当について	https://www.town.gokase.miyazaki.jp/kurashi/kosodate/1889.html	児童手当について／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム くらし・手続き 子育て・教育 児童手当について 児童手当について Tweet 更新日：2024年08月09日 児童手当制度について 児童手当は、子ども・子育て支援の適切な実施を図るため、父母その他の保護者が子育てについての第一義的責任を有するという基本的認識の下に、家庭等における生活の安定に寄与するとともに、次代の社会を担う児童の健やかな成長に資することを目的としています。（こども家庭庁） 支給対象者 児童手当は、15歳になって最初に迎える3月31日まで（中学校修了）の児童を養育している方に支給します。原則として父母のうち所得の高い方が請求者となります。 ※受給資格者が公務員である場合は、職場
30	五ヶ瀬町	こども医療費の無償化を高校生まで拡充	https://www.town.gokase.miyazaki.jp/kurashi/kosodate/2210.html	こども医療費の無償化を高校生まで拡充／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム くらし・手続き 子育て・教育 こども医療費の無償化を高校生まで拡充 こども医療費の無償化を高校生まで拡充 Tweet 更新日：2026年03月30日 このページは、新たに拡充された令和8年度の対象者（高校生）の手続きについて記載しています。 こども医療費助成制度については こちら こども医療費助成制度の拡充について 五ヶ瀬町では、子育てに係る保護者の負担軽減を図るため、令和8年4月1日からこども医療費の助成対象者を高校生まで拡充しました。 こどもの福祉の向上と健全な発育を促進し、安心してこどもを育てることができるまちづくりを目指します。 拡充対象のこども 五ヶ瀬町内に 住所
30	五ヶ瀬町	国民健康保険税における「子ども・子育て支援金制度」について	https://www.town.gokase.miyazaki.jp/kurashi/nenkin/2196.html	国民健康保険税における「子ども・子育て支援金制度」について／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム くらし・手続き 年金・保険 国民健康保険税における「子ども・子育て支援金制度」について 国民健康保険税における「子ども・子育て支援金制度」について Tweet 更新日：2026年03月25日 令和8年度から「子ども・子育て支援金制度」が始まります 「子ども・子育て支援金制度」とは社会連帯の理念を基盤に、子どもや子育て世帯を、全世代・全経済主体が支える新しい助け合いの仕組みです。この支援金は令和8年度から国民健康保険税にあわせて賦課・徴収されます。 なお、この支援金は児童手当の拡充、育児時短就業給付など6つの事業に充てられます。 詳しくは、こども家庭庁の
30	五ヶ瀬町	【令和8年度募集開始】世界農業遺産地域活動支援事業補助金	https://www.town.gokase.miyazaki.jp/kakuka/kikaku/1877.html	【令和8年度募集開始】世界農業遺産地域活動支援事業補助金／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム 各課のご案内 企画課 【令和8年度募集開始】世界農業遺産地域活動支援事業補助金 【令和8年度募集開始】世界農業遺産地域活動支援事業補助金 Tweet 更新日：2026年05月27日 世界農業遺産を活用した地域の活動を支援します！ 1.目的 世界農業遺産を活用した取組を活性化させ、高千穂郷・椎葉山地域の山間地農林業複合システムを持続可能なものにすることを目的に、地域が行う事業について補助金を交付します。 2.補助対象団体(実施主体) 高千穂郷・椎葉山地域内で活動する任意団体、NPO法人、個人 等 3.補助対象期間 令和8年4月1日（水曜日）～令和9年3月1
30	五ヶ瀬町	国民健康保険税における「子ども・子育て支援金制度」について	https://www.town.gokase.miyazaki.jp/kakuka/choumin/kokuho/2195.html	国民健康保険税における「子ども・子育て支援金制度」について／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム 各課のご案内 町民課 国民健康保険 国民健康保険税における「子ども・子育て支援金制度」について 国民健康保険税における「子ども・子育て支援金制度」について Tweet 更新日：2026年03月25日 令和8年度から「子ども・子育て支援金制度」が始まります 「子ども・子育て支援金制度」とは社会連帯の理念を基盤に、子どもや子育て世帯を、全世代・全経済主体が支える新しい助け合いの仕組みです。この支援金は令和8年度から国民健康保険税にあわせて賦課・徴収されます。 なお、この支援金は児童手当の拡充、育児時短就業給付など6つの事業に充てられます。 詳しくは、こども
30	五ヶ瀬町	こども医療費助成制度について	https://www.town.gokase.miyazaki.jp/kakuka/fukushi/jidoufukusi/562.html	こども医療費助成制度について／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム 各課のご案内 福祉課 児童福祉 こども医療費助成制度について こども医療費助成制度について Tweet 更新日：2026年03月31日 こども医療費助成制度 五ヶ瀬町では、子どもたちの福祉の向上と健全な発育の促進を目的に、令和5年4月から医療費の無償化に取り組んでいます。更に、子育て世代の保護者に係る医療費の負担を軽減するため、令和8年4月からその対象を高校生まで広げ、子どもの成長を支える体制を整備していきます。 対象者 健康保険に加入している0歳から高校生年代（18歳到達日以後最初の3月31日まで）で、次のいずれかに該当する子ども 1 五ヶ瀬町に住所を有する子ども 2 保護者が町
30	五ヶ瀬町	こども医療費の無償化を高校生まで拡充	https://www.town.gokase.miyazaki.jp/kakuka/fukushi/jidoufukusi/2208.html	こども医療費の無償化を高校生まで拡充／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム 各課のご案内 福祉課 児童福祉 こども医療費の無償化を高校生まで拡充 こども医療費の無償化を高校生まで拡充 Tweet 更新日：2026年03月30日 このページは、新たに拡充された令和8年度の対象者（高校生）の手続きについて記載しています。 こども医療費助成制度については こちら こども医療費助成制度の拡充について 五ヶ瀬町では、子育てに係る保護者の負担軽減を図るため、令和8年4月1日からこども医療費の助成対象者を高校生まで拡充しました。 こどもの福祉の向上と健全な発育を促進し、安心してこどもを育てることができるまちづくりを目指します。 拡充対象のこども 五ヶ瀬町内に 住
28	五ヶ瀬町	児童手当について	https://www.town.gokase.miyazaki.jp/kakuka/fukushi/jidoufukusi/jidouteate.html	児童手当について／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム 各課のご案内 福祉課 児童福祉 児童手当について 児童手当について Tweet 更新日：2024年08月09日 児童手当制度について 児童手当は、子ども・子育て支援の適切な実施を図るため、父母その他の保護者が子育てについての第一義的責任を有するという基本的認識の下に、家庭等における生活の安定に寄与するとともに、次代の社会を担う児童の健やかな成長に資することを目的としています。（こども家庭庁） 支給対象者 児童手当は、15歳になって最初に迎える3月31日まで（中学校修了）の児童を養育している方に支給します。原則として父母のうち所得の高い方が請求者となります。 ※受給資格者が公務員である場合は、職
22	五ヶ瀬町	固定資産税の減免	https://www.town.gokase.miyazaki.jp/kakuka/choumin/kotei/803.html	固定資産税の減免／五ヶ瀬町 本文へ 文字サイズ 背景色変更 キーワードから探す キーワードから探す 現在の位置 ホーム 各課のご案内 町民課 固定資産税 固定資産税の減免 固定資産税の減免 Tweet 更新日：2024年05月27日 ・生活保護を受けるようになった ・災害等により、固定資産が被害を受けた ・公益のために固定資産を使用する（公民館や消防団施設など） など以上の条件に該当する場合は、固定資産税が減免される場合があります。詳しくは町民課 固定資産係までご相談ください。 また、減免事由が無くなった場合は、すみやかに町民課 固定資産係までお申し出ください。 この記事に関するお問い合わせ先 町民課 固定資産・地籍調査係 電話番号：0982-82-1704 ファックス番号：0982-82-1721 メールフォ
