score	municipality	title	url	snippet
47	売木村	【就職・求人】	https://www.urugi.jp/top/administration_living/living_procedures/employment_jobs/	地図 お問い合わせ ホーム 売木村 行政・くらし 【くらし・手続き】住民票・戸籍・印鑑・税金・マイナンバー制度・国民健康保険・国民年金・生活・環境・水道・下水道・就職・求人・各種相談・もしもの備え 【就職・求人】 2021.02.22 起業支援 売木村産業支援資金の貸し付けについて 村内の意欲ある農林漁業者や起業家が取り組む新規事業や規模拡大を支援します。 対象事業 売木村の農林水産物、特産品の生産、加工、販売に関する事業 観光施設の有効利用を推進する事業 新規就農に関する事業 繁殖の用に供する肉用雌牛（生後４ヶ月齢以上４歳未満のもの）の導入に関する事業 給油所地下タンク漏えい防止緊急対策事業 新型コロナウィルス感染症で影響を受けた
47	売木村	住宅	https://www.urugi.jp/top/administration_living/living_procedures/living_environment/housing/	・環境・水道・下水道・就職・求人・各種相談・もしもの備え 【生活・環境】ケーブルテレビ・ごみ・リサイクル・自然エネルギー・ペット・動物・葬祭・墓地・交通情報・道路・河川・住宅 住宅 2021.02.21 目次 村の住宅に入居したいときは 住宅ごとの要件 申込 売木村簡易住宅利用案内 住宅新築への支援 住宅リフォームへの支援 耐震診断・改修 薪ストーブ設置事業補助金 村の住宅に入居したいときは 募集 広報誌やＣＡＴＶ文字放送、村ＨＰでお知らせします。 入居資格 村内に住所又は勤務場所を有し、かつ、村税を滞納していない者であること。 地元地区の組に加入して地域社会へ積極的に参加すること 現に住宅に困窮していることが明らかな者であること。
47	天龍村	しごと・むらづくり	https://www.vill-tenryu.jp/information/zizokuka-hojokin/	天龍村事業者持続化補助金 &#8211; 天龍村 文字サイズ 小 大 背景色 黒 白 村政情報 天龍村について 各種公表情報 イベント 広報天龍 公聴 議会 選挙 各種統計 くらしと手続き 住所・戸籍・証明書 税金 住まい ごみ・資源 上下水道 消防・防災 ふるさと納税 補助金・助成金 申請書 村内施設 トピックス 健康・福祉 国民健康保険 医療 福祉 介護 子育て・教育 子育て支援 保育園・学校 公共交通機関 交通機関 道路 しごと・むらづくり 事業者の方へ 農業 環境 地域おこし協力隊 天龍村村づくり計画 都市部・大学等との交流事業 図書 移住・定住 秘境大学 龍の子留学 移住相談会 村の暮らしを知る MENU 村政情報 くらし
46	売木村	浄化槽に対する補助制度について	https://www.urugi.jp/top/administration_living/living_procedures/sewer/subsidy_system_for_septic_tanks/	浄化槽に対する補助制度について コンテンツへスキップ トップ 売木村の紹介 行政・くらし 観光・体験 アクセス・地図 お問い合わせ トップ 売木村の紹介 行政・くらし 観光・体験 アクセス・地図 お問い合わせ ホーム 売木村 行政・くらし 【くらし・手続き】住民票・戸籍・印鑑・税金・マイナンバー制度・国民健康保険・国民年金・生活・環境・水道・下水道・就職・求人・各種相談・もしもの備え 【下水道】 浄化槽に対する補助制度について 2021.03.03 浄化槽設置補助金 生活排水による公共用水域の水質汚濁を防止し、売木村の生活環境の保全及び公衆衛生の向上を図るため、浄化槽の設置補助を行っています。 ※次の事項に該当する人に対しては補助金
46	売木村	【事業の概要】	https://www.urugi.jp/top/administration_living/living_procedures/living_environment/cable_tv_internet/jigohyouka/	らし・手続き】住民票・戸籍・印鑑・税金・マイナンバー制度・国民健康保険・国民年金・生活・環境・水道・下水道・就職・求人・各種相談・もしもの備え 【生活・環境】ケーブルテレビ・ごみ・リサイクル・自然エネルギー・ペット・動物・葬祭・墓地・交通情報・道路・河川・住宅 ケーブルテレビ 【事業の概要】 2023.11.30 １ 事業名 平成30年度情報通信基盤整備推進補助金事業 ２ 工事完了日 平成31年３月８日 ３ 総事業費 6,895,800円 ４ 補助額 3,447,000円 ５ 整備対象区域 村内全域 【事業内容】 １ 超高速ブロードバンドサービス提供開始日 平成31年４月１日 ２ 運営方式 公設民営方式（委託先：株式会社長野県協同電
46	売木村	ごみ・リサイクル	https://www.urugi.jp/top/administration_living/living_procedures/living_environment/garbage_recycling/	ム 売木村 行政・くらし 【くらし・手続き】住民票・戸籍・印鑑・税金・マイナンバー制度・国民健康保険・国民年金・生活・環境・水道・下水道・就職・求人・各種相談・もしもの備え 【生活・環境】ケーブルテレビ・ごみ・リサイクル・自然エネルギー・ペット・動物・葬祭・墓地・交通情報・道路・河川・住宅 ごみ・リサイクル 2021.02.21 ごみの分別・リサイクル収集 令和7年度ごみ・リサイクル収集予定表売木村 ダウンロード 粗大ごみ回収料金表 ダウンロード 売木村ごみ分別ガイドブック ダウンロード ごみの分け方・出し方 ダウンロード 生ごみ処理機補助金 生ごみ処理機をご購入の際は、下記のとおり補助金の申請ができます。 補助対象 家庭用：購
46	売木村	葬祭・墓地	https://www.urugi.jp/top/administration_living/living_procedures/living_environment/funeral_graveyard/	合に所属しています。火葬を行う際は、阿南斎場をご利用ください。 阿南斎場のご利用の仕方について 火葬の日程が決まったら（予約）下伊那南部総合事務組合にご連絡ください。 ＴＥＬ： 0260-22-4054 ※火葬は、死亡後24時間以上経過しないとできません。 ※斎場の休業日は、友引の日と年末年始（12月31日から翌年1月3日まで）です。 斎場を予約した後の使用申請書 関係町村の役場窓口で、斎場の使用申請をしてください。 夜間、土日祝日は宿日直が対応しますが、使用料はおつりがいらないようにご用意ください。 【持ち物】 印鑑 使用料（30,00円） 許可証発行手数料（300円） 助成金について 売木住民が南部総合事務組合（阿南斎場）をやむ
39	売木村	農業振興	https://www.urugi.jp/top/administration_living/for_businesses/agriculture/agricultural_promotion/	農業振興 コンテンツへスキップ トップ 売木村の紹介 行政・くらし 観光・体験 アクセス・地図 お問い合わせ トップ 売木村の紹介 行政・くらし 観光・体験 アクセス・地図 お問い合わせ ホーム 売木村 行政・くらし 【事業者の方へ】農業・森林・林業・労働・雇用・入札参加資格申請 【農業】 農業振興 2021.03.03 目次 売木村農地流動化促進事業 交付条件 補助金の額 農地・農業施設の災害 実質化された「人・農地プラン」の公表について 人・農地プランとは 「実質化された人・農地プラン」の公表 売木村農地流動化促進事業 村内の農地流動化を促進し、農地の有効利用と荒廃化防止、住環境維持のため、農地を借り受けた農業者等に対し、補助金
38	天龍村	村政情報	https://www.vill-tenryu.jp/information/saimatutasukeair7/	国際ソロプチミスト飯田様から寄付をいただきました &#8211; 天龍村 文字サイズ 小 大 背景色 黒 白 村政情報 天龍村について 各種公表情報 イベント 広報天龍 公聴 議会 選挙 各種統計 くらしと手続き 住所・戸籍・証明書 税金 住まい ごみ・資源 上下水道 消防・防災 ふるさと納税 補助金・助成金 申請書 村内施設 トピックス 健康・福祉 国民健康保険 医療 福祉 介護 子育て・教育 子育て支援 保育園・学校 公共交通機関 交通機関 道路 しごと・むらづくり 事業者の方へ 農業 環境 地域おこし協力隊 天龍村村づくり計画 都市部・大学等との交流事業 図書 移住・定住 秘境大学 龍の子留学 移住相談会 村の暮らしを知る M
37	根羽村	主な事業内容	https://www.nebamura.jp/nebalife/resident/	住民課 - 根羽村役場 | 長野県下伊那郡 いまだかつてない森 / Never forest 根羽村 村の宣言 村の暮らし 村の紹介 村のお知らせ 行動計画 災害情報 ふるさと納税 根羽村役場 〒395-0701 長野県下伊那郡根羽村2131番地1 市政、暮らし、各種申請手続で わからないことはこちらへ お問い合わせ 電話：0265-49-2111（代表） Fax：0265-49-2277 住民課 主な事業内容 ・ 戸籍 、 住民票 ・印鑑登録、外人登録について ・保健衛生、環境衛生について ・墓地、埋・ 火葬 について ・ 老人福祉 、 介護保険について ・ 国民健康保険 、国民年金について ・民生委員、人権について ・上、 下水
