municipality,score,title,url,snippet
"飯綱町","44","飯綱町若者Ｕ・Ｉ・Ｊターン者等奨学金返還支援補助金","https://www.town.iizuna.nagano.jp/docs/10117.html","飯綱町若者Ｕ・Ｉ・Ｊターン者等奨学金返還支援補助金 飯綱町若者Ｕ・Ｉ・Ｊターン者等奨学金返還支援補助金 令和5年4月9日 補助金 起業 農業 奨学金 https://www.town.iizuna.nagano.jp/docs/10117.html"
"飯綱町","34","飯綱町結婚新生活支援事業補助金","https://www.town.iizuna.nagano.jp/docs/10135.html","飯綱町結婚新生活支援事業補助金 飯綱町結婚新生活支援事業補助金 令和8年1月1日 補助金 住宅 子育て 奨学金 https://www.town.iizuna.nagano.jp/docs/10135.html"
"飯綱町","31","飯綱町移住定住応援家賃助成金","https://www.town.iizuna.nagano.jp/docs/893.html","飯綱町移住定住応援家賃助成金 飯綱町移住定住応援家賃助成金 令和5年4月9日 補助金 助成金 移住 住宅 https://www.town.iizuna.nagano.jp/docs/893.html"
"飯綱町","31","飯綱町ひとり親世帯家賃助成金","https://www.town.iizuna.nagano.jp/docs/894.html","飯綱町ひとり親世帯家賃助成金 飯綱町ひとり親世帯家賃助成金 令和5年4月9日 補助金 助成金 移住 住宅 子育て https://www.town.iizuna.nagano.jp/docs/894.html"
"信濃町","28","空き家賃貸活用促進事業補助金","https://www.town.shinano.lg.jp/docs/14079915.html","空き家賃貸活用促進事業補助金 空き家賃貸活用促進事業補助金 補助金 住宅 空き家 https://www.town.shinano.lg.jp/docs/14079915.html"
"飯綱町","28","飯綱町移住定住応援リフォーム補助金","https://www.town.iizuna.nagano.jp/docs/2662.html","飯綱町移住定住応援リフォーム補助金 飯綱町移住定住応援リフォーム補助金 令和5年4月9日 補助金 移住 住宅 https://www.town.iizuna.nagano.jp/docs/2662.html"
"飯綱町","28","飯綱町おかえりリフォーム補助金","https://www.town.iizuna.nagano.jp/docs/13726.html","飯綱町おかえりリフォーム補助金 飯綱町おかえりリフォーム補助金 令和5年4月9日 補助金 移住 住宅 https://www.town.iizuna.nagano.jp/docs/13726.html"
"飯綱町","28","飯綱町移住定住促進中古住宅等購入費補助金","https://www.town.iizuna.nagano.jp/docs/895.html","飯綱町移住定住促進中古住宅等購入費補助金 飯綱町移住定住促進中古住宅等購入費補助金 令和5年4月9日 補助金 移住 住宅 https://www.town.iizuna.nagano.jp/docs/895.html"
"飯綱町","28","飯綱町福祉施設等従事者移住支援金","https://www.town.iizuna.nagano.jp/docs/6976.html","飯綱町福祉施設等従事者移住支援金 飯綱町福祉施設等従事者移住支援金 令和5年4月9日 支援金 移住 福祉 https://www.town.iizuna.nagano.jp/docs/6976.html"
"信濃町","27","【お知らせ】家庭用生ごみ処理機器購入費補助金について","https://www.town.shinano.lg.jp/docs/14050293.html","【お知らせ】家庭用生ごみ処理機器購入費補助金について 【お知らせ】家庭用生ごみ処理機器購入費補助金について 補助金 https://www.town.shinano.lg.jp/docs/14050293.html"
"飯綱町","27","令和８年度まちづくり活動支援事業補助金を活用したイベント情報","https://www.town.iizuna.nagano.jp/docs/14147.html","令和８年度まちづくり活動支援事業補助金を活用したイベント情報 令和８年度まちづくり活動支援事業補助金を活用したイベント情報 令和5年4月9日 補助金 子育て https://www.town.iizuna.nagano.jp/docs/14147.html"
"飯綱町","18","学校教育・奨学金","https://www.town.iizuna.nagano.jp/kosodate/sodan/","学校教育・奨学金 学校教育・奨学金 奨学金 https://www.town.iizuna.nagano.jp/kosodate/sodan/"
"小川村","15","帯状疱疹ワクチン接種費用の一部を補助します","https://www.vill.ogawa.nagano.jp/docs/28816.html","帯状疱疹ワクチン接種費用の一部を補助します 帯状疱疹ワクチン接種費用の一部を補助します 令和6年4月1日 補助金 福祉 予防接種 https://www.vill.ogawa.nagano.jp/docs/28816.html"
"飯綱町","13","長野県への移住をお考えの方へ 長野県飯綱町移住定住支援サイト","https://www.town.iizuna.nagano.jp/ijuportal/","長野県への移住をお考えの方へ 長野県飯綱町移住定住支援サイト 補助金 移住 住宅 空き家 起業 農業 子育て https://www.town.iizuna.nagano.jp/ijuportal/"
