organization	score	title	url	evidence
松浦市	65	がん患者アピアランスケアを補助します	https://www.city-matsuura.jp/top/kenko_fukushi/8211.html	がん患者アピアランスケアを補助します／松浦市 本文へ移動 文字サイズ 背景色変更 子育て・教育 くらし・手続き 健康・福祉 観光・文化 産業・ビジネス 市政情報 PC版を表示 メニューを閉じる 現在の位置 ホーム くらし・手続きサイト 健康・福祉 がん患者アピアランスケアを補助します がん患者アピアランスケアを補助します がん治療による外見変貌を補完するため
松浦市	57	健康・福祉	https://www.city-matsuura.jp/top/kenko_fukushi/index.html	健康・福祉／松浦市 本文へ移動 文字サイズ 背景色変更 子育て・教育 くらし・手続き 健康・福祉 観光・文化 産業・ビジネス 市政情報 PC版を表示 メニューを閉じる 現在の位置 ホーム くらし・手続きサイト 健康・福祉 健康・福祉 新型コロナウイルス関連情報 医療・診療 検診・予防接種・健康づくり 社会福祉 保険・年金 高齢者のための福祉 障害がある方のた
松浦市	56	障害がある方のための福祉	https://www.city-matsuura.jp/top/kenko_fukushi/shogaigaarukatanotamenofukushi/index.html	障害がある方のための福祉／松浦市 本文へ移動 文字サイズ 背景色変更 子育て・教育 くらし・手続き 健康・福祉 観光・文化 産業・ビジネス 市政情報 PC版を表示 メニューを閉じる 現在の位置 ホーム くらし・手続きサイト 健康・福祉 障害がある方のための福祉 障害がある方のための福祉 自立支援医療(精神通院) 障害者手帳 身体障害者相談員・知的障害者相談員
松浦市	56	妊娠・出産	https://www.city-matsuura.jp/top/kosodate_kyoiku/ninshin_shussan/index.html	妊娠・出産／松浦市 本文へ移動 文字サイズ 背景色変更 子育て・教育 くらし・手続き 健康・福祉 観光・文化 産業・ビジネス 市政情報 PC版を表示 メニューを閉じる 現在の位置 ホーム くらし・手続きサイト 子育て・教育 妊娠・出産 妊娠・出産 助産施設の紹介 児童手当 子どもの病気やケガ等で困ったときは… ベビー用品レンタル【すくすく子育て応援事業】 戸
五島市	77	母子、父子、寡婦福祉	https://www.city.goto.nagasaki.jp/li/kurashi/070/060/index.html	母子、父子、寡婦福祉｜五島市 まるごとう メニューにジャンプ コンテンツにジャンプ 開く サイトマップ お問合せ・相談 Access 交通アクセス open --> まるごとうサーチ トップページ > くらしの情報 > 障がい・生活福祉 > 母子、父子、寡婦福祉 母子、父子、寡婦福祉 児童扶養手当 ひとり親家庭への医療費助成（福祉医療費支給制度） 8月は児童
五島市	71	国民健康保険の給付	https://www.city.goto.nagasaki.jp/li/kurashi/110/010/010/index.html	国民健康保険の給付｜五島市 まるごとう メニューにジャンプ コンテンツにジャンプ 開く サイトマップ お問合せ・相談 Access 交通アクセス open --> まるごとうサーチ トップページ > くらしの情報 > 保険・年金 > 国民健康保険 > 国民健康保険の給付 国民健康保険の給付 食事療養費 限度額適用（標準負担額減額）認定証 高額療養費 葬祭費の
五島市	69	後期高齢者医療制度	https://www.city.goto.nagasaki.jp/li/kurashi/110/020/index.html	後期高齢者医療制度｜五島市 まるごとう メニューにジャンプ コンテンツにジャンプ 開く サイトマップ お問合せ・相談 Access 交通アクセス open --> まるごとうサーチ トップページ > くらしの情報 > 保険・年金 > 後期高齢者医療制度 後期高齢者医療制度 後期高齢者医療制度 後期高齢者医療保険料のWEB口座振替受付サービス 後期高齢者医療制
五島市	69	生活にお困りの方への支援制度	https://www.city.goto.nagasaki.jp/li/kurashi/070/050/010/index.html	生活にお困りの方への支援制度｜五島市 まるごとう メニューにジャンプ コンテンツにジャンプ 開く サイトマップ お問合せ・相談 Access 交通アクセス open --> まるごとうサーチ トップページ > くらしの情報 > 障がい・生活福祉 > 生活にお困りの方へ > 生活にお困りの方への支援制度 生活にお困りの方への支援制度 生活支援相談窓口 住居確保
五島市	69	税金の控除、免除	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/020/index.html	税金の控除、免除｜五島市 まるごとう メニューにジャンプ コンテンツにジャンプ 開く サイトマップ お問合せ・相談 Access 交通アクセス open --> まるごとうサーチ トップページ > くらしの情報 > 障がい・生活福祉 > 障がい者への支援、助成 > 税金の控除、免除 税金の控除、免除 自動車税、軽自動車税、自動車税環境性能割の減免 相続税の控
五島市	69	年金と手当	https://www.city.goto.nagasaki.jp/li/kurashi/070/020/010/index.html	年金と手当｜五島市 まるごとう メニューにジャンプ コンテンツにジャンプ 開く サイトマップ お問合せ・相談 Access 交通アクセス open --> まるごとうサーチ トップページ > くらしの情報 > 障がい・生活福祉 > 障がい者への支援、助成 > 年金と手当 年金と手当 障害児福祉手当 特別障害者手当 特別児童扶養手当 重度心身障害児福祉手当 児
五島市	65	障がい・生活福祉	https://www.city.goto.nagasaki.jp/li/kurashi/030/030/index.html	障がい・生活福祉｜五島市 まるごとう メニューにジャンプ コンテンツにジャンプ 開く サイトマップ お問合せ・相談 Access 交通アクセス open --> まるごとうサーチ トップページ > くらしの情報 > 申請書ダウンロード > 障がい・生活福祉 障がい・生活福祉 自立支援医療（更生医療・育成医療・精神通院医療） 日常生活用具給付事業 障害者手帳
