organization	title	url	status	score	evidence
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/list00615.html	200	26	保育所・こども園・幼稚園・一時預かり・病児保育 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0038238/index.html	200	26	奨学金返還支援金 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出産 乳幼児（
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0032554/index.html	200	26	ひとり親家庭 高等職業訓練促進給付金及び修了支援給付金 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざという
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0038059/index.html	200	26	令和7年度雲仙市物価高対応子育て応援手当 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0035884/index.html	200	26	妊婦のための支援事業・妊婦等包括相談支援事業 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0032553/index.html	200	26	母子家庭等自立支援教育訓練給付金 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji003404/index.html	200	26	出産育児一時金 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 新型コロナ情報 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出産 乳幼児（0
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0035007/index.html	200	26	結婚・定住支援金（赤ちゃん支援金） / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 新型コロナ情報 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0034597/index.html	200	26	乳幼児健康診査、親子歯科健診、フッ化物塗布 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て
雲仙市		https://www.city.unzen.nagasaki.jp/kosodate/kiji0036694/index.html	200	26	児童手当 / 雲仙市子育て応援サイト / 雲仙市 ヘッダーをスキップ 本文へジャンプ --> 文字サイズ・背景色 Foreign Language English 中文(简化字) 中文(繁體字) 한국어 ភាសាខ្មែរ tiếng Việt メインサイトへ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 メインサイトへ 防災 移住・定住・婚活支援 子育て応援 観光ナビ 休日当番歯科医 休日当番医 マイページ 年齢・対象別で探す 目的別で探す いざというとき 子育て相談 妊娠・出産 乳幼児（0～6歳
