slug	organization	title	maxAmount	url	evidence
nagasaki-official-004-001-2026	東彼杵町	東彼杵町 住民税非課税世帯等に対する物価高騰給付金	公式ページ記載の給付額・支援額に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/zeikin/3149.html	住民税非課税世帯等に対する物価高騰給付金（申請は終了しました） 住民税非課税世帯等に対する物価高騰給付金（申請は終了しました）／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード
nagasaki-official-004-002-2026	東彼杵町	東彼杵町 定額減税補足給付金（不足額給付）	公式ページ記載の給付額・支援額に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/zeikin/3329.html	定額減税補足給付金（不足額給付）について（申請は終了しました） 定額減税補足給付金（不足額給付）について（申請は終了しました）／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード
nagasaki-official-004-003-2026	東彼杵町	東彼杵町 浄化槽設置整備事業補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/gomi_jokaso/409.html	浄化槽設置整備事業補助金 浄化槽設置整備事業補助金／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よくあるご質問 観光に関するよくある質問 認定
nagasaki-official-004-004-2026	東彼杵町	東彼杵町 浄化槽維持管理費補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/gomi_jokaso/410.html	浄化槽維持管理費補助金 浄化槽維持管理費補助金／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よくあるご質問 観光に関するよくある質問 認定こど
nagasaki-official-004-005-2026	東彼杵町	東彼杵町 空き家を借りたい・貸したい	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/sumai_suido/429.html	空き家を借りたい・貸したい 空き家を借りたい・貸したい／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よくあるご質問 観光に関するよくある質問
nagasaki-official-004-006-2026	東彼杵町	東彼杵町 持ち家奨励金	公式ページ記載の給付額・支援額に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/sumai_suido/499.html	持ち家奨励金 持ち家奨励金／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よくあるご質問 観光に関するよくある質問 認定こども園等に関するよくあ
nagasaki-official-004-007-2026	東彼杵町	東彼杵町 結婚新生活支援事業費補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/sumai_suido/517.html	東彼杵町は新婚生活を応援します！（結婚新生活支援事業費補助金） 東彼杵町は新婚生活を応援します！（結婚新生活支援事業費補助金）／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード
nagasaki-official-004-008-2026	東彼杵町	東彼杵町 太陽光発電設備導入費用補助	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/sumai_suido/529.html	太陽光発電設備導入費用の一部を補助します 太陽光発電設備導入費用の一部を補助します／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よくあるご質問
nagasaki-official-004-009-2026	東彼杵町	東彼杵町 特殊詐欺対策電話機等設置補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/bosai/2511.html	特殊詐欺対策電話機等設置補助金 特殊詐欺対策電話機等設置補助金／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よくあるご質問 観光に関するよくあ
nagasaki-official-004-010-2026	東彼杵町	東彼杵町 タクシー料金の一部助成	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/kotsu/985.html	タクシー料金の一部助成 タクシー料金の一部助成／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よくあるご質問 観光に関するよくある質問 認定こど
nagasaki-official-004-011-2026	東彼杵町	東彼杵町 障がい者タクシー利用助成	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.higashisonogi.lg.jp/kurashi_tetsuzuki/kotsu/3701.html	障がいがある方にタクシー利用の助成を行っています 障がいがある方にタクシー利用の助成を行っています／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問
nagasaki-official-004-012-2026	東彼杵町	東彼杵町 不妊治療費（先進医療費分）助成	医療費の自己負担分等を助成	https://www.town.higashisonogi.lg.jp/kosodate_kyoiku/ninshin_shussan_kenshin/448.html	不妊治療費（先進医療費分）の助成を開始しました 不妊治療費（先進医療費分）の助成を開始しました／東彼杵町 スマートフォン版を表示 本文へ 背景色変更 文字サイズ Foreign Language 目的別で探す 妊娠・出産 子育て 入園・入学 就職・退職 結婚・離婚 引っ越し・ 住まい 高齢・介護 おくやみ よく利用されるメニュー 町営バス・デマンド交通 電子申請サービス 手続き検索ナビ 申請書ダウンロード ごみ出し検索 よくある質問 よ
