prefix	prefecture	adoptedFiles	adopted	candidateFiles	selectionFiles	urlStatusFiles
ehime	愛媛県	5	309	10	5	5
fukuoka	福岡県	12	1018	20	12	12
fukushima	福島県	7	216	15	7	0
fukushima-second-pass-001-adopted.json		1	8	0	0	0
fukushima-second-pass-002-adopted.json		1	29	0	0	0
fukushima-second-pass-003-adopted.json		1	14	0	0	0
fukushima-second-pass-004-adopted.json		1	23	0	0	0
fukushima-second-pass-005-adopted.json		1	19	0	0	0
fukushima-second-pass-006-adopted.json		1	18	0	0	0
fukushima-second-pass-007-adopted.json		1	10	0	0	0
fukushima-second-pass-008-adopted.json		1	12	0	0	0
fukushima-second-pass-009-adopted.json		1	3	0	0	0
fukushima-second-pass-010-adopted.json		1	12	0	0	0
fukushima-second-pass-011-adopted.json		1	3	0	0	0
fukushima-second-pass-012-adopted.json		1	1	0	0	0
fukushima-second-pass-013-adopted.json		1	3	0	0	0
fukushima-second-pass-014-adopted.json		1	6	0	0	0
fukushima-second-pass-015-adopted.json		1	1	0	0	0
hiroshima	広島県	5	425	5	5	5
kagawa	香川県	4	311	8	4	4
kagoshima	鹿児島県	9	761	9	18	9
kochi	高知県	7	457	14	7	7
kumamoto	熊本県	9	600	12	9	9
miyazaki	宮崎県	6	401	6	6	6
nagasaki	長崎県	5	346	9	5	2
oita	大分県	5	336	5	5	5
okayama	岡山県	6	551	7	5	6
okinawa	沖縄県	9	461	9	9	9
saga	佐賀県	4	364	4	4	4
shimane	島根県	3	241	14	4	4
tokushima	徳島県	5	395	10	5	5
yamaguchi	山口県	4	267	7	4	4
aichi	愛知県	0	0	11	0	11
gifu	岐阜県	0	0	8	5	8
gifu-shizuoka		0	0	1	0	1
hyogo-nara		0	0	1	2	1
hyogo	兵庫県	0	0	8	12	8
kyoto	京都府	0	0	6	6	6
mie	三重県	0	0	7	7	6
nagano	長野県	0	0	15	0	13
nara	奈良県	0	0	7	14	7
osaka	大阪府	0	0	9	9	9
shiga	滋賀県	0	0	4	4	4
shizuoka	静岡県	0	0	7	0	7
tottori	鳥取県	0	0	18	12	4
wakayama	和歌山県	0	0	6	13	6
akita	秋田県	0	0	7	0	0
aomori	青森県	0	0	11	0	0
aomori-prefecture-final		0	0	1	0	0
chiba	千葉県	0	0	14	28	0
fukui	福井県	0	0	19	0	0
gunma	群馬県	0	0	9	13	0
hokkaido	北海道	0	0	23	0	0
ibaraki	茨城県	0	0	12	0	0
ishikawa	石川県	0	0	23	0	0
iwate	岩手県	0	0	4	0	0
kanagawa	神奈川県	0	0	41	0	0
miyagi	宮城県	0	0	9	0	0
niigata	新潟県	0	0	29	0	0
saitama	埼玉県	0	0	16	32	0
tochigi	栃木県	0	0	7	0	0
tokyo	東京都	0	0	67	16	0
toyama	富山県	0	0	18	0	0
yamagata	山形県	0	0	9	0	0
yamanashi-nagano		0	0	1	0	0
yamanashi	山梨県	0	0	5	0	0
