rescore	score	organization	title	url	evidence
81	30	杵築市	国民健康保険一部負担金減免及び徴収猶予	https://www.city.kitsuki.lg.jp/shinseisho/hoken_nenkin/3983.html	国民健康保険一部負担金減免及び徴収猶予／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す 保険・年金関連 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム 申請書ダウンロード 保険・年金関連 国民健康保険一部負担金減免及び徴収猶予 国民健康保険一部負担
81	30	杵築市	文化施設の観覧料減免申請	https://www.city.kitsuki.lg.jp/shinseisho/kokyoshisetsu/4000.html	文化施設の観覧料減免申請／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す 公共施設関連 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム 申請書ダウンロード 公共施設関連 文化施設の観覧料減免申請 文化施設の観覧料減免申請 Tweet 更新日：202
77	30	杵築市	国民健康保険一部負担金減免及び徴収猶予	https://www.city.kitsuki.lg.jp/kurashi/hoken_nenkin/3/2505.html	国民健康保険一部負担金減免及び徴収猶予／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す 国民健康保険 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム くらしの情報 保険・年金 国民健康保険 国民健康保険一部負担金減免及び徴収猶予 国民健康保険一部負
77	30	杵築市	軽自動車税（種別割）の減免制度	https://www.city.kitsuki.lg.jp/kurashi/kojin_zeikin/2/9508.html	軽自動車税（種別割）の減免制度／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す 軽自動車税 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム くらしの情報 個人の税金 軽自動車税 軽自動車税（種別割）の減免制度 軽自動車税（種別割）の減免制度 Twe
75	24	杵築市	市税の減免など	https://www.city.kitsuki.lg.jp/kurashi/kojin_zeikin/1/2385.html	市税の減免など／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す 各種税金・納税方法 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム くらしの情報 個人の税金 各種税金・納税方法 市税の減免など 市税の減免など Tweet 更新日：2018年08月0
75	24	杵築市	市税の減免など	https://www.city.kitsuki.lg.jp/sangyobijinesu/houjin_zeikin/hoka/3783.html	市税の減免など／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す その他の税金 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム 産業・ビジネス 法人の税金 その他の税金 市税の減免など 市税の減免など Tweet 更新日：2018年08月01日 納税
73	22	杵築市	NHK受信料減免（オンライン申請について）	https://www.city.kitsuki.lg.jp/kenkofukushi/shougaifukushi/2540.html	NHK受信料減免（オンライン申請について）／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す 障がい福祉 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム 健康・福祉 障がい福祉 NHK受信料減免（オンライン申請について） NHK受信料減免（オンライン
72	25	杵築市	自主防災組織設立・変更届出、自主防災組織活性化補助金について	https://www.city.kitsuki.lg.jp/kurashi/bousai_bouhan_anzen/1/2518.html	自主防災組織設立・変更届出、自主防災組織活性化補助金について／杵築市 スマートフォン版を表示 本文へ Foreign language 携帯サイト 文字サイズ 背景色 PCサイト Foreign language キーワードで探す トップページへ くらしの情報 健康・福祉 教育・子育て 観光・歴史 産業・ビジネス 市政・まちづくり 定住促進サイト ブランドサイト メニューを閉じる くらしの情報 健康･福祉 教育･子育て 観光･歴史 産業･ビジネス 市政･まちづくり キーワードで探す 防災情報 こんなときには 転入・転出 妊娠・出産・子育て 入園・入学 就職・退職 結婚・離婚 高齢者・介護 終活・死亡・相続 税金 現在の位置 ホーム くらしの情報 防災・防犯・安全 防災情報 自主防災組織設立・変更届出、自主防災組
69	42	豊後高田市	手当・助成	https://www.city.bungotakada.oita.jp/site/kosodate-kyoiku/list12-37.html	手当・助成 - ぶんごたかだの子育てサイト - 豊後高田市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 本文へ 文字サイズ・色合い変更 文字サイズ 標準 拡大 背景色変更 白 黒 青 translate サイト内 検索 Googleカスタム検索 詳しく さがす ID検索(ページの番号を入れてください) 注目ワード オンライン手続き 子育て支援 休日当番医情報 現在地 トップページ > ぶんごたかだの子育てサイト > 目的別 > 手当・助成 本文 手当・助成 2026年6月17日更新 特別児童扶養手当 2026年6月17日更新 障害児福祉手当 2026年5月11日更新 不妊治療費の助成について 2026年4月16日更新 妊婦健康診査・乳児健康診査等受診票について 2026年4月1日更
69	37	杵築市	移住・定住に関する補助金（人生まるごと応援プラン）	https://www.city.kitsuki.lg.jp/teijuusokushin/iju_topics/12351.html	移住・定住に関する補助金（人生まるごと応援プラン）／杵築市 本文へ移動 Foreign Language 文字サイズ 背景色変更 杵築市サイトへ きつきで暮らす きつきで働く きつきで子育て 空家バンク Q&A Foreign Language きつきで子育て きつきで働く きつきで暮らす 空家バンク Q&A 空き家バンク 先輩移住者の声 メニューを閉じる 現在のページ ホーム 定住促進サイト 移住トピックス 移住・定住に関する補助金（人生まるごと応援プラン） 移住・定住に関する補助金（人生まるごと応援プラン） Tweet 更新日：2026年04月01日 住宅に関する補助金 結婚新生活支援事業補助金 移住促進マイカー取得補助金 「このまちに生まれてよかった」 「このまちに住み続けたい」 「このまちに住んでみたい
