slug	organization	title	maxAmount	url	evidence
oita-official-003-001-2026	宇佐市	宇佐市 令和8年度宇佐市浄化槽設置整備事業補助金の二次募集を行います	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.usa.oita.jp/sougo/soshiki/14/jogesuido/3/1_1/23345.html	令和8年度宇佐市浄化槽設置整備事業補助金の二次募集を行います 令和8年度宇佐市浄化槽設置整備事業補助金の二次募集を行います 更新日：2026年06月25日 募集概要 申込期限：令和9年1月29日（金曜日）17時まで 受付場所：宇佐市役所 上下水道課 募集基数：40基程度（予算上限に達し次第受付終了） ※受付後、決定通知が出る前の工事の着工は絶対にしないでください。 二次募集に関する留意事項 先着順での受付になります。 申請書類を揃えてご
oita-official-003-002-2026	宇佐市	宇佐市 就学援助制度	年額）品目小学校中学校学用品費1年13,230円	https://www.city.usa.oita.jp/sougo/kosodate_kyoiku/4/10990.html	就学援助制度 就学援助制度 更新日：2023年06月01日 就学援助とは、経済的な理由により、小・中学校に通う子どもの就学に困っている家庭に対して、学用品費などの就学上必要な経費の一部を援助する制度です。 援助の対象 援助の対象となるのは、市内に住所を有し、小・中学校に在籍する児童・生徒の保護者で、次のような理由により市教育委員会が認定した方です。 認定基準 生活保護の停止または廃止になったが、なお生活に困っている世帯 市民税が非課税の
oita-official-003-003-2026	宇佐市	宇佐市 宇佐市自主防災組織活性化事業補助金	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.usa.oita.jp/sougo/2_1/6/23124.html	宇佐市自主防災組織活性化事業補助金 宇佐市自主防災組織活性化事業補助金 更新日：2025年07月16日 市民の自主的な防災活動の促進を図るため、地域における防災力の向上を目的とする自主防災組織（自治区等）が行う防災活動に対して支援します。 補助対象事業 補助対象となる事業は次のとおりとします。 （1）防災資機材等整備事業 自主防災組織が行う防災上有効であると認める資機材等の整備に係る経費 ※事業実施にあたり、自治区で訓練を実施していただ
oita-official-003-004-2026	宇佐市	宇佐市 児童手当について	限度額、所得上限限度額が設定所得制限なし手当月額・3歳未満一律：15,000円	https://www.city.usa.oita.jp/usacoco/kosodate/12/teate/15185.html	児童手当について 児童手当について 更新日：2025年01月28日 児童手当の支給対象が18歳まで拡大されました。 新たに申請が必要な方（高校生年代の児童を養育されている方、所得制限により児童手当の支給が停止されている方等）は、 令和7年3月31日（月曜日）(必着） までに申請してください。令和7年3月31日（月曜日）を過ぎてしまった場合、申請日の翌月からの支給となりますので、ご注意ください。 なお、申請が必要かどうかご不明な場合は、担
oita-official-003-005-2026	宇佐市	宇佐市 ごみ集積ボックス施設設置費補助金制度について	補助金額設置費の2分の1（100円	https://www.city.usa.oita.jp/sougo/3/19815.html	ごみ集積ボックス施設設置費補助金制度について ごみ集積ボックス施設設置費補助金制度について 更新日：2023年09月22日 地区で利用するごみ集積ボックスを購入・設置する際に、設置費を補助します。 古くなったボックスを新しいものに取り換える場合も補助金を利用できます。 注意：必ず 購入・設置の前に 生活環境課までご相談ください。 対象 市内の業者から購入・設置するもの 補助金額 設置費の2分の1（100円未満切り捨て）、上限4万円 申請
oita-official-003-006-2026	宇佐市	宇佐市 中小企業振興資金融資のお知らせ	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.usa.oita.jp/sougo/3/19227.html	中小企業振興資金融資のお知らせ 中小企業振興資金融資のお知らせ 更新日：2025年03月04日 宇佐市中小企業振興資金融資の信用保証料を補助します 市内の金融機関で宇佐市中小企業振興資金融資による融資を受け、大分県信用保証協会の保証をつけた場合、信用保証料の2分の1を補助します。 また、セーフティネット保証の認定を受けた場合、信用保証料の全額を補助します。 融資内容 (1)運転資金 500万円（償還期間5年以内） (2)設備資金 1,0
oita-official-003-007-2026	宇佐市	宇佐市 宇佐市下水道接続促進補助金	上限額戸建住宅集合住宅（アパート、マンション等）浄化槽の場合合併浄化槽60,000円	https://www.city.usa.oita.jp/sougo/3/19021.html	宇佐市下水道接続促進補助金 宇佐市下水道接続促進補助金 更新日：2024年04月07日 新たに公共下水道が整備された区域内にある既存の住宅（新築および建替え工事、事業用のものを除く）のくみ取便所や浄化槽を廃止して、公共下水道に接続する「排水設備工事」を完了された方に補助金を交付します。 事業の目的 市の下水道へ接続する工事を行う方に対し、その工事費の一部を補助金として交付することにより、快適な生活環境の確保並びに公共用水域の水質汚濁防止
oita-official-003-008-2026	宇佐市	宇佐市 令和8年度【補助金】地域に伝わる伝統文化などの継承活動を行う団体を応援します	限度額補助対象事業一覧対象事業補助限度額補助率内容（1）郷土芸能の継承活動30万円	https://www.city.usa.oita.jp/sougo/3/11998.html	令和8年度【補助金】地域に伝わる伝統文化などの継承活動を行う団体を応援します 令和8年度【補助金】地域に伝わる伝統文化などの継承活動を行う団体を応援します 更新日：2026年03月26日 令和8年度宇佐市未来につなぐ地域文化継承活動補助金事業を募集します！ この事業は、地域文化の振興および地域の活性化と次世代を担う子ども達の人材育成を図るため、地域に伝わる伝統文化などの継承活動を行う団体に対して、宇佐市未来につなぐ地域文化継承活動補助金
oita-official-003-009-2026	宇佐市	宇佐市 宇佐市芸術文化全国大会等出場補助金について	補助金額表区分小、中学生高校生、一般個人団体個人団体10人未満10人以上10人未満10人以上大分県1,500円	https://www.city.usa.oita.jp/sougo/3/12003.html	宇佐市芸術文化全国大会等出場補助金について 宇佐市芸術文化全国大会等出場補助金について 更新日：2025年03月24日 市では九州大会以上の芸術文化大会またはコンクール等に出場する団体や個人を支援するため、補助金を支給します。 1．補助の対象者 次の項目に該当しているかをご確認ください。 ・国、都道府県若しくは都道府県規模以上の芸術文化団体の推薦等または都道府県大会規模以上の大会等の予選会（書類審査のみの予選会を除く。）により、補助対象
oita-official-003-010-2026	宇佐市	宇佐市 電気式生ごみ処理機購入に対する補助金について	補助金額購入価格の2分の1（100円	https://www.city.usa.oita.jp/sougo/3/16993.html	電気式生ごみ処理機購入に対する補助金について 電気式生ごみ処理機購入に対する補助金について 更新日：2026年03月31日 電気式生ごみ処理機を購入し設置する方に対して購入費を補助します。 対象 市内に居住する方 市内の販売店にて購入するもの 補助金額 購入価格の2分の1（100円未満切り捨て）、上限3万円。 申請手順 市内の店舗にて購入商品を決め、見積書及びカタログ（コピー可）をもらう。 申請書、見積書及びカタログ（コピー可）を生活環
oita-official-003-011-2026	豊後大野市	豊後大野市 【※令和８年6月30日（火曜日）申請締切※】中小企業者生産性向上設備等導入補助金の募集について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.bungo-ohno.jp/article/2026020500038/	コミュニティバス 施設情報 エイトピアおおの 朝倉文夫記念館 豊後大野市資料館 神楽会館 豊後大野市図書館 豊後大野市公民館 リバーパーク犬飼 サイクルパークおおの サイトポリシー リンク・著作権・免責事項 個人情報の取り扱い ご意見・お問合せはこちら 豊後大野市 法人番号 4000020442127 〒879-7198 大分県豊後大野市三重町市場1200番地 電話番号：0974-22-1001 FAX番号：0974-22-3361 開
oita-official-003-012-2026	豊後大野市	豊後大野市 環境保全活動に対し補助金を交付します！― 祖母・傾・大崩ユネスコエコパーク活動支援事業費補助金 ―	公式ページ記載の補助率・上限額または支援内容に従う	https://www.bungo-ohno.jp/article/2026062200026/	コミュニティバス 施設情報 エイトピアおおの 朝倉文夫記念館 豊後大野市資料館 神楽会館 豊後大野市図書館 豊後大野市公民館 リバーパーク犬飼 サイクルパークおおの サイトポリシー リンク・著作権・免責事項 個人情報の取り扱い ご意見・お問合せはこちら 豊後大野市 法人番号 4000020442127 〒879-7198 大分県豊後大野市三重町市場1200番地 電話番号：0974-22-1001 FAX番号：0974-22-3361 開
oita-official-003-013-2026	国東市	国東市 【7月31日まで必着】国東市中小企業・小規模事業者エネルギー料金高騰対策助成金のご案内	20万円助成	https://www.city.kunisaki.oita.jp/site/shinko/enerugi2026.html	【7月31日まで必着】国東市中小企業・小規模事業者エネルギー料金高騰対策助成金のご案内 企業・雇用・分譲 本文 【7月31日まで必着】国東市中小企業・小規模事業者エネルギー料金高騰対策助成金のご案内 ページID：0043880 印刷ページ表示 更新日：2026年6月12日更新 国東市では、石油価格及び物価高騰により事業活動に影響を受けている市内中小企業等に対し、事業継続に取り組む事業者を支援するため、令和7年7月から12月分までのエネル
