code	organization	slug	title	category	status	officialUrl	snippet
33100	岡山市	okayama-official-001-001-2026	岡山市 岡山市移住支援補助金	housing	200	https://www.city.okayama.jp/kurashi/0000080956.html	【補助金】岡山市に移住する際はぜひ補助金をご活用ください | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム
33100	岡山市	okayama-official-001-002-2026	岡山市 令和7年度岡山市物価高騰対応定額給付金	living	200	https://www.city.okayama.jp/kurashi/0000077415.html	令和7年度岡山市物価高騰対応定額給付金について ※受付終了しました | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検
33100	岡山市	okayama-official-001-003-2026	岡山市 令和7年度物価高対応子育て応援手当	childcare	200	https://www.city.okayama.jp/kurashi/0000077146.html	令和7年度 物価高対応子育て応援手当について ※受付終了しました | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索
33100	岡山市	okayama-official-001-004-2026	岡山市 児童手当	childcare	200	https://www.city.okayama.jp/kurashi/0000011381.html	児童手当の給付について | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム くらしの情報 観光 イベント 事
33100	岡山市	okayama-official-001-005-2026	岡山市 児童扶養手当	childcare	200	https://www.city.okayama.jp/kurashi/0000011272.html	児童扶養手当について | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム くらしの情報 観光 イベント 事業
33100	岡山市	okayama-official-001-006-2026	岡山市 子ども医療費助成制度	medical	200	https://www.city.okayama.jp/kurashi/0000004319.html	医療費助成／子ども医療費助成制度 | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム くらしの情報 観光 イ
33100	岡山市	okayama-official-001-007-2026	岡山市 ひとり親家庭等医療費助成制度	medical	200	https://www.city.okayama.jp/kurashi/0000004310.html	医療費助成／ひとり親家庭等医療費助成制度 | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム くらしの情報
33100	岡山市	okayama-official-001-008-2026	岡山市 不妊治療費助成事業	medical	200	https://www.city.okayama.jp/kurashi/0000072220.html	不妊治療費助成事業について | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム くらしの情報 観光 イベント
33100	岡山市	okayama-official-001-009-2026	岡山市 不育症治療費助成事業	medical	200	https://www.city.okayama.jp/kurashi/0000023658.html	不育症治療費助成事業について | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム くらしの情報 観光 イベン
33100	岡山市	okayama-official-001-010-2026	岡山市 小児医療助成制度	medical	200	https://www.city.okayama.jp/kurashi/0000067843.html	小児医療助成制度（小児慢性・養育・育成）について | 岡山市 共通メニューなどをスキップして本文へ 文字サイズ 標準 拡大 音声読み上げ・ふりがな Languages English 中文简体 中文繁體 한국어 Português Español Français Italiano Deutsch Việt Nam Bahasa Indonesia Tagalog ไทย नेपाली 日本語 /IF_TRANS_HIDE:ja--> 検索 記事ID検索 半角数字10桁以内で入力してください。 検索 ホーム くらし
