slug	organization	title	maxAmount	url	evidence
okayama-official-004-001-2026	和気町	和気町 乳幼児及び児童・生徒等医療費助成	医療費の自己負担分等を助成	https://www.town.wake.lg.jp/iryo_kenko_fukushi/iryo_kenko/iryojosei/1217.html	乳幼児及び児童・生徒等医療費助成／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索 ペー
okayama-official-004-002-2026	和気町	和気町 ひとり親家庭等医療費助成	医療費の自己負担分等を助成	https://www.town.wake.lg.jp/iryo_kenko_fukushi/iryo_kenko/iryojosei/1218.html	ひとり親家庭等医療費助成／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索 ページID検
okayama-official-004-003-2026	和気町	和気町 がんに関する支援事業(アピアランスケア)	上限)補整具等補整パッド補整下着専用入浴着弾性着衣(ストッキングスリーブグローブ)エピテーゼ(補整用人工物)合計費用の2分の1(1万円	https://www.town.wake.lg.jp/iryo_kenko_fukushi/iryo_kenko/iryojosei/2580.html	がんに関する支援事業(アピアランスケア)／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検
okayama-official-004-004-2026	和気町	和気町 児童手当の制度改正について	月額児童の年齢一人あたりの手当月額⇒児童の年齢一人あたりの手当月額第1・2子第3子以降第1・2子第3子以降3歳未満一律15,000円	https://www.town.wake.lg.jp/kosodate_kyoiku/teate_josei/2133.html	児童手当の制度改正について／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索 ページID
okayama-official-004-005-2026	和気町	和気町 和気町妊婦のための支援給付金	支給額妊娠届出後、妊婦1人あたり5万円	https://www.town.wake.lg.jp/kosodate_kyoiku/teate_josei/1397.html	和気町妊婦のための支援給付金／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索 ページI
okayama-official-004-006-2026	和気町	和気町 奨学資金貸付	公式ページ記載の貸付額・貸付条件に従う	https://www.town.wake.lg.jp/kosodate_kyoiku/teate_josei/1949.html	奨学資金貸付／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索 ページID検索 くらし・
okayama-official-004-007-2026	和気町	和気町 入学一時金貸付	公式ページ記載の貸付額・貸付条件に従う	https://www.town.wake.lg.jp/kosodate_kyoiku/teate_josei/1948.html	入学一時金貸付／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索 ページID検索 くらし
okayama-official-004-008-2026	和気町	和気町 不妊治療支援事業	年額20万円	https://www.town.wake.lg.jp/kosodate_kyoiku/teate_josei/2869.html	不妊治療支援事業／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索 ページID検索 くら
okayama-official-004-009-2026	和気町	和気町 和気町家庭のスマートエネルギー化促進補助金	上限額種別補助対象機器補助率・補助上限額省エネルギー化設備ZEH一律45万円	https://www.town.wake.lg.jp/kurashi/sumai/hojokin_joseikin/1169.html	和気町家庭のスマートエネルギー化促進補助金について／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キー
okayama-official-004-010-2026	和気町	和気町 和気町スズメバチ等駆除費補助金	補助金額駆除に要した経費の1/2の額上限10,000円	https://www.town.wake.lg.jp/kurashi/sumai/hojokin_joseikin/2784.html	和気町スズメバチ等駆除費補助金について／和気町ホームページ スマートフォン版を表示 本文へ 閲覧支援 文字サイズ変更 背景色変更 読み上げ ひらがなをつける ひらがなをけす 閉じる Foreign Language English 繁體中文 简体中文 한국어 Tiếng Việt GO 読み上げ画面を閉じる 目的別メニュー くらし・手続き 医療・健康・福祉 子育て・教育 観光・ 文化・ スポーツ しごと・産業 行政情報 キーワードで検索
okayama-official-004-011-2026	早島町	早島町 各種手当や医療費助成について	医療費の自己負担分等を助成	https://www.town.hayashima.lg.jp/soshiki/kodomo/gyomu/shi-nbetsu/1178.html	各種手当や医療費助成について／早島町ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色 Select Language English 繁體中文 &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; 翻訳 くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化 スポーツ しごと・産業 行政情報 よくある質問 くらし・手続き 子育て・教育 医療・健康・福祉 観
okayama-official-004-012-2026	早島町	早島町 妊婦のための支援給付	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.hayashima.lg.jp/soshiki/kodomo/gyomu/ninshin_shussan/tetsuzuki_ninshin/4965.html	妊婦のための支援給付／早島町ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色 Select Language English 繁體中文 &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; 翻訳 くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化 スポーツ しごと・産業 行政情報 よくある質問 くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化
okayama-official-004-013-2026	早島町	早島町 高齢者・障がいをお持ちの方へ 福祉サービスのご案内	月額8,000円	https://www.town.hayashima.lg.jp/soshiki/kenkofukushi/gyomu/kourei_fukushi_kaigo/1927.html	高齢者・障がいをお持ちの方へ 福祉サービスのご案内／早島町ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色 Select Language English 繁體中文 &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; 翻訳 くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化 スポーツ しごと・産業 行政情報 よくある質問 くらし・手続き 子育て・教育
okayama-official-004-014-2026	早島町	早島町 早島町高齢者補聴器購入費助成事業	上限50,000円	https://www.town.hayashima.lg.jp/soshiki/kenkofukushi/gyomu/kourei_fukushi_kaigo/4984.html	早島町高齢者補聴器購入費助成事業／早島町ホームページ スマートフォン版を表示 本文へ 文字サイズ 背景色 Select Language English 繁體中文 &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; 翻訳 くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化 スポーツ しごと・産業 行政情報 よくある質問 くらし・手続き 子育て・教育 医療・健康・福祉
