score	organization	title	url	evidence
30	沖縄県	【東京圏から移住をお考えの皆様へ】移住支援金制度のご案内！	https://www.pref.okinawa.lg.jp/kurashikankyo/iju/1023708.html	【東京圏から移住をお考えの皆様へ】移住支援金制度のご案内！｜沖縄県公式ホームページ エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 観光 移住 防災ポータル 文字サイズ・配色の変更 Select Language English 中文（简体字） 中文（繁體字） 한국어 Español Return to Japanese サイト内検索 ページ番号検索 サイト内検索 ページ番号検索 情報をさがす 手続き検索 助成金・補助金 公募・入札発注情報 イベント 組織案内 医療機関検索 地図情報システム 沖縄の統計 沖縄県法規集 職員採用・人材募集 閉じる くらし・環境 くらし・環境 トップ 閉じる 移住・定住 パスポート 税金 ふるさと納税 消費生活 食と安全 ごみ・リサイクル ペット・有害生物
30	沖縄県	移住支援金対象法人の登録	https://www.pref.okinawa.lg.jp/kurashikankyo/iju/1023707.html	移住支援金対象法人の登録｜沖縄県公式ホームページ エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 観光 移住 防災ポータル 文字サイズ・配色の変更 Select Language English 中文（简体字） 中文（繁體字） 한국어 Español Return to Japanese サイト内検索 ページ番号検索 サイト内検索 ページ番号検索 情報をさがす 手続き検索 助成金・補助金 公募・入札発注情報 イベント 組織案内 医療機関検索 地図情報システム 沖縄の統計 沖縄県法規集 職員採用・人材募集 閉じる くらし・環境 くらし・環境 トップ 閉じる 移住・定住 パスポート 税金 ふるさと納税 消費生活 食と安全 ごみ・リサイクル ペット・有害生物 環境保全 自然・生物 県民活動 男
23	沖縄県	公募・補助金等（医療）	https://www.pref.okinawa.lg.jp/iryokenko/iryo/1005869/index.html	公募・補助金等（医療）｜沖縄県公式ホームページ エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 観光 移住 防災ポータル 文字サイズ・配色の変更 Select Language English 中文（简体字） 中文（繁體字） 한국어 Español Return to Japanese サイト内検索 ページ番号検索 サイト内検索 ページ番号検索 情報をさがす 手続き検索 助成金・補助金 公募・入札発注情報 イベント 組織案内 医療機関検索 地図情報システム 沖縄の統計 沖縄県法規集 職員採用・人材募集 閉じる くらし・環境 くらし・環境 トップ 閉じる 移住・定住 パスポート 税金 ふるさと納税 消費生活 食と安全 ごみ・リサイクル ペット・有害生物 環境保全 自然・生物 県民活動 男女
30	宜野湾市	【申請期限延長】じのーんくらし応援給付金のお知らせ（物価高騰対応重点支援地方創生臨時交付金）	https://www.city.ginowan.lg.jp/soshiki/keizai/3/19652.html	【申請期限延長】じのーんくらし応援給付金のお知らせ（物価高騰対応重点支援地方創生臨時交付金）／宜野湾市 本文へ移動 文字サイズ 背景色 閲覧支援ツール Select Language 組織から探す くらし・手続き よく見られているページ 健康・医療・福祉 よく見られているページ 子育て・教育 よく見られているページ 観光・文化・スポーツ よく見られているページ 事業者向け情報 よく見られているページ 市政情報 よく見られているページ --> --> 組織からさがす アクセス・庁舎案内 よくある質問 お問い合わせ キーワード検索 Search by Keyword ライフシーンから探す Search by Life Scene 手続き・届出 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 就職・退職 高
30	宜野湾市	宜野湾市 小・中学校の就学援助制度について	https://www.city.ginowan.lg.jp/kosodate_kyoiku/12676.html	宜野湾市 小・中学校の就学援助制度について／宜野湾市 本文へ移動 文字サイズ 背景色 閲覧支援ツール Select Language 組織から探す くらし・手続き よく見られているページ 健康・医療・福祉 よく見られているページ 子育て・教育 よく見られているページ 観光・文化・スポーツ よく見られているページ 事業者向け情報 よく見られているページ 市政情報 よく見られているページ --> --> 組織からさがす アクセス・庁舎案内 よくある質問 お問い合わせ キーワード検索 Search by Keyword ライフシーンから探す Search by Life Scene 手続き・届出 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 就職・退職 高齢・介護 ご不幸 くらし・手続き 健康・医療・福祉
30	宜野湾市	ふるさと融資(宜野湾市地域総合整備資金貸付)について	https://www.city.ginowan.lg.jp/jigyosha/sangyoshinko/2/4071.html	ふるさと融資(宜野湾市地域総合整備資金貸付)について／宜野湾市 本文へ移動 文字サイズ 背景色 閲覧支援ツール Select Language 組織から探す くらし・手続き よく見られているページ 健康・医療・福祉 よく見られているページ 子育て・教育 よく見られているページ 観光・文化・スポーツ よく見られているページ 事業者向け情報 よく見られているページ 市政情報 よく見られているページ --> --> 組織からさがす アクセス・庁舎案内 よくある質問 お問い合わせ キーワード検索 Search by Keyword ライフシーンから探す Search by Life Scene 手続き・届出 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 就職・退職 高齢・介護 ご不幸 くらし・手続き 健康・
30	宜野湾市	児童扶養手当について	https://www.city.ginowan.lg.jp/kosodate_kyoiku/kosodate/2/3467.html	児童扶養手当について／宜野湾市 本文へ移動 文字サイズ 背景色 閲覧支援ツール Select Language 組織から探す くらし・手続き よく見られているページ 健康・医療・福祉 よく見られているページ 子育て・教育 よく見られているページ 観光・文化・スポーツ よく見られているページ 事業者向け情報 よく見られているページ 市政情報 よく見られているページ --> --> 組織からさがす アクセス・庁舎案内 よくある質問 お問い合わせ キーワード検索 Search by Keyword ライフシーンから探す Search by Life Scene 手続き・届出 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 就職・退職 高齢・介護 ご不幸 くらし・手続き 健康・医療・福祉 子育て・教育 観光・
30	宜野湾市	特別児童扶養手当について	https://www.city.ginowan.lg.jp/kosodate_kyoiku/kosodate/2/3474.html	特別児童扶養手当について／宜野湾市 本文へ移動 文字サイズ 背景色 閲覧支援ツール Select Language 組織から探す くらし・手続き よく見られているページ 健康・医療・福祉 よく見られているページ 子育て・教育 よく見られているページ 観光・文化・スポーツ よく見られているページ 事業者向け情報 よく見られているページ 市政情報 よく見られているページ --> --> 組織からさがす アクセス・庁舎案内 よくある質問 お問い合わせ キーワード検索 Search by Keyword ライフシーンから探す Search by Life Scene 手続き・届出 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 就職・退職 高齢・介護 ご不幸 くらし・手続き 健康・医療・福祉 子育て・教育 観
30	宜野湾市	幼稚園等の預かり保育の無償化手続きについて（宜野湾市立幼稚園を除く）	https://www.city.ginowan.lg.jp/kosodate_kyoiku/kosodate/2/6307.html	幼稚園等の預かり保育の無償化手続きについて（宜野湾市立幼稚園を除く）／宜野湾市 本文へ移動 文字サイズ 背景色 閲覧支援ツール Select Language 組織から探す くらし・手続き よく見られているページ 健康・医療・福祉 よく見られているページ 子育て・教育 よく見られているページ 観光・文化・スポーツ よく見られているページ 事業者向け情報 よく見られているページ 市政情報 よく見られているページ --> --> 組織からさがす アクセス・庁舎案内 よくある質問 お問い合わせ キーワード検索 Search by Keyword ライフシーンから探す Search by Life Scene 手続き・届出 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 就職・退職 高齢・介護 ご不幸 くらし
30	宜野湾市	【重要】児童手当制度の一部変更について（令和4年6月から）	https://www.city.ginowan.lg.jp/kosodate_kyoiku/kosodate/2/10699.html	【重要】児童手当制度の一部変更について（令和4年6月から）／宜野湾市 本文へ移動 文字サイズ 背景色 閲覧支援ツール Select Language 組織から探す くらし・手続き よく見られているページ 健康・医療・福祉 よく見られているページ 子育て・教育 よく見られているページ 観光・文化・スポーツ よく見られているページ 事業者向け情報 よく見られているページ 市政情報 よく見られているページ --> --> 組織からさがす アクセス・庁舎案内 よくある質問 お問い合わせ キーワード検索 Search by Keyword ライフシーンから探す Search by Life Scene 手続き・届出 妊娠・出産 子育て 学校教育 結婚・離婚 引越し・住まい 就職・退職 高齢・介護 ご不幸 くらし・手続き
