rescore	score	organization	title	url	evidence
92	30	宮古島市	児童手当	https://www.city.miyakojima.lg.jp/kurashi/kodomo/jidou/kodomo.html	児童手当｜くらしの情報｜宮古島市 /css/smartphone_base.css /css/smartphone_content.css /css/smartphone_block.css /css/smartphone_side.css --> --> ナビゲーションを飛ばす サイトマップ RSS --> くらしの情報 行政情報 事業者向け情報 観光・イベント --> --> トップ > くらしの情報 > 子ども・教育 > 児童・母子福祉 > 児童手当 --> 児童手当 令和4年6月から児童手当制度が変わります！ リーフレット 0歳から中学校修了前（15歳になった後の最初の3月31日）の子どもを養育している方に支給します。 窓口での申請が必要です。 【手当の月額】 （1）所得制限額未満である者 【児童手当】
90	28	国頭村	物価高対応子育て応援手当について	https://www.vill.kunigami.okinawa.jp/k_hukusi/%e7%89%a9%e4%be%a1%e9%ab%98%e5%af%be%e5%bf%9c%e5%ad%90%e8%82%b2%e3%81%a6%e5%bf%9c%e6%8f%b4%e6%89%8b%e5%bd%93%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/	物価高対応子育て応援手当について | 国頭村 文字サイズの変更 小 中 大 背景色 標準 黒 青 黄 暮らし 健康・福祉 子育て・教育 観光・文化 行政情報 定住支援 Multilingual サイトマップ --> 公式LINE 公式youtube 公式インスタグラム ホーム 福祉課 物価高対応子育て応援手当について 物価高対応子育て応援手当について 制度概要 令和７年11月21日に閣議決定された「強い経済」を実現する総合経済対策に基づき、長期化する物価高の影響を強く受ける子育て世帯を支援するため、18歳以下の児童１人あたり２万円の『物価高対応子育て応援手当』を支給することが決定されました。 物価高対応子育て応援手当リーフレット 支給対象者 (1)令和７年９月分（令和７年９月に出生した児童については10月分）の
89	30	宮古島市	国民健康保険一部負担金減免制度	https://www.city.miyakojima.lg.jp/kurashi/kokumin/kenkouhoken/2012-1228-1012-80.html	国民健康保険一部負担金減免制度｜くらしの情報｜宮古島市 /css/smartphone_base.css /css/smartphone_content.css /css/smartphone_block.css /css/smartphone_side.css --> --> ナビゲーションを飛ばす サイトマップ RSS --> くらしの情報 行政情報 事業者向け情報 観光・イベント --> --> トップ > くらしの情報 > 国民健康保険・国民年金 > 国民健康保険 > 国民健康保険一部負担金減免制度 --> 国民健康保険一部負担金減免制度 特別な理由により、一時的に生活が苦しくなり、医療費の支払いにお困りの世帯に対し、申請により、保険医療機関等（病院や薬局）での一部負担金の減免等（減額、免除及び徴収猶予
89	30	大宜味村	軽自動車税の減免について	https://www.vill.ogimi.okinawa.jp/soshiki/jyuumin/gyomu/zeikin/keijidoshazei/1157.html	軽自動車税の減免について／大宜味村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Select Language English 繁體中文 简体中文 한국어 翻訳 くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化 スポーツ しごと・産業 行政情報 くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 Select Language English 繁體中文 简体中文 한국어 翻訳 PC版で見る 閉じる 現在のページ ホーム 組織から探す 住民課 業務案内 税金 軽自動車税 軽自動車税の減免について あしあと あしあとを消去する 軽自動車税の減免について 更新日：2025年04月01日 軽自動車税の減免について 身体障がい者等の利
89	30	大宜味村	固定資産税の減免について	https://www.vill.ogimi.okinawa.jp/soshiki/jyuumin/gyomu/zeikin/koteishisanzei/1156.html	固定資産税の減免について／大宜味村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Select Language English 繁體中文 简体中文 한국어 翻訳 くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化 スポーツ しごと・産業 行政情報 くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 Select Language English 繁體中文 简体中文 한국어 翻訳 PC版で見る 閉じる 現在のページ ホーム 組織から探す 住民課 業務案内 税金 固定資産税 固定資産税の減免について あしあと あしあとを消去する 固定資産税の減免について 更新日：2025年04月01日 固定資産税の減免について 生活保護をうけてい
82	30	大宜味村	児童手当について	https://www.vill.ogimi.okinawa.jp/soshiki/kosodatesien/gyomu/kosodate/jidouteate/jidouteate/index.html	児童手当について／大宜味村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Select Language English 繁體中文 简体中文 한국어 翻訳 くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化 スポーツ しごと・産業 行政情報 くらし・手続き 医療・健康・福祉 子育て・教育 観光・文化・スポーツ しごと・産業 行政情報 文字サイズ 背景色変更 Select Language English 繁體中文 简体中文 한국어 翻訳 PC版で見る 閉じる 現在のページ ホーム 組織から探す 子育て支援室 業務案内 子育て 児童手当 児童手当について あしあと あしあとを消去する 児童手当について 令和6年10月から児童手当が変わります！ 改正の内容や申請についての詳細は 「児童手当の拡充に
82	30	東村	児童手当等について	https://www.vill.higashi.okinawa.jp/kosodate_kyoiku/syussan/1775.html	児童手当等について／沖縄県東村 花と水とパインの村 スマートフォン版を表示 本文へ移動 背景色 文字サイズ Foreign Language くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 ホーム くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 Foreign Language PC版で見る 文字サイズ変更 背景色変更 メニューを閉じる 現在の位置 ホーム 子育て・教育・文化 出産したら 児童手当等について 児童手当等について Tweet 更新日：2025年02月14日 児童手当 児童手当とは、次世代の社会を担う子どもの健全で健やかな育ちを社会全体で応援するため、高校生世代までの児童生徒を養育されている保護者に対して支給するものです。 ＜注意＞児童
82	30	東村	児童扶養手当	https://www.vill.higashi.okinawa.jp/kosodate_kyoiku/siensoudan/2485.html	児童扶養手当／沖縄県東村 花と水とパインの村 スマートフォン版を表示 本文へ移動 背景色 文字サイズ Foreign Language くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 ホーム くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 Foreign Language PC版で見る 文字サイズ変更 背景色変更 メニューを閉じる 現在の位置 ホーム 子育て・教育・文化 支援・相談 児童扶養手当 児童扶養手当 Tweet 更新日：2025年04月04日 児童扶養手当とは 父母の離婚などにより、父（母）と生活を共にできない児童の母（父）や父母にかわって児童を養育している人に対し、児童の福祉の増進を図ることを目的として支給される手当です。（外国人の方に
82	30	東村	児童扶養手当	https://www.vill.higashi.okinawa.jp/kosodate_kyoiku/jidofukushi_hitorioyafukushi/2484.html	児童扶養手当／沖縄県東村 花と水とパインの村 スマートフォン版を表示 本文へ移動 背景色 文字サイズ Foreign Language くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 ホーム くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 Foreign Language PC版で見る 文字サイズ変更 背景色変更 メニューを閉じる 現在の位置 ホーム 子育て・教育・文化 手当・助成 児童扶養手当 児童扶養手当 Tweet 更新日：2025年04月04日 児童扶養手当とは 父母の離婚などにより、父（母）と生活を共にできない児童の母（父）や父母にかわって児童を養育している人に対し、児童の福祉の増進を図ることを目的として支給される手当です。（外国人の方に
82	30	東村	児童手当等について	https://www.vill.higashi.okinawa.jp/kosodate_kyoiku/jidofukushi_hitorioyafukushi/707.html	児童手当等について／沖縄県東村 花と水とパインの村 スマートフォン版を表示 本文へ移動 背景色 文字サイズ Foreign Language くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 ホーム くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 Foreign Language PC版で見る 文字サイズ変更 背景色変更 メニューを閉じる 現在の位置 ホーム 子育て・教育・文化 手当・助成 児童手当等について 児童手当等について Tweet 更新日：2025年02月14日 児童手当 児童手当とは、次世代の社会を担う子どもの健全で健やかな育ちを社会全体で応援するため、高校生世代までの児童生徒を養育されている保護者に対して支給するものです。 ＜注意＞児童
82	30	東村	児童扶養手当	https://www.vill.higashi.okinawa.jp/kosodate_kyoiku/hitorioya/2487.html	児童扶養手当／沖縄県東村 花と水とパインの村 スマートフォン版を表示 本文へ移動 背景色 文字サイズ Foreign Language くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 ホーム くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 Foreign Language PC版で見る 文字サイズ変更 背景色変更 メニューを閉じる 現在の位置 ホーム 子育て・教育・文化 ひとり親 児童扶養手当 児童扶養手当 Tweet 更新日：2025年04月04日 児童扶養手当とは 父母の離婚などにより、父（母）と生活を共にできない児童の母（父）や父母にかわって児童を養育している人に対し、児童の福祉の増進を図ることを目的として支給される手当です。（外国人の方につ
82	30	東村	児童手当等について	https://www.vill.higashi.okinawa.jp/kosodate_kyoiku/hitorioya/1774.html	児童手当等について／沖縄県東村 花と水とパインの村 スマートフォン版を表示 本文へ移動 背景色 文字サイズ Foreign Language くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 ホーム くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 Foreign Language PC版で見る 文字サイズ変更 背景色変更 メニューを閉じる 現在の位置 ホーム 子育て・教育・文化 ひとり親 児童手当等について 児童手当等について Tweet 更新日：2025年02月14日 児童手当 児童手当とは、次世代の社会を担う子どもの健全で健やかな育ちを社会全体で応援するため、高校生世代までの児童生徒を養育されている保護者に対して支給するものです。 ＜注意＞児童手
82	30	東村	障害年金・手当等について	https://www.vill.higashi.okinawa.jp/iryo_kenko_fukushi/shogaishafukushi/1001.html	障害年金・手当等について／沖縄県東村 花と水とパインの村 スマートフォン版を表示 本文へ移動 背景色 文字サイズ Foreign Language くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 ホーム くらし・手続き 子育て・教育・文化 健康・福祉 産業・仕事 村政情報 観光情報 Foreign Language PC版で見る 文字サイズ変更 背景色変更 メニューを閉じる 現在の位置 ホーム 医療・健康・福祉 障害者福祉 障害年金・手当等について 障害年金・手当等について 更新日：2025年11月10日 心身に障がいをお持ちの方や、その家族に対し次の様な手当等が支給されます。年金・手当て等については身体障害者手帳・療育手帳・精神保健福祉手帳の所持がなくても申請できます。（申し込
82	30	東村	東村UIJターン奨学金償還支援事業補助金について	https://www.vill.higashi.okinawa.jp/higashison_life/live/2188.html	東村UIJターン奨学金償還支援事業補助金について／沖縄県東村 花と水とパインの村 本文へ HOME 東村を知る 東村に住む 東村で働く 東村の子育て 移住者インタビュー HOME 東村を知る 東村に住む 東村で働く 東村の子育て 移住者インタビュー 閉じる 現在の位置 ホーム 東村ぐらし 東村に住む 東村UIJターン奨学金償還支援事業補助金について 東村UIJターン奨学金償還支援事業補助金について Tweet 更新日：2026年06月12日 奨学金返還支援制度によりUIJターン者を応援します！ 東村における人材確保及び定住・定職の促進を目的とし、奨学金の貸与を受けて大学等を卒業し、返還を行なっている方の奨学金返還金の一部を支援します。対象は、 村内に現に居住 しており、村内又は近隣市町村の事業所で就業している方
