organization	title	url	fallbackEvidence
今帰仁村	今帰仁村水道料金（基本料金）の減免	https://www.nakijin.jp/pagtop/kakuka/3/2/2/5304.html	今帰仁村水道料金（基本料金）の減免について／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 水道課 くらし・手続き 生活 今帰仁村水道料金（基本料金）の減免について 今帰仁村水道料金（基本料金）の減免について 本村では、村民及び事業者に対し物価高騰による経済的負担を軽減するため、国の「重点支援地方交付金」を活用し、下記のとおり水道料金のうち基本料金を減免します。 更新日：2026年04月03日 生活 ライフシーンから探す 妊娠・出産 子育て 戸籍・証明 税金
今帰仁村	今帰仁村こども医療費助成制度	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/2/4_1/2/576.html	今帰仁村こども医療費助成制度について／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 福祉・こども課 福祉・児童家庭係 子育て・教育 今帰仁村こども医療費助成制度について 今帰仁村こども医療費助成制度について 今帰仁村こども医療費助成制度について こども医療費助成事業 こども医療費助成制度は、こどもの保健の向上を図り、健やかな育成に寄与することを目的に、保護者が支払ったお子様の医療費（保険診療による自己負担分）の一部を助成する制度です。 ■助成対象者 今帰仁村
今帰仁村	児童手当制度の変更について（拡充内容・手続き方法）	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/2/5009.html	【重要】児童手当制度の変更について（拡充内容・手続き方法）／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 福祉・こども課 福祉・児童家庭係 【重要】児童手当制度の変更について（拡充内容・手続き方法） 【重要】児童手当制度の変更について（拡充内容・手続き方法） 令和6年10月に児童手当法の改正が行われることにより、令和6年10月分(令和6年12月支給分)から児童手当が改正されます。 高校生年代(18歳年度末)以下の児童を養育している方は、申請が必要な場合があり
今帰仁村	幼児教育・保育無償化	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/3_1/4873.html	幼児教育・保育無償化のお知らせ／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 福祉・こども課 こども未来係、こども園・保育所係 幼児教育・保育無償化のお知らせ 幼児教育・保育無償化のお知らせ 令和元年10月より幼児教育・保育の無償化が始まりました。 制度の趣旨 子育て世帯を応援し、社会保障を全世代型へ抜本的に変えるため、幼児教育・保育無償化が実施されることとなりました。 制度の内容 幼稚園、保育所、認定こども園などを利用する3歳から5歳児クラスの子どもたち、
今帰仁村	特別障害者手当及び障害児福祉手当	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/2/4/1205.html	特別障害者手当及び障害児福祉手当／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 福祉・こども課 福祉・児童家庭係 障害者福祉 特別障害者手当及び障害児福祉手当 特別障害者手当及び障害児福祉手当 特別障害者手当 日常生活において常時特別の介護を必要とする在宅重度障がい者で、20歳以上の方に支給されます。次の1～7の障がいが2つ以上あるか、それと同程度以上の状態である方が対象です。 【障がいの範囲と程度】 1 両眼の視力の和が0.04以下のもの（矯正視力による）
今帰仁村	今帰仁村子どもの居場所づくり運営支援事業補助金	https://www.nakijin.jp/pagtop/kakuka/hukusikodomoka/3_1/5277.html	今帰仁村子どもの居場所づくり運営支援事業補助金／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 福祉・こども課 こども未来係、こども園・保育所係 今帰仁村子どもの居場所づくり運営支援事業補助金 今帰仁村子どもの居場所づくり運営支援事業補助金 子どもが安心して過ごせる居場所を確保するとともに、食事の提供、生活指導、学習支援及びキャリア形成支援等を推進し、自治会等地域団体との連携による多面的な居場所づくりを支援するため、子どもの居場所づくりを運営する または運営を
今帰仁村	国民健康保険の給付	https://www.nakijin.jp/pagtop/kakuka/fukushi/5/3/3/475.html	国民健康保険の給付について／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 健康づくり推進課 国民健康保険・後期高齢者係 健康・福祉 国民健康保険 国民健康保険の給付について 国民健康保険の給付について お問い合わせ先：健康づくり推進課 電話(0980)56-4189 国民健康保険（国保）で受けられる給付について 国保に加入し、病院などの窓口で保険証を提示すると、次のような医療の給付が受けられます。ただし、年齢などによって自己負担の割合は異なります。70歳以上
今帰仁村	今帰仁村不妊・不育治療費助成事業	https://www.nakijin.jp/pagtop/kenko_fukushi/1971.html	今帰仁村不妊・不育治療費助成事業について／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 健康・福祉 今帰仁村不妊・不育治療費助成事業について 今帰仁村不妊・不育治療費助成事業について 【今帰仁村不妊治療助成金】 詳細 : 今帰仁村不妊治療費助成事業(Wordファイル:18KB) ・必要な申請書類 1. 不妊治療費助成事業申請書(様式第1号)(PDFファイル:82.5KB) 2． 不妊治療費助成事業受診等証明書(様式第2号)(PDFファイル:70.8KB) 3．領収書(原本） 4．法律上
今帰仁村	今帰仁村加齢性難聴者補聴器購入助成事業	https://www.nakijin.jp/pagtop/kakuka/fukushi/3/4871.html	今帰仁村加齢性難聴者補聴器購入助成事業について／今帰仁村 スマートフォン版を表示 本文へ移動 文字サイズ 背景色変更 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 くらし・手続き 子育て・教育 健康・福祉 歴史・観光 事業者の方へ 行政情報 PC版を表示 現在のページ ホーム 今帰仁村役場 各課ご案内（組織から探す） 健康づくり推進課 高齢者・介護福祉係 今帰仁村加齢性難聴者補聴器購入助成事業について 今帰仁村加齢性難聴者補聴器購入助成事業について 令和6年4月1日より、加齢性難聴者の補聴器購入費の一部を助成します。 身体障害者手帳に該当しない方で、以下の1～3のすべてに該当する方が対象です。 今帰仁村に住所を有し、現に居住する65歳以上の方で、申請する日の属する年度において住民
本部町	子どもの手当・助成・支援制度	https://www.town.motobu.okinawa.jp/doc/2024092700035/	子どもの手当・助成・支援制度 | 本部町役場 沖縄県 本部町 もとぶちょう 太陽と海と緑－観光文化のまち Language 日本語 English 한국 简体中文 繁体中文 メニュー 閉じる 文字サイズ 拡大 標準 縮小 暮らし・手続き 戸籍（住民登録・印鑑登録） 申請書と手数料一覧 出生届 死亡届・葬祭費補助 パスポート マイナンバーカード 郵送での手続きについて 水道手続きについて マイナンバーカードを利用したオンライン行政手続きについて 子育て教育 妊娠・出産 子どもの健診・予防接種 保育・幼稚園 子どもの手当・助成・支援制度 学校・教育 健康・福祉 国民年金 国民健康保険について 後期高齢者医療 介護保険 地域包括支援センター 障がい者（児）支援 生活支援 戦没者遺族援護 健康づくり 観光・イベント 本
