organization	title	url	evidence
西原町	（6月24日更新）西原町かなまる商品券(西原地域商品券運営事業・産業観光課)	https://www.town.nishihara.okinawa.jp/soshiki/12/12928.html	（6月24日更新）西原町かなまる商品券(西原地域商品券運営事業・産業観光課) - 西原町ホームページ（産業観光課） ページの先頭です。 メニューを飛ばして本文へ ホーム サイト内 検索 検索対象 すべて ページ PDF よく検索されるワード 小波津川監視カメラ ふるさと納税 ハザードマップ 台風時のごみ収集について 子育て支援 確定申告 マイナンバー 今日の町内放送 ごみ検索 暮らし・手続き 子育て・教育 健康・福祉 産業・しごと 町政情報 閲覧 補助 文字サイズ 標準 拡大 背景色変更 黒 青 標準 foreign languages English 中文（簡体） 한글 中文（繁体） ✕ Language English 中文（簡体） 한글 中文（繁体） ✕ もしも の時 避難所一覧 小波津川 監視カメラ ✕
西原町	65歳以上の高齢者対象加齢性難聴者補聴器助成について	https://www.town.nishihara.okinawa.jp/soshiki/7/1462.html	65歳以上の高齢者対象加齢性難聴者補聴器助成について - 西原町ホームページ（福祉課） ページの先頭です。 メニューを飛ばして本文へ ホーム サイト内 検索 検索対象 すべて ページ PDF よく検索されるワード 小波津川監視カメラ ふるさと納税 ハザードマップ 台風時のごみ収集について 子育て支援 確定申告 マイナンバー 今日の町内放送 ごみ検索 暮らし・手続き 子育て・教育 健康・福祉 産業・しごと 町政情報 閲覧 補助 文字サイズ 標準 拡大 背景色変更 黒 青 標準 foreign languages English 中文（簡体） 한글 中文（繁体） ✕ Language English 中文（簡体） 한글 中文（繁体） ✕ もしも の時 避難所一覧 小波津川 監視カメラ ✕ マイ ページ サイト内 検
西原町	こども医療費助成	https://www.town.nishihara.okinawa.jp/life/2/10/47/	こども医療費助成 - 西原町ホームページ ページの先頭です。 メニューを飛ばして本文へ ホーム サイト内 検索 検索対象 すべて ページ PDF よく検索されるワード 小波津川監視カメラ ふるさと納税 ハザードマップ 台風時のごみ収集について 子育て支援 確定申告 マイナンバー 今日の町内放送 ごみ検索 暮らし・手続き 子育て・教育 健康・福祉 産業・しごと 町政情報 閲覧 補助 文字サイズ 標準 拡大 背景色変更 黒 青 標準 foreign languages English 中文（簡体） 한글 中文（繁体） ✕ Language English 中文（簡体） 한글 中文（繁体） ✕ もしも の時 避難所一覧 小波津川 監視カメラ ✕ マイ ページ サイト内 検索 検索対象 すべて ページ PDF ページI
西原町	児童手当	https://www.town.nishihara.okinawa.jp/life/2/10/46/	児童手当 - 西原町ホームページ ページの先頭です。 メニューを飛ばして本文へ ホーム サイト内 検索 検索対象 すべて ページ PDF よく検索されるワード 小波津川監視カメラ ふるさと納税 ハザードマップ 台風時のごみ収集について 子育て支援 確定申告 マイナンバー 今日の町内放送 ごみ検索 暮らし・手続き 子育て・教育 健康・福祉 産業・しごと 町政情報 閲覧 補助 文字サイズ 標準 拡大 背景色変更 黒 青 標準 foreign languages English 中文（簡体） 한글 中文（繁体） ✕ Language English 中文（簡体） 한글 中文（繁体） ✕ もしも の時 避難所一覧 小波津川 監視カメラ ✕ マイ ページ サイト内 検索 検索対象 すべて ページ PDF ページID 検索
西原町	西原町人材育成会児童生徒の県外派遣に関する補助金交付事業	https://www.town.nishihara.okinawa.jp/site/kosodate-sabu/1843.html	西原町人材育成会児童生徒の県外派遣に関する補助金交付事業 - にしはら子育てネット - 西原町ホームページ（教育総務課） ページの先頭です。 メニューを飛ばして本文へ ホーム サイト内 検索 検索対象 すべて ページ PDF よく検索されるワード 小波津川監視カメラ ふるさと納税 ハザードマップ 台風時のごみ収集について 子育て支援 確定申告 マイナンバー 今日の町内放送 ごみ検索 暮らし・手続き 子育て・教育 健康・福祉 産業・しごと 町政情報 閲覧 補助 文字サイズ 標準 拡大 背景色変更 黒 青 標準 foreign languages English 中文（簡体） 한글 中文（繁体） ✕ Language English 中文（簡体） 한글 中文（繁体） ✕ もしも の時 避難所一覧 小波津川 監視カメ
西原町	第12回戦没者等の遺族に対する特別弔慰金の請求について	https://www.town.nishihara.okinawa.jp/soshiki/7/1491.html	第12回戦没者等の遺族に対する特別弔慰金の請求について - 西原町ホームページ（福祉課） ページの先頭です。 メニューを飛ばして本文へ ホーム サイト内 検索 検索対象 すべて ページ PDF よく検索されるワード 小波津川監視カメラ ふるさと納税 ハザードマップ 台風時のごみ収集について 子育て支援 確定申告 マイナンバー 今日の町内放送 ごみ検索 暮らし・手続き 子育て・教育 健康・福祉 産業・しごと 町政情報 閲覧 補助 文字サイズ 標準 拡大 背景色変更 黒 青 標準 foreign languages English 中文（簡体） 한글 中文（繁体） ✕ Language English 中文（簡体） 한글 中文（繁体） ✕ もしも の時 避難所一覧 小波津川 監視カメラ ✕ マイ ページ サイト内 
西原町	特別児童扶養手当	https://www.town.nishihara.okinawa.jp/site/kosodate-sabu/1799.html	特別児童扶養手当 - にしはら子育てネット - 西原町ホームページ（こども課） ページの先頭です。 メニューを飛ばして本文へ ホーム サイト内 検索 検索対象 すべて ページ PDF よく検索されるワード 小波津川監視カメラ ふるさと納税 ハザードマップ 台風時のごみ収集について 子育て支援 確定申告 マイナンバー 今日の町内放送 ごみ検索 暮らし・手続き 子育て・教育 健康・福祉 産業・しごと 町政情報 閲覧 補助 文字サイズ 標準 拡大 背景色変更 黒 青 標準 foreign languages English 中文（簡体） 한글 中文（繁体） ✕ Language English 中文（簡体） 한글 中文（繁体） ✕ もしも の時 避難所一覧 小波津川 監視カメラ ✕ マイ ページ サイト内 検索 検索
中城村	「物価高対応子育て応援手当」の給付について	https://www.vill.nakagusuku.okinawa.jp/kosodate/subsidy/ouenteate/	「物価高対応子育て応援手当」の給付について | 中城が好き ～誇りと愛着が生み出す とよむ中城～ メインコンテンツへスキップ 閲覧補助 Language 組織案内 情報を探す 検索 くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じる くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 サイト内検索 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 組織から探す サイトマップから探す 閲覧補助 Language 組織案内 検索 キーワードから探す 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 カテゴリーから探す くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光
中城村	こども医療費助成制度	https://www.vill.nakagusuku.okinawa.jp/kosodate/subsidy/kodomoiryo/	こども医療費助成制度 | 中城が好き ～誇りと愛着が生み出す とよむ中城～ メインコンテンツへスキップ 閲覧補助 Language 組織案内 情報を探す 検索 くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じる くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 サイト内検索 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 組織から探す サイトマップから探す 閲覧補助 Language 組織案内 検索 キーワードから探す 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 カテゴリーから探す くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じ
中城村	ひとり親家庭学童クラブ利用料助成事業	https://www.vill.nakagusuku.okinawa.jp/kosodate/subsidy/hitorioyagakudou/	ひとり親家庭学童クラブ利用料助成事業 | 中城が好き ～誇りと愛着が生み出す とよむ中城～ メインコンテンツへスキップ 閲覧補助 Language 組織案内 情報を探す 検索 くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じる くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 サイト内検索 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 組織から探す サイトマップから探す 閲覧補助 Language 組織案内 検索 キーワードから探す 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 カテゴリーから探す くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化
中城村	沖縄県バス通学費支援事業への護佐丸バスの適用について	https://www.vill.nakagusuku.okinawa.jp/sangyo/koukyokotsu/bus/1776389140/	沖縄県バス通学費支援事業への護佐丸バスの適用について | 中城が好き ～誇りと愛着が生み出す とよむ中城～ メインコンテンツへスキップ 閲覧補助 Language 組織案内 情報を探す 検索 くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じる くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 サイト内検索 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 組織から探す サイトマップから探す 閲覧補助 Language 組織案内 検索 キーワードから探す 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 カテゴリーから探す くらし・手続き 健康・福祉 子育て・教育 産業・まちづ
中城村	下水道接続に係る新たな補助金制度	https://www.vill.nakagusuku.okinawa.jp/kurashi/suido/gesuido/hojokinseido/	下水道接続に係る新たな補助金制度 | 中城が好き ～誇りと愛着が生み出す とよむ中城～ メインコンテンツへスキップ 閲覧補助 Language 組織案内 情報を探す 検索 くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じる くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 サイト内検索 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 組織から探す サイトマップから探す 閲覧補助 Language 組織案内 検索 キーワードから探す 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 カテゴリーから探す くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村
中城村	個人住民税の定額減税	https://www.vill.nakagusuku.okinawa.jp/kurashi/zeikin/kojinjuminzei/teigakugenzei/	個人住民税の定額減税 | 中城が好き ～誇りと愛着が生み出す とよむ中城～ メインコンテンツへスキップ 閲覧補助 Language 組織案内 情報を探す 検索 くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じる くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 サイト内検索 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 組織から探す サイトマップから探す 閲覧補助 Language 組織案内 検索 キーワードから探す 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 カテゴリーから探す くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じ
中城村	高等職業訓練促進給付金等事業の実施について	https://www.vill.nakagusuku.okinawa.jp/kosodate/subsidy/1772671616/	高等職業訓練促進給付金等事業の実施について | 中城が好き ～誇りと愛着が生み出す とよむ中城～ メインコンテンツへスキップ 閲覧補助 Language 組織案内 情報を探す 検索 くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 閉じる くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光・文化 村政情報 サイト内検索 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 組織から探す サイトマップから探す 閲覧補助 Language 組織案内 検索 キーワードから探す 検索キーワード 検索 注目のキーワード ごみ収集 給付金 ハザードマップ 年間行事 カテゴリーから探す くらし・手続き 健康・福祉 子育て・教育 産業・まちづくり 観光
