slug	organization	title	maxAmount	url	evidence
okinawa-official-007-001-2026	座間味村	座間味村 島外での通院・入院にかかる費用の補助を一部拡充しました！	7,000円まで	https://www.vill.zamami.okinawa.jp/kurashi/kenko_fukushi/kenko_iryo/ritoutsuin/	島外での通院・入院にかかる費用の補助を一部拡充しました！ 島外での通院・入院にかかる費用の補助を一部拡充しました！ [掲載開始日： 2025&#24180;12&#26376;08&#26085; ] 離島患者等通院費支援事業について 座間味村では、島外医療機関等への通院等にかかる経済的負担を軽減し、適切な医療やサービスを受ける機会の確保を図ることを目的に本事業を実施しています。 沖縄県、座間味村より費用の一部を負担します。座間味村役場
okinawa-official-007-002-2026	座間味村	座間味村 令和7年度座間味村インフルエンザ予防接種	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.zamami.okinawa.jp/kurashi/kenko_fukushi/kenko_iryo/1771979751/	令和7年度座間味村インフルエンザ予防接種 令和7年度座間味村インフルエンザ予防接種 [掲載開始日： 2025&#24180;09&#26376;30&#26085; ] 予約申し込みについて 令和７年度座間味村インフルエンザ予防接種（集団）を下記の日程で実施します。 ご希望の方は必ず予約期間内にオンライン、または役場住民課窓口・お電話にてお申込みくださいますよう、ご協力をお願いします。 また、下記からもご予約できます。 座間味・阿佐・阿
okinawa-official-007-003-2026	座間味村	座間味村 令和7年度 住民健診・がん検診のお知らせ	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.zamami.okinawa.jp/kurashi/kenko_fukushi/kenko_iryo/1771993385/	令和7年度 住民健診・がん検診のお知らせ 令和7年度 住民健診・がん検診のお知らせ [掲載開始日： 2025&#24180;10&#26376;28&#26085; ] 住民健診・がん検診 下記の日程で住民健診・がん検診を実施します。 受診ご希望の方は、オンライン、役場窓口またはお電話にてご予約ください。 ※予約枠には限りがありますので、お早目のご予約をおすすめします。 オンライン予約 座間味島の会場はコチラ 阿嘉島の会場はコチラ 住民
okinawa-official-007-004-2026	座間味村	座間味村 座間味村ファミリーサポートセンター	1世帯当たりの限度額は、一般世帯は当該年度10,500円	https://www.vill.zamami.okinawa.jp/kurashi/kosodate/kosodateshien/famisapo/	座間味村ファミリーサポートセンター 座間味村ファミリーサポートセンター [掲載開始日： 2025&#24180;12&#26376;09&#26085; ] 座間味村ファミリーサポートセンター事業実施要綱及び実施規則の改正について 座間味村ファミリーサポートセンターの実施要綱及び実施規則におきまして、令和７年9月1日付けで改正を行いましたのでお知らせいたします。 改正内容は下記のとおりとなります。 座間味村ファミリーサポートセンター事業
okinawa-official-007-005-2026	座間味村	座間味村 座間味村 物価高対応子育て応援手当	1人当たり20,000円	https://www.vill.zamami.okinawa.jp/kurashi/kosodate/kosodateshien/1772186611/	座間味村 物価高対応子育て応援手当 座間味村 物価高対応子育て応援手当 [掲載開始日： 2026&#24180;01&#26376;27&#26085; ] 座間味村 物価高対応子育て応援手当の支給について 座間味村では、国の物価高対応子育て応援手当の支給要領に基づき、児童手当の受給者へ、対象児童１人につき20千円の手当を支給することとなりました。 つきましては下記のとおり実施致しますのでご確認ください。 記 支給日 令和8年2月10日
okinawa-official-007-006-2026	座間味村	座間味村 児童手当	月額・支給時期手当月額３歳未満※第１子、第２子：15,000円	https://www.vill.zamami.okinawa.jp/kurashi/kosodate/kosodateshien/jidouteate/	児童手当 児童手当 [掲載開始日： 2026&#24180;07&#26376;14&#26085; ] 児童手当は、家庭における生活の安定と次代の社会を担う児童の健やかな成長を支援することを目的に、子どもを養育している方へ支給される制度です。 対象児童・受給資格者 対象となる児童について 日本国内に住所がある児童（0歳から18歳に達する日以後の最初の3月31日までの間にある子） 受給資格者（支給対象者） 児童を監護・養育している座間味
okinawa-official-007-007-2026	座間味村	座間味村 こども医療費助成制度	医療費・利用料等の自己負担分を助成または無償化	https://www.vill.zamami.okinawa.jp/kurashi/kosodate/kosodateshien/kodomoiryouhi/	こども医療費助成制度 こども医療費助成制度 [掲載開始日： 2026&#24180;07&#26376;14&#26085; ] 助成対象者 子ども医療費助成制度の対象となるのは、次の条件がすべてそろっているお子さんの保護者です。 座間味村に住所を有し、15歳年度末年齢までのお子さん 健康保険に加入しているもの ※助成対象とならない場合 お子さんが生活保護を受けている場合 お子さんが重度心身障がい者医療費助成を受けている場合 お子さんが
okinawa-official-007-008-2026	座間味村	座間味村 生ごみ処理機の購入補助	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.zamami.okinawa.jp/kurashi/life/gomi/namagomi/	生ごみ処理機の購入補助 生ごみ処理機の購入補助 [掲載開始日： 2025&#24180;12&#26376;09&#26085; ] 生ごみ処理機の購入補助をご利用ください 3万円を上限として、家庭や事業所での生ごみ処理機購入金額の半額を助成します。住民課までお問い合わせください。 このページをシェア このページに関するお問い合わせ先 このページは住民課が担当しています 〒901-3402 沖縄県島尻郡座間味村座間味109 電話： 09
okinawa-official-007-009-2026	座間味村	座間味村 令和７年度座間味村大型２種免許取得助成事業について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.zamami.okinawa.jp/kurashi/life/1771923529/	令和７年度座間味村大型２種免許取得助成事業について 令和７年度座間味村大型２種免許取得助成事業について [掲載開始日： 2025&#24180;08&#26376;08&#26085; ] 座間味村役場 船舶・観光課よりお知らせです。 この度、村営バス運転手確保の為、大型２種免許取得助成事業の実施を予定しております。 座間味村に住民票を有する方を対象に大型２種免許取得の教習費用の一部助成、船舶運賃・宿泊費・教習所へ通う交通費の実費相当額
okinawa-official-007-010-2026	座間味村	座間味村 座間味村食料品等物価高騰対策・島ちゃび解消支援給付金	支給額4.3万円	https://www.vill.zamami.okinawa.jp/kurashi/kyufukin/1772183525/	座間味村食料品等物価高騰対策・島ちゃび解消支援給付金 座間味村食料品等物価高騰対策・島ちゃび解消支援給付金 [掲載開始日： 2026&#24180;01&#26376;15&#26085; ] 島ちゃび解消支援給付金について 食料品等物価高騰対策・島ちゃび解消支援給付金チラシ 物価高騰が長期化する中、食料品等の物価高騰は基より、離島輸送コストも物価高騰に反映されていることから、経済的負担の軽減・島ちゃび解消を図るため、国の物価高騰対応重
okinawa-official-007-011-2026	座間味村	座間味村 座間味村物価高騰対策くらし応援給付金	支給額65歳以上の高齢者：3万円	https://www.vill.zamami.okinawa.jp/kurashi/kyufukin/1772004283/	座間味村物価高騰対策くらし応援給付金 座間味村物価高騰対策くらし応援給付金 [掲載開始日： 2025&#24180;12&#26376;12&#26085; ] 座間味村物価高騰対策くらし応援給付金について 物価高騰の中、経済的負担を軽減するため、座間味村内の 65歳以上の高齢者 に対し3万円、 15歳以下の子 に対し2万円を支給する。 支給対象 （１）基準日（令和7年10月31日）以前から座間味村にお住いの世帯で下記条件を満たす方。
okinawa-official-007-012-2026	座間味村	座間味村 （再掲）座間味村定額減税補足給付金（不足額給付）支給のお知らせ	支給額上限4万円	https://www.vill.zamami.okinawa.jp/kurashi/kyufukin/1771999167/	（再掲）座間味村定額減税補足給付金（不足額給付）支給のお知らせ （再掲）座間味村定額減税補足給付金（不足額給付）支給のお知らせ [掲載開始日： 2025&#24180;11&#26376;17&#26085; ] 座間味村定額減税補足給付金について ※申請期限が 令和7年11月28日（金曜日） までとなっております。 申請のお忘れのないようご注意ください。 座間味村定額減税補足給付金（不足額給付）以下「調整給付金（不足額給付分）」という
okinawa-official-007-013-2026	座間味村	座間味村 帯状疱疹任意予防接種費用一部助成事業	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.zamami.okinawa.jp/kurashi/kenko_fukushi/kenko_iryo/taijohoshin/	帯状疱疹任意予防接種費用一部助成事業 帯状疱疹任意予防接種費用一部助成事業 [掲載開始日： 2025&#24180;12&#26376;08&#26085; ] 令和５年度より座間味村は「帯状疱疹任意予防接種費用一部助成事業」を行っております。 詳しくは住民課までお問合せください。 このページをシェア このページに関するお問い合わせ先 このページは住民課が担当しています 〒901-3402 沖縄県島尻郡座間味村座間味109 電話： 09
okinawa-official-007-014-2026	座間味村	座間味村 高校生の生活支援	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.zamami.okinawa.jp/kurashi/kosodate/kosodateshien/highschool/	高校生の生活支援 高校生の生活支援 [掲載開始日： 2026&#24180;02&#26376;18&#26085; ] 平成28年1月、離島から沖縄本島の高校に通う生徒の寄宿舎「県立離島児童生徒支援センター」が那覇市東町に開所しました。 村内中学校を卒業した高校生に対し、年4回の帰省運賃を助成します。 このページをシェア このページに関するお問い合わせ先 このページは住民課が担当しています 〒901-3402 沖縄県島尻郡座間味村座間
okinawa-official-007-015-2026	座間味村	座間味村 不妊治療	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.zamami.okinawa.jp/kurashi/kosodate/ninshinshussan/funinchiryo/	不妊治療 不妊治療 [掲載開始日： 2025&#24180;12&#26376;09&#26085; ] 座間味村では、妊産婦の方・専門的治療が必要な方（※1長期的かつ定期的な治療が必要となる場合）において、経済的負担の軽減を図ることを目的として、渡航する船舶運賃及び宿泊費の補助を行っています。 詳しくは 離島患者等通院費支援事業のページ をご確認ください。 このページをシェア このページに関するお問い合わせ先 このページは住民課が担当
okinawa-official-007-016-2026	粟国村	粟国村 粟国村離島患者等通院費助成事業について	上限7,000円	https://www.vill.aguni.okinawa.jp/kennkouhuskusi/ritokan/1210.html	粟国村離島患者等通院費助成事業について 粟国村離島患者等通院費助成事業について Tweet 更新日：2026年04月02日 粟国村では、妊産婦の方や専門的な治療が必要で、長期的かつ定期的な治療が必要となる方への経済的負担を軽減することを目的として、渡航費及び宿泊費の一部を助成しています。 なお、令和8年度より助成対象者の追加、宿泊費補助の引上げ等、助成の拡充をしました。 粟国村離島患者等通院費助成事業のご案内(PDFファイル:381.1
okinawa-official-007-017-2026	粟国村	粟国村 児童扶養手当について	所得・対象区分に応じて手当・給付金等を支給	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/1022.html	児童扶養手当について 児童扶養手当について Tweet 更新日：2024年08月05日 児童扶養手当に関する大切なお知らせ 令和6年11月1日から法律の改正に伴い所得限度額と第3子以降の加算額が引き上げられます。詳細は下記の資料をご参照ください。 民生課からのお知らせ 沖縄県 粟国村役場 〒901-3792 沖縄県島尻郡粟国村字東483番地 電話番号：098-988-2016 ファックス番号：098-988-2206 開庁時間：午前8時
okinawa-official-007-018-2026	粟国村	粟国村 母子及び父子家庭等医療費助成事業の対象拡大について(1)	医療費・利用料等の自己負担分を助成または無償化	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/952.html	母子及び父子家庭等医療費助成事業の対象拡大について(1) 母子及び父子家庭等医療費助成事業の対象拡大について(1) Tweet 更新日：2025年03月21日 母子及び父子家庭等医療費助成事業の対象拡大について 令和6年5月より、母子及び父子家庭等医療費助成の補助対象者が拡大されます。 下記の添付資料を確認していただき、該当する方は粟国村役場民生課までお問合せください。 民生課からのお知らせ 沖縄県 粟国村役場 〒901-3792 沖縄
okinawa-official-007-019-2026	粟国村	粟国村 ひとり親家庭支援奨学金制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/1125.html	ひとり親家庭支援奨学金制度 ひとり親家庭支援奨学金制度 Tweet 更新日：2025年03月06日 2025年度 「夢を応援基金」『ひとり親家庭支援奨学金制度』給付型奨学金募集案内 一般財団法人全国母子寡婦福祉団体協議会より、みだしの件で募集案内がされています。 詳細については添付している資料の確認、または沖縄県母子寡婦福祉団体協議会（098-887-4099）までお問い合わせください。 粟国村から推薦書を作成し、沖縄県母子寡婦福祉団体
okinawa-official-007-020-2026	粟国村	粟国村 妊娠・出産	1人につき第1子80,000円	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/892.html	妊娠・出産 妊娠・出産 Tweet 更新日：2024年03月01日 粟国村の妊娠～出産までのサポート体制について 粟国村では、下記のサービス体制を整えて粟国で安心して妊娠・出産を迎えれるようにサポートします。 妊娠～出産まで ＊親子健康手帳（母子手帳） 赤ちゃんの妊娠から出産、出産後の成長を記録する大切な1冊の発行を行います。 ＊妊産婦健康診査受診票の発行 妊娠中の本島での専門医の受診を公費（妊婦健診14回分・産婦健診2回分）で受けられ
okinawa-official-007-021-2026	渡名喜村	渡名喜村 令和７年度 物価高騰対応重点支援地方創生臨時交付金	公式ページ記載の補助率・上限額または支援内容に従う	http://www.vill.tonaki.okinawa.jp/detail.jsp?id=104649&type=TopicsTopPage&select=&funcid=2&editMode=	令和７年度渡名喜村低所得者支援及び定額減税補足給付金（不足額給付）。令和７年１月１日時点で渡名喜村にお住まいで、合計所得金額が1,805万円以下の方のうち不足額給付1または不足額給付2に該当する方が対象。不足額給付1は本来給付すべき所要額と当初調整給付額との差額、不足額給付2は原則4万円、国外居住者は3万円。受付期間は令和７年１０月１５日から令和７年１１月１４日まで。
okinawa-official-007-022-2026	渡名喜村	渡名喜村 渡名喜村給付金・物価高騰対応支援給付金	３万円を支給	http://www.vill.tonaki.okinawa.jp/detail.jsp?id=104509&type=TopicsTopPage&select=&funcid=2&editMode=	物価高騰対応支援給付金。電気・ガス・食料品等の価格高騰対策として、令和６年度住民税非課税世帯に対して１世帯当たり３万円を支給。同一世帯に１８歳以下の児童がいる場合は１人当たり２万円を追加給付。対象者は令和６年１２月１３日時点で渡名喜村の住民基本台帳に登録され、令和６年度の住民税が非課税となった世帯。申請期限は令和７年７月２５日。
