score	organization	title	url	evidence
30	粟国村	粟国村離島患者等通院費助成事業について	https://www.vill.aguni.okinawa.jp/kennkouhuskusi/ritokan/1210.html	粟国村離島患者等通院費助成事業について／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 健康・福祉 粟国村離島患者等通院費助成事業 粟国村離島患者等通院費助成事業について 粟国村離島患者等通院費助成事業について Tweet 更新日：2026年04月02日 粟国村では、妊産婦の方や専門的な治療が必要で、長期的かつ定期的な治療が必要となる方への経済的負担を軽減することを目的として、渡航費及び宿泊費の一部を助成
30	粟国村	子ども・子育て支援金制度について	https://www.vill.aguni.okinawa.jp/kennkouhuskusi/kokuho_kouki/1260.html	子ども・子育て支援金制度について／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 健康・福祉 国保・後期 子ども・子育て支援金制度について 子ども・子育て支援金制度について Tweet 更新日：2025年10月28日 子ども・子育て支援金制度について 少子化・人口減少が危機的な状況にある中、「こども未来戦略」（令和5年12月22日閣議決定）において、児童手当の抜本的拡充など、年3.6兆円規模のこども・子育
30	粟国村	妊娠・出産	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/892.html	妊娠・出産／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 子育て・教育 民生課からのお知らせ 妊娠・出産 妊娠・出産 Tweet 更新日：2024年03月01日 粟国村の妊娠～出産までのサポート体制について 粟国村では、下記のサービス体制を整えて粟国で安心して妊娠・出産を迎えれるようにサポートします。 妊娠～出産まで ＊親子健康手帳（母子手帳） 赤ちゃんの妊娠から出産、出産後の成長を記録する大切な1冊の
28	粟国村	障がい者支援	https://www.vill.aguni.okinawa.jp/kennkouhuskusi/syougai/index.html	障がい者支援／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 健康・福祉 障がい者支援 障がい者支援 ※下記に記載されている対象者要件以外にも、 障害名や障害程度、所得制限、世帯状況等の要件 があります。また、事前に 申請した場合のみ 助成・給付対象になるものがございますので、ご利用の前には必ずお問い合わせください。 手帳交付 手帳交付 No 事業名 取扱内容 1 各種手帳の交付(身体/精神/療育) 身体
25	粟国村	物価高騰対応重点支援地方創生臨時交付金	https://www.vill.aguni.okinawa.jp/sonsei/jigyou_houkou/1007.html	物価高騰対応重点支援地方創生臨時交付金／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 村政情報 事業報告 物価高騰対応重点支援地方創生臨時交付金 物価高騰対応重点支援地方創生臨時交付金 Tweet 更新日：2026年06月26日 物価高騰対応重点支援地方創生臨時交付金（令和5年度事業の公開） (PDFファイル: 76.8KB) 物価高騰対応重点支援地方創生臨時交付金（令和6年度事業の公開） (PDFファ
24	粟国村	児童扶養手当について	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/1022.html	児童扶養手当について／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 子育て・教育 民生課からのお知らせ 児童扶養手当について 児童扶養手当について Tweet 更新日：2024年08月05日 児童扶養手当に関する大切なお知らせ 令和6年11月1日から法律の改正に伴い所得限度額と第3子以降の加算額が引き上げられます。詳細は下記の資料をご参照ください。 民生課からのお知らせ 沖縄県 粟国村役場 〒901-3
23	粟国村	ひとり親家庭支援奨学金制度	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/1125.html	ひとり親家庭支援奨学金制度／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 子育て・教育 民生課からのお知らせ ひとり親家庭支援奨学金制度 ひとり親家庭支援奨学金制度 Tweet 更新日：2025年03月06日 2025年度 「夢を応援基金」『ひとり親家庭支援奨学金制度』給付型奨学金募集案内 一般財団法人全国母子寡婦福祉団体協議会より、みだしの件で募集案内がされています。 詳細については添付している資料の
23	粟国村	母子及び父子家庭等医療費助成事業の対象拡大について(1)	https://www.vill.aguni.okinawa.jp/kosodate/minseijyouhou/952.html	母子及び父子家庭等医療費助成事業の対象拡大について(1)／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 子育て・教育 民生課からのお知らせ 母子及び父子家庭等医療費助成事業の対象拡大について(1) 母子及び父子家庭等医療費助成事業の対象拡大について(1) Tweet 更新日：2025年03月21日 母子及び父子家庭等医療費助成事業の対象拡大について 令和6年5月より、母子及び父子家庭等医療費助成の補助対
16	粟国村	介護保険制度	https://www.vill.aguni.okinawa.jp/kennkouhuskusi/koureisyakaigo/1128.html	介護保険制度／粟国村 スマートフォン版を表示 本文へ 文字サイズ 背景色変更 Foreign Language くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 ホーム くらし・手続き 子育て・教育 健康・福祉 文化・スポーツ 事業者向け 村政情報 Foreign Languages PCサイトを見る メニューを閉じる 現在のページ ホーム 健康・福祉 高齢者（介護保険） 介護保険制度 介護保険制度 Tweet 更新日：2025年03月04日 介護保険制度について 高齢化社会を迎え、介護を必要とする方が増え、本人はもちろん、介護をする家族にとっても大きな負担となっています。介護保険は、介護が必要になっても、住み慣れた地域で安心して暮せるように、介護を社会全体で支えていく制度です。
30	座間味村	（再掲）座間味村定額減税補足給付金（不足額給付）支給のお知らせ	https://www.vill.zamami.okinawa.jp/kurashi/kyufukin/1771999167/	（再掲）座間味村定額減税補足給付金（不足額給付）支給のお知らせ | 座間味村役場公式ホームページ メインコンテンツへスキップ 防災情報 観光情報 各種お問い合わせ先 組織一覧 閲覧支援 Language 情報を 探す くらしの情報 船舶情報 防災・安全 観光・移住 座間味村について 事業者の方へ 閉じる カテゴリ別に探す くらしの情報 戸籍・住民票・証明 税金 保険・年金 健康・医療・福祉 子育て・教育 生活・インフラ・ごみ 公共施設・公共交通 くらしの問い合わせ先 マイナンバー 船舶情報 料金・時刻表 乗船手続き English Information for Visitors 貨物受付について 村内航路「みつしま」 船舶に関するお問い合わせ 防災・安全 防災 緊急連絡先一覧 座間味村消防団 観光・移住 座間
