slug	organization	title	maxAmount	url	evidence
saga-official-001-001-2026	佐賀市	佐賀市 【受付開始前】大学等を卒業し、市内企業等に就業されている方を対象に奨学金返還の支援を行います	上限20万円	https://www.city.saga.lg.jp/kurashi/sumai/1/716.html	【受付開始前】大学等を卒業し、市内企業等に就業されている方を対象に奨学金返還の支援を行います／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng V
saga-official-001-002-2026	佐賀市	佐賀市 高齢者等・非課税世帯に対する生活支援金	1人あたり5,000円	https://www.city.saga.lg.jp/kenko-fukushi/fukushi/12/7886.html	高齢者等・非課税世帯に対する生活支援金／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t bahasa Indonesia
saga-official-001-003-2026	佐賀市	佐賀市 佐賀県外から佐賀市に移住される方へ未来につなぐさが移住支援事業補助金を交付します	支給額単身60万円	https://www.city.saga.lg.jp/kurashi/sumai/1/715.html	佐賀県外から佐賀市に移住される方へ未来につなぐさが移住支援事業補助金を交付します／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#787
saga-official-001-004-2026	佐賀市	佐賀市 佐賀市保育士就職支援金給付	公式ページ記載の給付額・支援額に従う	https://www.city.saga.lg.jp/kosodate-kyoiku/mokuteki/8/732.html	佐賀市保育士就職支援金給付／佐賀市公式ホームページ スマートフォン版を表示 本文へ キーワードで検索する 検索 目的から探す 年齢・対象から探す 施設から探す 背景色変更 文字サイズ ルビふり ルビをけす やさしい 日本語 やさしい 日本語をけす 音声 読み上げ 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879
saga-official-001-005-2026	佐賀市	佐賀市 東京圏から佐賀市に移住される方へ移住支援金を交付します	1人につき100万円	https://www.city.saga.lg.jp/kurashi/sumai/1/714.html	東京圏から佐賀市に移住される方へ移住支援金を交付します／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t bahasa In
saga-official-001-006-2026	佐賀市	佐賀市 幼児教育・保育の無償化	月額25,700円	https://www.city.saga.lg.jp/kosodate-kyoiku/shisetsu/1/6428.html	幼児教育・保育の無償化／佐賀市公式ホームページ スマートフォン版を表示 本文へ キーワードで検索する 検索 目的から探す 年齢・対象から探す 施設から探す 背景色変更 文字サイズ ルビふり ルビをけす やさしい 日本語 やさしい 日本語をけす 音声 読み上げ 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t
saga-official-001-007-2026	佐賀市	佐賀市 移住・定住に関する支援制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.city.saga.lg.jp/kurashi/sumai/1/7574.html	移住・定住に関する支援制度／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t bahasa Indonesia GO Sel
saga-official-001-008-2026	佐賀市	佐賀市 空き家改修費助成制度について	助成額空き家の改修経費に要した経費の2分の1に相当する額（その額に1,000円	https://www.city.saga.lg.jp/kurashi/sumai/1/1157.html	空き家改修費助成制度について／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t bahasa Indonesia GO Se
saga-official-001-009-2026	佐賀市	佐賀市 空き家事前診断費助成制度について	助成額補助対象経費に3分の2を乗じて得た額（千円未満の端数があるときは、その端数を切り捨てた額）又は10万円	https://www.city.saga.lg.jp/kurashi/sumai/1/1158.html	空き家事前診断費助成制度について／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t bahasa Indonesia GO
saga-official-001-010-2026	佐賀市	佐賀市 市街化調整区域の空き家に関する相談・支援制度	助成額：60万円	https://www.city.saga.lg.jp/kurashi/sumai/2/8279.html	市街化調整区域の空き家に関する相談・支援制度／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） &#54620;&#44397;&#50612; Ti&#7871;ng Vi&#7879;t bahasa Indones
