score	org	title	url	snippet
26	伊万里市	「空き家情報バンク」への登録物件を募集しています！	https://www.city.imari.lg.jp/12003.htm	「空き家情報バンク」への登録物件を募集しています！/伊万里市 本文にジャンプします メニューにジャンプします 「空き家情報バンク」への登録物件を募集しています！ 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレンダーから探す よくある質問
26	伊万里市	一部負担金の減免	https://www.city.imari.lg.jp/4406.htm	一部負担金の減免/伊万里市 本文にジャンプします メニューにジャンプします 一部負担金の減免 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレンダーから探す よくある質問 くらしの情報 安全・安心 市民活動 観光・文化・イベント 市の産業・
26	伊万里市	引越しに伴う高齢者対象の手当の手続き	https://www.city.imari.lg.jp/4362.htm	引越しに伴う高齢者対象の手当の手続き/伊万里市 本文にジャンプします メニューにジャンプします 引越しに伴う高齢者対象の手当の手続き 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレンダーから探す よくある質問 くらしの情報 安全・安心 市
26	伊万里市	引越しに伴う子ども対象の手当の手続き	https://www.city.imari.lg.jp/5713.htm	引越しに伴う子ども対象の手当の手続き/伊万里市 本文にジャンプします メニューにジャンプします 引越しに伴う子ども対象の手当の手続き 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレンダーから探す よくある質問 くらしの情報 安全・安心 市
26	伊万里市	環境保全型農業直接支払交付金について	https://www.city.imari.lg.jp/25142.htm	環境保全型農業直接支払交付金について/伊万里市 本文にジャンプします メニューにジャンプします 環境保全型農業直接支払交付金について 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレンダーから探す よくある質問 くらしの情報 安全・安心 市
26	伊万里市	結婚・離婚に伴う子ども対象の手当の手続き	https://www.city.imari.lg.jp/5710.htm	結婚・離婚に伴う子ども対象の手当の手続き/伊万里市 本文にジャンプします メニューにジャンプします 結婚・離婚に伴う子ども対象の手当の手続き 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレンダーから探す よくある質問 くらしの情報 安全・
26	伊万里市	佐賀県外で予防接種を希望される場合の費用助成（償還払い）について	https://www.city.imari.lg.jp/20948.htm	佐賀県外で予防接種を希望される場合の費用助成（償還払い）について/伊万里市 本文にジャンプします メニューにジャンプします 佐賀県外で予防接種を希望される場合の費用助成（償還払い）について 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレン
26	伊万里市	住宅改修費の支給	https://www.city.imari.lg.jp/4692.htm	住宅改修費の支給/伊万里市 本文にジャンプします メニューにジャンプします 住宅改修費の支給 緊急情報 閲覧補助 SUPPORT 探す 閲覧補助 SUPPORT Foreign Languages 音声を読み上げ ふりがな 色 色変更 文字 拡大 標準 サイトマップ サイトの考え方 お問い合わせ 探す 検索 組織から探す 施設から探す カレンダーから探す よくある質問 くらしの情報 安全・安心 市民活動 観光・文化・イベント 市の産業・
26	佐賀市	【受付開始前】大学等を卒業し、市内企業等に就業されている方を対象に奨学金返還の支援を行います	https://www.city.saga.lg.jp/kurashi/sumai/1/716.html	【受付開始前】大学等を卒業し、市内企業等に就業されている方を対象に奨学金返還の支援を行います／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia GO Sel
26	佐賀市	高齢者等・非課税世帯に対する生活支援金	https://www.city.saga.lg.jp/kenko-fukushi/fukushi/12/7886.html	高齢者等・非課税世帯に対する生活支援金／佐賀市公式ホームページ スマートフォン版を表示 本文へ 緊急情報があります。 確認する 緊急情報を閉じる メニュー 閉じる キーワードで検索をする 検索 ページIDで検索をする 検索 言語選択 Select Language English 中文（繁体） 中文（簡体） 한국어 Tiếng Việt bahasa Indonesia GO Select your language 閲覧支援 を開く
