organization	title	url	status	score	evidence
江北町		https://www.town.kouhoku.saga.jp/	200	18	佐賀県江北町 ヘッダーをスキップ 本文へジャンプ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 文字サイズ 背景色 グローバルナビゲーションをスキップ くらし・環境・手続き 医療・福祉・介護 子育て・教育 産業・就労・事業者 町の情報 観光・文化・スポーツ 各種証明・手続き 戸籍の届出 住所変更の届出（転入・転出・転居） 印鑑登録 各種証明書の交付（住民票・戸籍・税証明など） マイナンバーカード・住民基本台帳カード 本人通知制度 各種手続き 税金 個人住民税（町県民税）
江北町		https://www.town.kouhoku.saga.jp/sitemap.html	200	18	サイトマップ / 佐賀県江北町 ヘッダーをスキップ 本文へジャンプ Foreign Language English 中文(简化字) 中文(繁體字) 한국어 文字サイズ 背景色 グローバルナビゲーションをスキップ くらし・環境・手続き 医療・福祉・介護 子育て・教育 産業・就労・事業者 町の情報 観光・文化・スポーツ 各種証明・手続き 戸籍の届出 住所変更の届出（転入・転出・転居） 印鑑登録 各種証明書の交付（住民票・戸籍・税証明など） マイナンバーカード・住民基本台帳カード 本人通知制度 各種手続き 税金 個人住
太良町	くらし・手続き	https://www.town.tara.lg.jp/kurashi/	200	26	くらし・手続き ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本部 太
太良町	くらし・手続き	https://www.town.tara.lg.jp/kurashi.html	200	26	くらし・手続き ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本部 太
太良町	子ども・子育て	https://www.town.tara.lg.jp/kurashi/_1647.html	200	26	子ども・子育て ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本部 太
太良町	健康・福祉	https://www.town.tara.lg.jp/kenkou.html	200	26	健康・福祉 ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本部 太良町
太良町	高齢者世帯のエアコン購入費を補助します	https://www.town.tara.lg.jp/kenkou/_1030/_7693.html	200	26	高齢者世帯のエアコン購入費を補助します ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域
太良町	保育料完全無料化について	https://www.town.tara.lg.jp/kurashi/_1647/_7570.html	200	26	保育料完全無料化について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消
太良町	乳児等通園支援事業（こども誰でも通園制度）について	https://www.town.tara.lg.jp/kurashi/_1647/_7420.html	200	26	乳児等通園支援事業（こども誰でも通園制度）について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ
太良町	木育キャラバンが今年も太良町にやってくる！！	https://www.town.tara.lg.jp/kurashi/_1647/_6374.html	200	26	木育キャラバンが今年も太良町にやってくる！！ ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地
太良町	太良町子ども家庭総合支援拠点	https://www.town.tara.lg.jp/kurashi/_1647/_6751.html	200	26	太良町子ども家庭総合支援拠点 ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組
太良町	太良町子育てガイドブック	https://www.town.tara.lg.jp/kurashi/_1647/_6614.html	200	26	太良町子育てガイドブック ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消
太良町	太良町における保育施設等の避難情報発令時対応ガイドライン	https://www.town.tara.lg.jp/kurashi/_1647/_4550.html	200	26	太良町における保育施設等の避難情報発令時対応ガイドライン ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知
太良町	児童虐待について	https://www.town.tara.lg.jp/kurashi/_1647/_1168.html	200	26	児童虐待について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本部
太良町	ヤングケアラーについて	https://www.town.tara.lg.jp/kurashi/_1647/_6989.html	200	26	ヤングケアラーについて ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防
太良町	保育所等	https://www.town.tara.lg.jp/kurashi/_1647/_1654.html	200	26	保育所等 ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本部 太良町の
太良町	第2子保育料無料化について	https://www.town.tara.lg.jp/kurashi/_1647/_4038.html	200	26	第2子保育料無料化について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合
太良町	副食費の助成について	https://www.town.tara.lg.jp/kurashi/_1647/_4036.html	200	26	副食費の助成について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本
太良町	放課後児童クラブの利用について	https://www.town.tara.lg.jp/kurashi/_1647/_1699.html	200	26	放課後児童クラブの利用について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏
太良町	母子・児童福祉	https://www.town.tara.lg.jp/kurashi/_1647/_1655.html	200	26	母子・児童福祉 ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消防本部 太
太良町	病児・病後児保育について	https://www.town.tara.lg.jp/kurashi/_1647/_1171.html	200	26	病児・病後児保育について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏組合消
太良町	子どもの医療費助成制度について	https://www.town.tara.lg.jp/kurashi/_1647/_1112.html	200	26	子どもの医療費助成制度について ｜太良町ホームページ 本文へ Foreign Language 文字サイズ 標準 拡大 背景色 白 青 黒 くらし・手続き 注目情報一覧 各種証明書交付 戸籍・届出・印鑑登録 口座振替のWeb申込 教育委員会 子ども・子育て 税金 移住・定住 結婚 環境・衛生 動物・ペット 水道 し尿・浄化槽・漁業集落排水 住宅 防災 消費生活相談 くらしのカレンダー その他各種相談 生活インフラ 防災・安全安心 太良町の警報・注意報 防災行政無線について 防災係からのお知らせ 杵藤地区広域市町村圏
