municipalityCode,municipalityName,rescored,strongHits,hasAmount,hasTarget,hasDeadline,title,h1,sourceUrl,snippet
"22210","富士市","35","補助金|助成金|給付金|手当|医療費助成|利子補給","true","true","true","富士市の補助・助成","富士市の補助・助成","https://www.city.fuji.shizuoka.jp/1005330000/p008167.html","富士市の補助・助成 | 静岡県富士市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 富士市 いただきへの、はじまり 緊急情報 閉じる 閲覧サポート 閲覧サポート 文字サイズ・ 色合い変更 音声読み上げ ふりがなON Language English Portugu&ecirc;s Espa&ntilde;ol 中文 Tagalog Tiếng việt Fait &agrave; la main le masque! 日本語 検索& MENU キーワードから探す キーワードから探す ページIDから探す ページIDから探す 注目ワード イベントカレンダー 職員採用情報 富士市くらし応援デジタル商品券 富士市制施行60周年記念アンバサダー「ハローキティ」 市指定ごみ袋 カテゴリ別に探す 防災・安全安心 防災・安全安心 暮らし・手続き 暮らし・手続き 子育て・教育 子育て・教育 健康・医療・福祉 健康・医療・福祉 観光・文化・スポーツ 観光・文化・スポーツ 都市整備・環境 都市整備"
"22214","藤枝市","26","補助金|助成金|奨励金|手当|医療費助成","false","true","true","手当・助成","手当・助成","https://www.city.fujieda.shizuoka.jp/mokuteki/teate_josei/index.html","手当・助成／藤枝市ホームページ 本文へ メインメニュー 組織から探す よくあるご質問 相談窓口 お問い合わせ ホーム 市長の部屋 安全・安心情報 便利なサービス 藤枝市議会 事業者向け情報 目的から探す くらし・手続き サブメニュー よく見られるページ 子育て・教育 サブメニュー よく見られるページ 健康・福祉 サブメニュー よく見られるページ 文化・スポーツ・観光 サブメニュー よく見られるページ 都市整備・環境 サブメニュー よく見られるページ 産業・ビジネス サブメニュー よく見られるページ 市政情報 サブメニュー よく見られるページ メニューを閉じる サイト内検索 検索を閉じる メインメニュー くらし・手続き くらし・手続きトップ よく見られるページ 子育て・教育 子育て・教育トップ よく見られるページ 健康・福祉 健康・福祉トップ よく見られるページ 文化・スポーツ・観光 文化・スポーツ・観光トップ よく見られるページ 都市整備・環境 都市整備・環境トップ よく見られるページ 産業・ビジネス 産業・ビジネストップ よく見られるページ 市政情報 市政情報トップ よく見られるペー"
"22211","磐田市","23","補助金|助成金|給付金|手当|医療費助成","false","true","false","子育て情報「わわわ」","子育て情報「わわわ」","https://www.city.iwata.shizuoka.jp/1006547/index.html","子育て情報「わわわ」｜磐田市公式ウェブサイト 当ホームページではjavascriptを使用しています。 javascriptの使用を有効にしなければ、一部の機能が正確に動作しない恐れがあります。お手数ですがjavascriptの使用を有効にしてください。 エンターキーを押すと、ナビゲーション部分をスキップし本文へ移動します。 サイト内検索 ページ番号検索 サイト内検索 ページ番号検索 サイトマップ Foreign language 文字サイズ・配色の変更 トピックス一覧 よくある質問 現在の位置： トップページ > 子育て情報「わわわ」 ここから本文です。 子育て情報「わわわ」 ページ番号 1006547 いわたの子育て 第7回 「日本子育て支援大賞2026」を受賞 いわたの子育ての特徴 赤ちゃんに出会うまで 不妊等治療費助成 妊娠希望者等への風しん予防接種費助成 低所得の妊婦に対する初回産科受診料助成 妊娠届・母子手帳交付 妊婦のための支援給付制度 妊婦健康診査 RSウイルス母子免疫ワクチン しずおか子育て優待カード ショートステイ（子育て短期支援事業） 保健師による子育て相談 家事"
"22212","焼津市","23","支援金|手当|医療費助成|貸付|減免","false","true","false","健康・福祉","健康・福祉","https://www.city.yaizu.lg.jp/health-welfare/index.html","健康・福祉｜焼津市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 焼津市 総合トップ よくある質問 Foreign Language 閲覧支援 文字の大きさ・色合い変更 ふりがなON 市政情報 緊急情報 メニュー キーワード検索 検索の使い方 分類別メニュー 閉じる ホーム 生活便利ナビ 閉じる ピックアップ 閉じる チャットボット くらし・手続き こども・教育 健康・福祉 文化・スポーツ しごと・産業 防災・安全 焼津市ホームページ &Gt; 健康・福祉 ここから本文です。 健康・福祉 新着情報 2026年7月13日 日赤事業 2026年7月13日 保護司 2026年7月10日 健康応援キャンペーン「やいづ健康マイレージdeごほうび」 2026年7月10日 アルコール・ギャンブル依存症等でお困りの皆様へ 2026年7月10日 こころの不調でお悩みの方へ 続きを見る 新着情報一覧を見る 健康 医療 高齢者福祉・介護 障害者福祉 その他福祉・生活保護 義援金 新型コロナウイルス"
"22212","焼津市","22","補助金|給付金|手当|医療費助成","true","true","false","各種手当・助成制度","各種手当・助成制度","https://www.city.yaizu.lg.jp/child-edu/kodomo/mokuteki/application/index.html","各種手当・助成制度｜焼津市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 焼津市 総合トップ よくある質問 Foreign Language 閲覧支援 文字の大きさ・色合い変更 ふりがなON 市政情報 緊急情報 メニュー キーワード検索 検索の使い方 分類別メニュー 閉じる ホーム 生活便利ナビ 閉じる ピックアップ 閉じる チャットボット くらし・手続き こども・教育 健康・福祉 文化・スポーツ しごと・産業 防災・安全 焼津市ホームページ &Gt; こども・教育 &Gt; 子育て応援ポータル &Gt; 目的別で探す &Gt; 各種手当・助成制度 ここから本文です。 各種手当・助成制度 妊娠・出産 妊娠・出産時に参考になるページをまとめました。安心して出産・子育てができる環境整備を進めています。 児童手当 児童手当の対象者や金額等については、こちらをご確認ください。 子ども医療費助成 子育て支援の一環として、子どもが病気やけがをしたときに、安心して治療を受けられるよう子ども"
"22210","富士市","21","補助金|給付金|手当|免除","false","true","true","暮らし・手続き","暮らし・手続き","https://www.city.fuji.shizuoka.jp/kurashi/index.html","暮らし・手続き | 静岡県富士市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 富士市 いただきへの、はじまり 緊急情報 閉じる 閲覧サポート 閲覧サポート 文字サイズ・ 色合い変更 音声読み上げ ふりがなON Language English Portugu&ecirc;s Espa&ntilde;ol 中文 Tagalog Tiếng việt Fait &agrave; la main le masque! 日本語 検索& MENU キーワードから探す キーワードから探す ページIDから探す ページIDから探す 注目ワード イベントカレンダー 職員採用情報 富士市くらし応援デジタル商品券 富士市制施行60周年記念アンバサダー「ハローキティ」 市指定ごみ袋 カテゴリ別に探す 防災・安全安心 防災・安全安心 暮らし・手続き 暮らし・手続き 子育て・教育 子育て・教育 健康・医療・福祉 健康・医療・福祉 観光・文化・スポーツ 観光・文化・スポーツ 都市整備・環境 都市整備・環"
"22210","富士市","21","補助金|支援金|奨励金|手当","false","true","true","しごと・産業","しごと・産業","https://www.city.fuji.shizuoka.jp/shigoto/index.html","しごと・産業 | 静岡県富士市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 富士市 いただきへの、はじまり 緊急情報 閉じる 閲覧サポート 閲覧サポート 文字サイズ・ 色合い変更 音声読み上げ ふりがなON Language English Portugu&ecirc;s Espa&ntilde;ol 中文 Tagalog Tiếng việt Fait &agrave; la main le masque! 日本語 検索& MENU キーワードから探す キーワードから探す ページIDから探す ページIDから探す 注目ワード イベントカレンダー 職員採用情報 富士市くらし応援デジタル商品券 富士市制施行60周年記念アンバサダー「ハローキティ」 市指定ごみ袋 カテゴリ別に探す 防災・安全安心 防災・安全安心 暮らし・手続き 暮らし・手続き 子育て・教育 子育て・教育 健康・医療・福祉 健康・医療・福祉 観光・文化・スポーツ 観光・文化・スポーツ 都市整備・環境 都市整備・環境"
"22210","富士市","21","補助金|支援金|手当|免除","false","true","true","妊娠・出産","妊娠・出産","https://www.city.fuji.shizuoka.jp/kosodate/guide/ninshin.html","妊娠・出産 | 静岡県富士市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 富士市 いただきへの、はじまり 緊急情報 閉じる 閲覧サポート 閲覧サポート 文字サイズ・ 色合い変更 音声読み上げ ふりがなON Language English Portugu&ecirc;s Espa&ntilde;ol 中文 Tagalog Tiếng việt Fait &agrave; la main le masque! 日本語 検索& MENU キーワードから探す キーワードから探す ページIDから探す ページIDから探す 注目ワード イベントカレンダー 職員採用情報 富士市くらし応援デジタル商品券 富士市制施行60周年記念アンバサダー「ハローキティ」 市指定ごみ袋 カテゴリ別に探す 防災・安全安心 防災・安全安心 暮らし・手続き 暮らし・手続き 子育て・教育 子育て・教育 健康・医療・福祉 健康・医療・福祉 観光・文化・スポーツ 観光・文化・スポーツ 都市整備・環境 都市整備・環境 "
"22210","富士市","21","給付金|手当|貸付|利子補給","false","true","true","就職・退職","就職・退職","https://www.city.fuji.shizuoka.jp/lifeevent/p007773.html","就職・退職 | 静岡県富士市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 富士市 いただきへの、はじまり 緊急情報 閉じる 閲覧サポート 閲覧サポート 文字サイズ・ 色合い変更 音声読み上げ ふりがなON Language English Portugu&ecirc;s Espa&ntilde;ol 中文 Tagalog Tiếng việt Fait &agrave; la main le masque! 日本語 検索& MENU キーワードから探す キーワードから探す ページIDから探す ページIDから探す 注目ワード イベントカレンダー 職員採用情報 富士市くらし応援デジタル商品券 富士市制施行60周年記念アンバサダー「ハローキティ」 市指定ごみ袋 カテゴリ別に探す 防災・安全安心 防災・安全安心 暮らし・手続き 暮らし・手続き 子育て・教育 子育て・教育 健康・医療・福祉 健康・医療・福祉 観光・文化・スポーツ 観光・文化・スポーツ 都市整備・環境 都市整備・環境 "
"22210","富士市","21","補助金|給付金|手当|医療費助成","false","true","true","手当・助成","手当・助成","https://www.city.fuji.shizuoka.jp/kosodate/guide/teate.html","手当・助成 | 静岡県富士市 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 富士市 いただきへの、はじまり 緊急情報 閉じる 閲覧サポート 閲覧サポート 文字サイズ・ 色合い変更 音声読み上げ ふりがなON Language English Portugu&ecirc;s Espa&ntilde;ol 中文 Tagalog Tiếng việt Fait &agrave; la main le masque! 日本語 検索& MENU キーワードから探す キーワードから探す ページIDから探す ページIDから探す 注目ワード イベントカレンダー 職員採用情報 富士市くらし応援デジタル商品券 富士市制施行60周年記念アンバサダー「ハローキティ」 市指定ごみ袋 カテゴリ別に探す 防災・安全安心 防災・安全安心 暮らし・手続き 暮らし・手続き 子育て・教育 子育て・教育 健康・医療・福祉 健康・医療・福祉 観光・文化・スポーツ 観光・文化・スポーツ 都市整備・環境 都市整備・環境 "
