"municipality","rescore","priority","status","title","url","snippet"
"函南町","81","strong","200","精神障害者入院医療費助成制度／函南町","https://www.town.kannami.shizuoka.jp/life_event/koreisha_fukushikaigo/2583.html","精神障害者入院医療費助成制度／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く 行政情"
"函南町","79","strong","200","不妊・不育症治療助成制度／函南町","https://www.town.kannami.shizuoka.jp/iryo_kenko_fukushi/iryo_kenko/4518.html","31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO PC版で表示する 閉じる 現在のページ ホーム 医療・健康・福祉 医療・健康 不妊・不育症治療助成制度 不妊・不育症治療助成制度 更新日：2024年12月16日 ページID : 4518 函南町では少子化対策の一環として、不妊・不育症治療を受けられたご夫婦に対し、治療に要した費用の一部を助成しています。 事前準備 マイナンバーカードによる「限度額適用認定証」をご利用ください マイナンバーカードを健康保険証として利用し、診療歴情報の提供に同意すると、事前の手続きなく、高額療養費制度における限度額を超える支払いが免除されます。限度額適用認定の事前申請は不要となりますので、ぜひご利"
"函南町","61","strong","200","省エネ家電購入費補助金／函南町","https://www.town.kannami.shizuoka.jp/kurashi_tetsuzuki/kankyohozen/2/4276.html","省エネ家電購入費補助金／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く 行政情報 カ"
"函南町","59","strong","200","災害情報などをメールや函南町公式SNSで配信しています！／函南町","https://www.town.kannami.shizuoka.jp/kurashi_tetsuzuki/bosai_shobo_kotsuanzen/1/1/2488.html","これまでの同報無線やホームページなどとあわせて、さまざまな情報を発信していきますので、多くの皆さんのご利用をお願いします。 また、「かんなみ安心情報メール」と「函南町公式LINE」については、 登録制の情報配信サービス となっています。どちらも登録の際に受信を希望する情報（配信カテゴリ）を選択してください。 このページでは、メール配信サービス「かんなみ安心情報メール」についてお知らせします。 ※ 令和6年11月から、東京電力パワーグリッドが配信する停電情報を受信できるようになりました。（函南町内全域が対象で、昼夜問わず配信されますので、ご承知おきください。） 函南町公式LINEなどについては、こちらをご確認ください。 「かんなみ安心情報メール」の登録手順 「かんなみ安心情報メール」登録手順の"
"函南町","57","strong","200","令和8年度成人健康診査のご案内／函南町","https://www.town.kannami.shizuoka.jp/iryo_kenko_fukushi/iryo_kenko/4231.html","令和8年度成人健康診査のご案内／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く 行政"
"函南町","54","strong","200","令和8年4月1日から高齢者肺炎球菌予防接種が変わります／函南町","https://www.town.kannami.shizuoka.jp/life_event/koreisha_fukushikaigo/2582.html","令和8年4月1日から高齢者肺炎球菌予防接種が変わります／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり"
"函南町","51","low","200","制度・概要／函南町","https://www.town.kannami.shizuoka.jp/sangyo_machizukuri/sangyoshinko/6/2956.html","1616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO PC版で表示する 閉じる 現在のページ ホーム 産業・まちづくり 産業振興 ふるさと納税 制度・概要 制度・概要 更新日：2026年07月06日 ページID : 2956 猫踊り ふるさと納税とは 函南町のまちづくりを応援しようとする人からのご寄附を財源としてさまざまな事業に活用し、町民の人には快適な環境で安心して暮らせるまちづくりに、函南町を訪れた皆さんには喜びや安らぎを与え、魅力あるもてなしのまちづくりに役立てます。 ふるさとに貢献したい！ふるさとを応援したい！ふるさとがもっと元気になってもらいたい！という全国の皆さんから善意・厚意を寄附という形にして、函南町のより良いまち"
"函南町","48","low","200","函南町Web口座振替受付サービス／函南町","https://www.town.kannami.shizuoka.jp/kurashi_tetsuzuki/zeikin/1/3811.html","函南町Web口座振替受付サービス／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く 行"
"函南町","41","low","200","手当・助成／函南町","https://www.town.kannami.shizuoka.jp/life_event/kosodate/4104.html","手当・助成／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く 行政情報 カテゴリ6を開"
"函南町","40","medium","200","障害者福祉／函南町","https://www.town.kannami.shizuoka.jp/iryo_kenko_fukushi/shogaishafukushi/index.html","障害者福祉／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く 行政情報 カテゴリ6を開"
"函南町","40","strong","200","国民健康保険／函南町","https://www.town.kannami.shizuoka.jp/life_event/koreisha_fukushikaigo/4100.html","サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO PC版で表示する 閉じる 現在のページ ホーム ライフイベントから探す 高齢者・福祉介護 国民健康保険 国民健康保険 ページID : 4100 国民健康保険の概要 国民健康保険への加入・脱退手続き 国民健康保険の届出 国民健康保険各証を紛失された場合、窓口で資格確認書の交付が受けられます 国民健康保険からの給付・支給 40歳以上の方は特定健康診査で生活習慣を見直しましょ"
"函南町","39","medium","200","介護保険／函南町","https://www.town.kannami.shizuoka.jp/life_event/koreisha_fukushikaigo/4098.html","サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO PC版で表示する 閉じる 現在のページ ホーム ライフイベントから探す 高齢者・福祉介護 介護保険 介護保険 ページID : 4098 介護保険制度 介護保険申請から利用まで 介護保険で利用できるサービスと費用 介護保険の届出 介護保険料 介護保険料・利用料の減免 介護保険料を納めないでいると 交通事故等（第三者行為）によって介護サービスを利用する場合 マイナンバー制度"
"函南町","38","medium","200","事業者向け情報／函南町","https://www.town.kannami.shizuoka.jp/jigyosha/index.html","事業者向け情報／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く 行政情報 カテゴリ6"
"函南町","36","low","200","こどもの居場所／函南町","https://www.town.kannami.shizuoka.jp/kosodate_kyoiku/3903.html","ish &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO PC版で表示する 閉じる 現在のページ ホーム 子育て・教育 こどもの居場所 こどもの居場所 更新日：2026年04月02日 ページID : 3903 こどもの居場所とは こどもが一人でも安心して過ごし、無料または低額で利用できる地域の居場所です。代表的なこどもの居場所をご紹介します。 こども食堂：食事の提供 学習支援：学習習慣の定着、基礎的な学力向上等のための自主学習の支援 遊び場の提供：自由に遊び、くつろぐことができる場の提供 その他：こども同士または地域住民との交流を行う場の提供 町内にあるこ"
"函南町","36","low","200","函南町子ども会活動推進事業費補助金／函南町","https://www.town.kannami.shizuoka.jp/shinseisho/4547.html","函南町子ども会活動推進事業費補助金／函南町 本文へ 文字サイズ 背景色 ルビふり ルビをけす 音声読み上げ やさしい日本語 やさしい日本語をけす Foreign Language English &#32321;&#39636;&#20013;&#25991; &#31616;&#20307;&#20013;&#25991; &#54620;&#44397;&#50612; GO くらし・手続き 子育て・教育 医療・健康・福祉 観光・文化・ スポーツ 産業・まちづくり 行政情報 サイト内検索 キーワード ページID くらし・手続き カテゴリ1を開く 子育て・教育 カテゴリ2を開く 医療・健康・福祉 カテゴリ3を開く 観光・文化・スポーツ カテゴリ4を開く 産業・まちづくり カテゴリ5を開く "
