slug	organization	title	maxAmount	url	evidence
tokushima-official-003-001-2026	石井町	石井町 幼児教育・保育の無償化に伴う利用料の償還払い手続きについて	月額３万７,０００円	https://www.town.ishii.lg.jp/docs/2019102500026/	幼児教育・保育の無償化に伴う利用料の償還払い手続きについて | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづく
tokushima-official-003-002-2026	石井町	石井町 石井町創業促進事業補助金について	上限10万円	https://www.town.ishii.lg.jp/docs/2017072700019/	石井町創業促進事業補助金について | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづくり TOP カテゴリ 分野
tokushima-official-003-003-2026	石井町	石井町 児童発達支援の利用者負担が無償化されます！	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.ishii.lg.jp/docs/2019092000018/	児童発達支援の利用者負担が無償化されます！ | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづくり TOP カテ
tokushima-official-003-004-2026	石井町	石井町 NHK放送受信料の減免について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.ishii.lg.jp/docs/2011031500382/	NHK放送受信料の減免について | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづくり TOP カテゴリ 分野
tokushima-official-003-005-2026	石井町	石井町 ひとり親家庭等医療費助成事業の助成対象が変わります	医療費の自己負担分等を助成	https://www.town.ishii.lg.jp/docs/2025090200022/	ひとり親家庭等医療費助成事業の助成対象が変わります | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづくり TO
tokushima-official-003-006-2026	石井町	石井町 【令和８年度受付終了】住まいのリフォーム応援事業補助金を利用しませんか！	補助金額（１）補助対象工事費（税抜）の２０％で、最高２０万円	https://www.town.ishii.lg.jp/docs/2023032000037/	【令和８年度受付終了】住まいのリフォーム応援事業補助金を利用しませんか！ | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事
tokushima-official-003-007-2026	石井町	石井町 妊婦の初回産科受診（妊娠判定）料の費用助成について	上限10,000円	https://www.town.ishii.lg.jp/docs/2023090700023/	妊婦の初回産科受診（妊娠判定）料の費用助成について | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづくり TO
tokushima-official-003-008-2026	石井町	石井町 乳児等通園支援事業（こども誰でも通園制度）利用申請について	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.ishii.lg.jp/docs/2026031600017/	乳児等通園支援事業（こども誰でも通園制度）利用申請について | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづく
tokushima-official-003-009-2026	石井町	石井町 【4/1開始】高齢者等外出支援事業 タクシー乗車は『顔認証デジタルチケット』で	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.ishii.lg.jp/docs/2025100100021/	【4/1開始】高齢者等外出支援事業 タクシー乗車は『顔認証デジタルチケット』で | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・
tokushima-official-003-010-2026	石井町	石井町 石井町骨髄等移植ドナー支援事業について	上限とする）【事業所】骨髄等の提供１回につき５万円	https://www.town.ishii.lg.jp/docs/2021063000057/	石井町骨髄等移植ドナー支援事業について | 石井町 本文へ ふりがなをつける よみあげる 文字の大きさ 拡大 標準 縮小 背景色 黒 青 標準 検索 支援ツール メニュー 検索方法 組織から探す よくある質問 お問い合わせ サイトマップ ふりがなと読み上げ音声は，人名，地名，用語等が正確に発音されない場合があります。 ページの言語を翻訳 くらし・手続き 子育て・教育 健康・福祉 観光・文化 産業・仕事 行政・まちづくり TOP 組織 健
