municipality	score	title	url	snippet
琴浦町	115	補助・助成・給付・免除 | 鳥取県琴浦町	https://www.town.kotoura.tottori.jp/zokusei/hojo/	補助・助成・給付・免除 | 鳥取県琴浦町 本文へ移動 ご利用案内 背景色 白 青 黒 ふりがなをつける よみあげる 文字サイズ 小さく 標準 大きく 鳥取県 琴浦町 スマートフォンサイト 携帯サイト くらし 届出・登録・証明・マイナンバー 環境・ごみ・動物・ペット・墓地 すまい・上下水道・道路・交通 税金・保険･年金 防災・安全 通信（防災無線機・TCC) しごと 自治会・地域・まちづくり 各種相談窓口 --> 子育て・学び 妊娠・出産 子育て 学校・教育 生涯学習・スポーツ 手当・給付金・支援金 人権・同和教育 --> 健康・福祉 健康づくり・介護予防 健診・がん検診 医療・保健 高齢者支援 障がい者支援 生活保護 地域福祉 --> 観光・文化 観光 歴史・文化 交流 --> 行政情報 町の概要・組織 行財政 広報・広聴・情報公開 施策・計画 産業 入札・契約 選挙 --> 移住ナビ 惑星コトウラ 各種申請 ダウンロード --> 補助・助成・給付・免除 TOP 属性 補助・助成・給付・免除 新着情報 RSS Atom 令和８年度 琴浦町健康経営モデル事業について （ 2026年7月1
琴浦町	97	奨学金の返還を助成します（琴浦町未来人材奨学金返還支援事業） | 鳥取県琴浦町	https://www.town.kotoura.tottori.jp/docs/2021032400031/	奨学金の返還を助成します（琴浦町未来人材奨学金返還支援事業） | 鳥取県琴浦町 本文へ移動 ご利用案内 背景色 白 青 黒 ふりがなをつける よみあげる 文字サイズ 小さく 標準 大きく 鳥取県 琴浦町 スマートフォンサイト 携帯サイト くらし 届出・登録・証明・マイナンバー 環境・ごみ・動物・ペット・墓地 すまい・上下水道・道路・交通 税金・保険･年金 防災・安全 通信（防災無線機・TCC) しごと 自治会・地域・まちづくり 各種相談窓口 --> 子育て・学び 妊娠・出産 子育て 学校・教育 生涯学習・スポーツ 手当・給付金・支援金 人権・同和教育 --> 健康・福祉 健康づくり・介護予防 健診・がん検診 医療・保健 高齢者支援 障がい者支援 生活保護 地域福祉 --> 観光・文化 観光 歴史・文化 交流 --> 行政情報 町の概要・組織 行財政 広報・広聴・情報公開 施策・計画 産業 入札・契約 選挙 --> 移住ナビ 惑星コトウラ 各種申請 ダウンロード --> TOP 組織 商工観光課 TOP 分野 しごと , 高校関連情報 TOP 属性 補助・助成・給付・免除 奨学金の返還を
南部町	93	移住のための支援制度 | 南部町で里山ぐらし	https://www.town.nanbu.tottori.jp/satoyama/iju/shien/	移住のための支援制度 | 南部町で里山ぐらし ※当サイトはJavaScriptが有効になっていないと正常に表示されません。ブラウザ設定でJavaScriptを有効にしてご利用ください。 MENU 行政 子育て 観光 お問い合わせ・相談窓口 移住の流れと暮らし情報 TOPに戻る 南部町ってどんな町？ 生涯活躍のまち構想とは？ 移住定住支援制度 南部町の施設 メニューを閉じる HOME ＞ 移住のための支援制度 Support system 移住のための支援制度 住まい 定住促進住まいづくり応援奨励金 新たに住宅を取得された方を対象に、奨励金を交付します。中学生以下の子どもを扶養している場合さらに加算されます。 ※ただし、R8年3月31日以前に既に定住促進奨励金を利用されている方は、そのまま定住促進奨励金を利用可能。 ※既に定住促進奨励金を利用されている方は、定住促進住まいづくり応援奨励金は利用不可。 未来を創る課 電話：0859-66-3113 子育て世代等応援定住促進奨励金 新婚や子育て世代の、民間賃貸住宅の家賃を補助します。 未来を創る課 電話：0859-66-3113 結婚新生活引
琴浦町	92	産業 | 鳥取県琴浦町	https://www.town.kotoura.tottori.jp/bunya/sangyo/	産業 | 鳥取県琴浦町 本文へ移動 ご利用案内 背景色 白 青 黒 ふりがなをつける よみあげる 文字サイズ 小さく 標準 大きく 鳥取県 琴浦町 スマートフォンサイト 携帯サイト くらし 届出・登録・証明・マイナンバー 環境・ごみ・動物・ペット・墓地 すまい・上下水道・道路・交通 税金・保険･年金 防災・安全 通信（防災無線機・TCC) しごと 自治会・地域・まちづくり 各種相談窓口 --> 子育て・学び 妊娠・出産 子育て 学校・教育 生涯学習・スポーツ 手当・給付金・支援金 人権・同和教育 --> 健康・福祉 健康づくり・介護予防 健診・がん検診 医療・保健 高齢者支援 障がい者支援 生活保護 地域福祉 --> 観光・文化 観光 歴史・文化 交流 --> 行政情報 町の概要・組織 行財政 広報・広聴・情報公開 施策・計画 産業 入札・契約 選挙 --> 移住ナビ 惑星コトウラ 各種申請 ダウンロード --> 産業 TOP 分野 行政情報 産業 新着情報 RSS Atom 令和８年度 琴浦町健康経営モデル事業について （ 2026年7月15日 すこやか健康課 ） 【参加者募集】 ミ
琴浦町	92	【募集：企業支援】琴浦町中小企業 省エネエアコン・LED照明導入緊急支援事業補助金のご案内 | 鳥取県琴浦町	https://www.town.kotoura.tottori.jp/docs/2026031200019/	【募集：企業支援】琴浦町中小企業 省エネエアコン・LED照明導入緊急支援事業補助金のご案内 | 鳥取県琴浦町 本文へ移動 ご利用案内 背景色 白 青 黒 ふりがなをつける よみあげる 文字サイズ 小さく 標準 大きく 鳥取県 琴浦町 スマートフォンサイト 携帯サイト くらし 届出・登録・証明・マイナンバー 環境・ごみ・動物・ペット・墓地 すまい・上下水道・道路・交通 税金・保険･年金 防災・安全 通信（防災無線機・TCC) しごと 自治会・地域・まちづくり 各種相談窓口 --> 子育て・学び 妊娠・出産 子育て 学校・教育 生涯学習・スポーツ 手当・給付金・支援金 人権・同和教育 --> 健康・福祉 健康づくり・介護予防 健診・がん検診 医療・保健 高齢者支援 障がい者支援 生活保護 地域福祉 --> 観光・文化 観光 歴史・文化 交流 --> 行政情報 町の概要・組織 行財政 広報・広聴・情報公開 施策・計画 産業 入札・契約 選挙 --> 移住ナビ 惑星コトウラ 各種申請 ダウンロード --> TOP 組織 商工観光課 TOP 分野 環境 , 商工業 TOP 属性 補助・助成・給付
北栄町	92	移住・定住ポータルサイト - 北栄町公式ホームページ	https://www.e-hokuei.net/site/ijuu-teijuu/	移住・定住ポータルサイト - 北栄町公式ホームページ ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 Foreign language やさしい日本語 もとに戻す 文字サイズ・配色の変更 閲覧補助 閲覧補助 文字サイズ 標準 拡大 背景色 標準 黒 青 ✕ Foreign language やさしい日本語 もとに戻す ページを一時保存する マイページ 情報を探す ✕ くらし・手続き くらし・手続き 健康・福祉 健康・福祉 子育て・教育 子育て・教育 しごと・産業 しごと・産業 生涯学習・文化・ スポーツ 生涯学習・文化・ スポーツ 町政情報 町政情報 くらし・手続きトップ 閉じる 防災・減災 防犯・安全・救急 届出・証明（戸籍・住民票など） 税金・保険料 国保・年金 住まい・暮らし 上下水道 自治会 交通・道路 町民協働・人権 健康・福祉トップ 閉じる 健康・予防・医療 高齢者福祉・介護 障がい福祉 福祉 子育て・教育トップ 閉じる 妊娠・出産 育児・保育 小
北栄町	92	移住・定住ポータルサイト - 北栄町公式ホームページ	https://www.e-hokuei.net/site/ijuu-teijuu/index.html	移住・定住ポータルサイト - 北栄町公式ホームページ ページの先頭です。 メニューを飛ばして本文へ 当サイトはJavaScriptを使用したコンテンツや機能を提供しています。ご利用の際はJavaScriptを有効にしてください。 Foreign language やさしい日本語 もとに戻す 文字サイズ・配色の変更 閲覧補助 閲覧補助 文字サイズ 標準 拡大 背景色 標準 黒 青 ✕ Foreign language やさしい日本語 もとに戻す ページを一時保存する マイページ 情報を探す ✕ くらし・手続き くらし・手続き 健康・福祉 健康・福祉 子育て・教育 子育て・教育 しごと・産業 しごと・産業 生涯学習・文化・ スポーツ 生涯学習・文化・ スポーツ 町政情報 町政情報 くらし・手続きトップ 閉じる 防災・減災 防犯・安全・救急 届出・証明（戸籍・住民票など） 税金・保険料 国保・年金 住まい・暮らし 上下水道 自治会 交通・道路 町民協働・人権 健康・福祉トップ 閉じる 健康・予防・医療 高齢者福祉・介護 障がい福祉 福祉 子育て・教育トップ 閉じる 妊娠・出産 育児・保育 小
琴浦町	90	【利子補給】令和6年度「エネルギー·原材料価格の高騰」「為替相場の急変」にかかる特別融資への支援 | 鳥取県琴浦町	https://www.town.kotoura.tottori.jp/docs/2024102900011/	【利子補給】令和6年度「エネルギー·原材料価格の高騰」「為替相場の急変」にかかる特別融資への支援 | 鳥取県琴浦町 本文へ移動 ご利用案内 背景色 白 青 黒 ふりがなをつける よみあげる 文字サイズ 小さく 標準 大きく 鳥取県 琴浦町 スマートフォンサイト 携帯サイト くらし 届出・登録・証明・マイナンバー 環境・ごみ・動物・ペット・墓地 すまい・上下水道・道路・交通 税金・保険･年金 防災・安全 通信（防災無線機・TCC) しごと 自治会・地域・まちづくり 各種相談窓口 --> 子育て・学び 妊娠・出産 子育て 学校・教育 生涯学習・スポーツ 手当・給付金・支援金 人権・同和教育 --> 健康・福祉 健康づくり・介護予防 健診・がん検診 医療・保健 高齢者支援 障がい者支援 生活保護 地域福祉 --> 観光・文化 観光 歴史・文化 交流 --> 行政情報 町の概要・組織 行財政 広報・広聴・情報公開 施策・計画 産業 入札・契約 選挙 --> 移住ナビ 惑星コトウラ 各種申請書 ダウンロード --> TOP 組織 商工観光課 TOP 分野 産業 , 商工業 TOP 属性 補助・助
琴浦町	88	部落自治振興交付金について | 鳥取県琴浦町	https://www.town.kotoura.tottori.jp/docs/2021042800012/	部落自治振興交付金について | 鳥取県琴浦町 本文へ移動 ご利用案内 背景色 白 青 黒 ふりがなをつける よみあげる 文字サイズ 小さく 標準 大きく 鳥取県 琴浦町 スマートフォンサイト 携帯サイト くらし 届出・登録・証明・マイナンバー 環境・ごみ・動物・ペット・墓地 すまい・上下水道・道路・交通 税金・保険･年金 防災・安全 通信（防災無線機・TCC) しごと 自治会・地域・まちづくり 各種相談窓口 --> 子育て・学び 妊娠・出産 子育て 学校・教育 生涯学習・スポーツ 手当・給付金・支援金 人権・同和教育 --> 健康・福祉 健康づくり・介護予防 健診・がん検診 医療・保健 高齢者支援 障がい者支援 生活保護 地域福祉 --> 観光・文化 観光 歴史・文化 交流 --> 行政情報 町の概要・組織 行財政 広報・広聴・情報公開 施策・計画 産業 入札・契約 選挙 --> 移住ナビ 惑星コトウラ 各種申請 ダウンロード --> TOP 組織 総務課 TOP 分野 自治会・地域・まちづくり , 自治会支援制度 TOP 属性 補助・助成・給付・免除 部落自治振興交付金について 20
琴浦町	88	琴浦町ふるさとまちづくり団体応援交付金のご案内 | 鳥取県琴浦町	https://www.town.kotoura.tottori.jp/docs/2025060600012/	琴浦町ふるさとまちづくり団体応援交付金のご案内 | 鳥取県琴浦町 本文へ移動 ご利用案内 背景色 白 青 黒 ふりがなをつける よみあげる 文字サイズ 小さく 標準 大きく 鳥取県 琴浦町 スマートフォンサイト 携帯サイト くらし 届出・登録・証明・マイナンバー 環境・ごみ・動物・ペット・墓地 すまい・上下水道・道路・交通 税金・保険･年金 防災・安全 通信（防災無線機・TCC) しごと 自治会・地域・まちづくり 各種相談窓口 --> 子育て・学び 妊娠・出産 子育て 学校・教育 生涯学習・スポーツ 手当・給付金・支援金 人権・同和教育 --> 健康・福祉 健康づくり・介護予防 健診・がん検診 医療・保健 高齢者支援 障がい者支援 生活保護 地域福祉 --> 観光・文化 観光 歴史・文化 交流 --> 行政情報 町の概要・組織 行財政 広報・広聴・情報公開 施策・計画 産業 入札・契約 選挙 --> 移住ナビ 惑星コトウラ 各種申請書 ダウンロード --> TOP 組織 企画政策課 TOP 分野 くらし , 自治会・地域・まちづくり , まちづくり TOP 属性 補助・助成・給付・免除
