slug	organization	title	maxAmount	url	evidence
yamaguchi-official-004-001-2026	上関町	上関町 定住促進支援制度	上限50万円	https://www.town.kaminoseki.lg.jp/%E5%AE%9A%E4%BD%8F%E4%BF%83%E9%80%B2%E6%94%AF%E6%8F%B4%E5%88%B6%E5%BA%A6.html	定住促進支援制度 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高齢者医療制度
yamaguchi-official-004-002-2026	上関町	上関町 上関町結婚新生活支援事業補助金	1人につき50万円	https://www.town.kaminoseki.lg.jp/mig-set_support.html	上関町移住・定住支援事業【各種補助金情報】 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康
yamaguchi-official-004-003-2026	上関町	上関町 空き家バンク制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.kaminoseki.lg.jp/%E4%B8%8A%E9%96%A2%E7%94%BA%E7%A9%BA%E3%81%8D%E5%AE%B6%E3%83%90%E3%83%B3%E3%82%AF%E3%83%88%E3%83%83%E3%83%97%E3%83%9A%E3%83%BC%E3%82%B8.html	上関町空き家バンクトップページ | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高
yamaguchi-official-004-004-2026	上関町	上関町 上関町移住応援事業	1世帯最大150万円	https://www.town.kaminoseki.lg.jp/ijuouen.html	上関町移住応援給付金 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高齢者医療制
yamaguchi-official-004-005-2026	上関町	上関町 妊婦のための支援給付金	支給額:妊婦１人につき５万円	https://www.town.kaminoseki.lg.jp/%e5%a6%8a%e5%a9%a6%e3%81%ae%e3%81%9f%e3%82%81%e3%81%ae%e6%94%af%e6%8f%b4%e7%b5%a6%e4%bb%98%e9%87%91%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6.html	妊婦のための支援給付金について | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高
yamaguchi-official-004-006-2026	上関町	上関町 上関町英語検定料助成金交付事業	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.kaminoseki.lg.jp/%e4%b8%8a%e9%96%a2%e7%94%ba%e8%8b%b1%e8%aa%9e%e6%a4%9c%e5%ae%9a%e6%96%99%e5%8a%a9%e6%88%90%e9%87%91%e4%ba%a4%e4%bb%98%e4%ba%8b%e6%a5%ad.html	上関町英語検定料助成金交付事業 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高
yamaguchi-official-004-007-2026	上関町	上関町 上関町入学祝金給付事業	1人につき3万円	https://www.town.kaminoseki.lg.jp/%e4%b8%8a%e9%96%a2%e7%94%ba%e5%85%a5%e5%ad%a6%e7%a5%9d%e9%87%91%e7%b5%a6%e4%bb%98%e4%ba%8b%e6%a5%ad.html	上関町入学祝金給付事業 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高齢者医療
yamaguchi-official-004-008-2026	上関町	上関町 不妊治療費助成制度	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.kaminoseki.lg.jp/%e4%b8%8d%e5%a6%8a%e6%b2%bb%e7%99%82%e8%b2%bb%e5%8a%a9%e6%88%90%e5%88%b6%e5%ba%a6.html	不妊治療費助成制度 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高齢者医療制度
yamaguchi-official-004-009-2026	上関町	上関町 未熟児養育医療	公式ページ記載の補助率・上限額または支援内容に従う	https://www.town.kaminoseki.lg.jp/%e6%9c%aa%e7%86%9f%e5%85%90%e9%a4%8a%e8%82%b2%e5%8c%bb%e7%99%82.html	未熟児養育医療 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高齢者医療制度 介
yamaguchi-official-004-010-2026	上関町	上関町 乳幼児医療費助成制度	医療費の自己負担分等を助成	https://www.town.kaminoseki.lg.jp/%e4%b9%b3%e5%b9%bc%e5%85%90%e5%8c%bb%e7%99%82%e8%b2%bb%e5%8a%a9%e6%88%90%e5%88%b6%e5%ba%a6.html	乳幼児医療費助成制度 | 上関町役場 --> コンテンツへ移動 ➡サイトマップ --> ➡サイトマップ 文字 の大きさ 小 中 大 背景 の色 標準 青 黒 検索: メニュー コンテンツへ移動 --> ホーム 暮らし・安心 人権 手続き 税について 年金 暮らしの相談 暮らしの環境 交通・乗り物 住まい・建築・道路 防災・安全 事業者の方へ ごみ 健康・福祉 健康づくり 診療所 健康診断・相談 休日・夜間診療 健康保険 後期高齢者医療制
