status,prefecture,municipality,raw_count,verified_count,remaining_count,remaining_slugs,remaining_titles
完了,愛知県,愛知県,3,3,0,,
完了,愛知県,安城市,3,3,0,,
完了,愛知県,一宮市,21,21,0,,
完了,愛知県,岡崎市,21,21,0,,
完了,愛知県,春日井市,12,12,0,,
完了,愛知県,瀬戸市,9,9,0,,
完了,愛知県,半田市,9,9,0,,
完了,愛知県,豊橋市,21,21,0,,
完了,愛知県,豊田市,12,12,0,,
完了,愛知県,名古屋市,12,12,0,,
完了,愛媛県,愛媛県,3,3,0,,
完了,愛媛県,今治市,20,20,0,,
完了,愛媛県,松山市,21,21,0,,
完了,愛媛県,新居浜市,11,11,0,,
完了,愛媛県,西条市,9,9,0,,
完了,茨城県,つくば市,21,21,0,,
完了,茨城県,茨城県,3,3,0,,
完了,茨城県,古河市,21,21,0,,
完了,茨城県,水戸市,12,12,0,,
完了,茨城県,土浦市,21,21,0,,
完了,茨城県,日立市,21,21,0,,
完了,岡山県,岡山県,3,3,0,,
完了,岡山県,岡山市,21,21,0,,
完了,岡山県,笠岡市,9,9,0,,
完了,岡山県,玉野市,9,9,0,,
完了,岡山県,倉敷市,20,20,0,,
完了,岡山県,総社市,9,9,0,,
完了,岡山県,津山市,9,9,0,,
完了,沖縄県,うるま市,9,9,0,,
完了,沖縄県,浦添市,11,11,0,,
完了,沖縄県,沖縄県,3,3,0,,
完了,沖縄県,沖縄市,12,12,0,,
完了,沖縄県,宜野湾市,9,9,0,,
完了,沖縄県,那覇市,20,20,0,,
完了,沖縄県,名護市,9,9,0,,
完了,岩手県,一関市,21,21,0,,
完了,岩手県,花巻市,20,20,0,,
完了,岩手県,岩手県,1,1,0,,
完了,岩手県,盛岡市,21,21,0,,
完了,岐阜県,各務原市,3,3,0,,
完了,岐阜県,関市,9,9,0,,
完了,岐阜県,岐阜県,3,3,0,,
完了,岐阜県,岐阜市,21,21,0,,
完了,岐阜県,高山市,9,9,0,,
完了,岐阜県,多治見市,9,9,0,,
完了,岐阜県,大垣市,21,21,0,,
完了,岐阜県,中津川市,9,9,0,,
完了,宮崎県,延岡市,11,11,0,,
完了,宮崎県,宮崎県,3,3,0,,
完了,宮崎県,宮崎市,21,21,0,,
完了,宮崎県,小林市,9,9,0,,
完了,宮崎県,西都市,9,9,0,,
完了,宮崎県,都城市,20,20,0,,
完了,宮崎県,日向市,9,9,0,,
完了,宮城県,宮城県,2,2,0,,
完了,宮城県,石巻市,21,21,0,,
完了,宮城県,仙台市,12,12,0,,
完了,宮城県,大崎市,12,12,0,,
完了,宮城県,名取市,12,12,0,,
未完了,京都府,綾部市,9,7,2,ayabe-tea-business ayabe-bicycle-helmet,綾部市 地域特産品ブランド化支援補助金 / 綾部市 自転車ヘルメット購入補助金
完了,京都府,宇治市,12,12,0,,
完了,京都府,亀岡市,9,9,0,,
完了,京都府,京都市,12,12,0,,
完了,京都府,京都府,2,2,0,,
完了,京都府,京都府（京都市）,1,1,0,,
完了,京都府,城陽市,9,9,0,,
完了,京都府,舞鶴市,9,9,0,,
完了,京都府,福知山市,9,9,0,,
完了,熊本県,熊本県,1,1,0,,
完了,熊本県,熊本市,21,21,0,,
完了,熊本県,天草市,9,9,0,,
完了,熊本県,八代市,12,12,0,,
完了,群馬県,伊勢崎市,12,12,0,,
完了,群馬県,館林市,12,12,0,,
完了,群馬県,桐生市,21,21,0,,
完了,群馬県,群馬県,3,3,0,,
完了,群馬県,高崎市,12,12,0,,
完了,群馬県,前橋市,12,12,0,,
完了,群馬県,太田市,12,12,0,,
完了,広島県,呉市,20,20,0,,
完了,広島県,広島県,2,2,0,,
完了,広島県,広島市,21,21,0,,
完了,広島県,三原市,9,9,0,,
完了,広島県,東広島市,9,9,0,,
未完了,広島県,尾道市,9,0,9,onomichi-child-medical-aid onomichi-juutaku-reform onomichi-health-checkup-subsidy onomichi-scholarship-repayment onomichi-startup-support onomichi-elderly-taxi onomichi-water-saving onomichi-block-wall-removal onomichi-school-lunch-subsidy,尾道市 こども医療費助成 / 尾道市 住宅リフォーム助成金 / 尾道市 人間ドック受診費助成 / 尾道市 奨学金返還支援制度 / 尾道市 創業支援補助金 / 尾道市 高齢者タクシー利用助成 / 尾道市 雨水タンク設置補助金 / 尾道市 ブロック塀等撤去補助金 / 尾道市 学校給食費補助制度
未完了,広島県,福山市,21,2,19,fukuyama-infertility-treatment fukuyama-childcare-subsidy fukuyama-birth-bonus fukuyama-housing-purchase fukuyama-infertility fukuyama-scholarship fukuyama-telework-bonus fukuyama-nursing-equipment fukuyama-elderly-support fukuyama-bousai-equipment fukuyama-child-medical-aid fukuyama-juutaku-reform fukuyama-health-checkup-subsidy fukuyama-scholarship-repayment fukuyama-startup-support fukuyama-elderly-taxi fukuyama-water-saving fukuyama-block-wall-removal fukuyama-school-lunch-subsidy,福山市 不妊治療費助成事業 / 福山市 保育料負担軽減補助金 / 福山市 出産祝い金支給制度 / 福山市 子育て世帯住宅取得支援補助金 / 福山市 特定不妊治療費助成制度 / 福山市 高校生等奨学給付金 / 福山市 テレワーク推進補助金 / 福山市 介護用品購入費助成事業 / 福山市 高齢者外出支援事業 / 福山市 家庭用防災資機材購入補助金 / 福山市 こども医療費助成 / 福山市 住宅リフォーム助成金 / 福山市 人間ドック受診費助成 / 福山市 奨学金返還支援制度 / 福山市 創業支援補助金 / 福山市 高齢者タクシー利用助成 / 福山市 雨水タンク設置補助金 / 福山市 ブロック塀等撤去補助金 / 福山市 学校給食費補助制度
未完了,香川県,丸亀市,12,2,10,marugame-housing-reform marugame-child-medical-aid marugame-juutaku-reform marugame-health-checkup-subsidy marugame-scholarship-repayment marugame-startup-support marugame-elderly-taxi marugame-water-saving marugame-block-wall-removal marugame-school-lunch-subsidy,丸亀市 住宅リフォーム補助金 / 丸亀市 こども医療費助成 / 丸亀市 住宅リフォーム助成金 / 丸亀市 人間ドック受診費助成 / 丸亀市 奨学金返還支援制度 / 丸亀市 創業支援補助金 / 丸亀市 高齢者タクシー利用助成 / 丸亀市 雨水タンク設置補助金 / 丸亀市 ブロック塀等撤去補助金 / 丸亀市 学校給食費補助制度
未完了,香川県,香川県,3,1,2,kagawa-olive-industry kagawa-udon-tourism,香川県 オリーブ産業振興支援事業 / 香川県 うどん県観光産業活性化補助金
未完了,香川県,高松市,20,10,10,takamatsu-startup-support takamatsu-scholarship takamatsu-child-medical-aid takamatsu-juutaku-reform takamatsu-health-checkup-subsidy takamatsu-scholarship-repayment takamatsu-elderly-taxi takamatsu-water-saving takamatsu-block-wall-removal takamatsu-school-lunch-subsidy,高松市 創業者応援補助金 / 高松市 奨学金返還支援補助金 / 高松市 こども医療費助成 / 高松市 住宅リフォーム助成金 / 高松市 人間ドック受診費助成 / 高松市 奨学金返還支援制度 / 高松市 高齢者タクシー利用助成 / 高松市 雨水タンク設置補助金 / 高松市 ブロック塀等撤去補助金 / 高松市 学校給食費補助制度
